issn,Gold,Wikipedia,Internet,ZDB,abbr
03443825,,,,1081,
02573822,,,271,446,M & R
23650362,,,,1376,
21953120,,135,384,,"Rescriptum, Res"
25102508,,,,1215,
16158032,,68,489,294,ZInsO
21916713,,,,71,
25102346,,,,1287,
04763475,,,126,,PersV
18612903,,,,890,
07218311,,,,1629,
07206356,,17,237,749,JA
18683126,,,408,557,SteuerStud
14224283,,,,1326,
16140702,,,72,846,DuD
21958920,,,587,,ZfZ
01706985,,,,440,
21919828,,,523,,FuS
03440656,,,,111,
21930716,,,,1302,
23660392,,,558,984,ZfRsoz
00240044,,,,527,
00337250,44,44,353,,RabelsZ
18660169,,,,898,
02506440,,,86,189,GesRZ
03412954,,,409,443,StuW
04337646,,,142,323,BVerfGE
16129245,,78,294,630,N&R
18663931,,,225,,Jahresheft IJVO
21926514,,,,739,
09366202,,,,31,
14334674,,,,1079,
27493245,,,,1684,
27480526,,,,19,
1430919X,,,,545,
07214324,,,,1624,
2192211X,,,,503,
09346465,,,,552,
09442316,,,,397,
18661432,,,,534,
21945837,,,137,,ER
05854202,,,,1074,
09366814,,,,991,
9348603,,,323,,NVwZ-RR
0340174X,,,424,,Südosteuropa-Mitt
18678394,,,608,,ZRFC
00442437,13,63,488,1634,ZHR
02590727,,,,70,
14337800,,,,970,
16130782,,,,1564,
20718322,,,173,,GLJ
18693849,,,182,,GRUR-Prax
16124243,,83,517,,EurUP
18620469,,98,200,602,info also
23647205,,,500,,GPR
01730568,,,559,851,zfs
18689094,,,13,,ArbR
18642764,,,363,,RdL
01706489,,,,439,
21923833,,,286,,MIP
01766449,,,,528,
15061817,,,,17,
29423201,,,177,,GuS
23044861,26,,555,1401,ZRG
1613141X,,,,1498,
14233746,,,,1035,
03233286,,,,737,
21908044,,,,1510,
18660886,,,,329,
0073165X,,,,1660,
21944156,,,164,451,FR-Ertragssteuerrecht
01741136,,,538,753,ZKF
00169420,,2,180,1057,GRUR
23665696,,,,1639,
27003353,,,,1040,
04389107,,,,1529,
07227000,,,,982,
03419800,11,,145,422,EuGRZ
02595273,,,,53,
09454969,,,515,,ZEV
16103270,,,,96,
0171225X,,,,104,
14371553,,,414,1229,StE
09416293,,,454,,WiRO
23664290,,,,1469,
21980977,,,,915,
21930759,,,,1285,
21943583,,,,838,
18647227,,,344,18,PHi
22186271,,,333,,ÖZK
07246277,,,,1515,
03448207,,,,413,
09470581,9,,43,267,BB
18661661,,,,1370,
09458700,,,,605,
23653574,,,,1423,
0506662X,,,,311,
03431193,,,,43,
00283460,,137,,303,
02590417,,,,951,
09456538,,,,421,
2589045X,,,19,1428,AfkKR
03405524,,,28,500,ArztR
18619843,,,440,459,VK
10139486,,,338,,RdW
14388332,,,,819,
23647310,,,594,639,WuB
14349272,47,62,304,,NZG
18306462,,,,1200,
03437582,,,,972,
14337231,,,342,,"PflR, PR"
23671394,,,,1086,
18655211,38,,133,,"VERW, Verwaltung, DV"
23661968,,,289,461,"MschrKrim, MKS"
18698743,,,,1578,
04051327,,,,362,
01709291,,,58,,CB
04212991,,31,139,281,EFG
16189442,,,,206,
14325683,,,,345,
14331780,,,510,,NotBZ
27026523,,,,579,
03423514,,,567,491,ZfStrVo
16608909,,,,1277,
23646071,27,,259,726,KritV
18151604,,,,1046,
25103326,,,,1134,
24156868,,,,1513,
07201605,23,,418,786,StV
16137612,,,,856,
1610322X,,,560,,SchiedsVZ
14318180,37,,,,
05142776,,,563,621,"ZSozR, ZSR"
09310983,,103,602,348,ZfU
00038997,40,34,18,87,AcP
09318577,,,569,456,ZTR
26991284,,,372,,RuZ
07219369,,,,1036,
1864497X,,,,1389,
25695010,,,196,1014,HuV-I
25102389,,,,1282,
16149939,,,154,,ERCL
01716697,,,,1381,
23654449,,,,1068,
0254945X,,,561,1690,ZSR
23654643,,,,934,
14364727,,,,894,
00057134,,,,562,
2366584X,,,,1393,
25102370,,,,105,
01797980,,,,1647,
18696252,,,,1240,
25094521,,134,607,,ZLVR
18615937,,,,1582,
0030834X,,,,352,
09363718,,,,41,
23664355,,,,1165,
00436151,,53,456,793,WuW
1615455X,,,,829,
21921733,,,,309,
27003051,,,65,,COVuR
09403914,,,,676,
23668326,,,,334,
1614239X,,,,1503,
18600093,,,,181,
03411389,,,,1627,
10173463,,,578,,ZfV
09414193,,,285,,MittBayNot
09497137,,,325,,NZA-RR
01776738,,,295,,NG/FH
16196260,,,,571,
27484025,,,,1437,
03408426,,,,98,
21965714,,,,204,
0344290X,,,,774,
01700421,,,,428,
13894633,,127,269,,MPYUNL
14341212,,,341,,PKR
23661151,,,280,,MRB
23653485,,,,385,
16178084,,,536,,KoR
26283522,,,,239,
01710826,,,,1139,
00286427,,,,299,
03407381,,,,748,
09301739,,,,650,
03418766,,,,131,
23644990,,,,126,
09492526,,,,594,
16117018,,,,1455,
1015258X,,,,1492,
18615600,,,,1676,
01774565,,,,113,
0029859X,49,14,125,,DÖV
16107780,,,564,,ZSE
23671297,,,,1191,
23651393,,,,1445,
05580781,,,,1568,
18605958,,,,686,
18603580,,,,414,
03409031,,,134,1686,WPg
09433600,,,,1141,
18609651,,,,702,
09480862,,,,1647,
18660908,,,,1353,
14380897,,,,1548,
09380256,,,219,,Jb Extremismus&Demokratie
04315545,,,,823,
07217390,,80,429,337,UPR
25131702,,,,134,
00316660,,,,260,
09478094,,,,518,
01707140,,,,809,
01786679,,,,1576,
26987538,,,,1569,
23652926,,,,1026,
14343460,,,136,,DNotI-Report
00366250,,,,645,
07225474,,,,410,
27492761,,,,341,
07204965,,,,1073,
00389048,,,,701,
18608450,,,,992,
07214316,,,,958,
2942352X,,,443,,VM
2365290X,,,,1123,
18614884,,,,1284,
09303634,,,,363,
03447731,,,,661,
18658261,,,,222,
09401369,,,,1222,
07204841,,,,578,
16123980,,,9,,apf
01706918,,,,1245,
2748842X,,,,1136,
25095285,,,,466,
18656331,,94,497,,ZJS
2364026X,,,,759,
23642688,,,600,,zfm
25689185,,,21,,UFITA
00057037,,,,9,
00121185,,32,,,
0943383X,,90,570,,ZUR
03409481,,,121,,BG
1435439X,,125,520,,ZEuS
21916543,,114,191,,HRN
18676723,,124,69,,JAmt
2193598X,,,,1672,
03413497,,,,1610,
18650015,,,172,,Freilaw
09364544,,,,679,
11288221,,,,1633,
0179308X,,,,1137,
09444521,,144,540,764,ZfL
16183177,,,,1066,
23651342,,,,1606,
21993270,,,,219,
21929815,,,,1101,
25108212,,,,1442,
00283681,,,,1537,
21975442,,,,1017,
05139139,,,,226,
25097709,,,,1107,
09444610,,,223,,JRE
09386041,,,,841,
10261125,,,,107,
0340028X,,,,396,
2510232X,,,,1280,
23662050,,,511,,ZNotP
09375414,,,196,502,HuV-I
18687067,8,,236,246,JZ
21926530,,,,1448,
14507986,,,,1049,
18616593,,,104,772,DGVZ
09355847,,,573,,ZVI
03441970,,,,845,
01707256,,49,73,427,DSB
14230801,,,,36,
09367292,,,506,612,ZAP
14379856,,,,386,
14332442,,,,572,
00757152,,,,1199,
21929491,,,,1467,
09432442,,,389,,SächsVBl
0174559X,,,426,523,TranspR
03411109,,,,781,
18660495,,,,1597,
21982333,,,303,,NZFam
23651288,,,,1299,
16122828,,,,1601,
21991065,,,,895,
14342626,,,261,,LMuR
18654967,,,,1012,
07224966,,,,221,
21935971,,,,1221,
14222019,,,403,,Sic!
23654694,,,,153,
21944229,,,178,,GesR
0431509X,,,,661,
09371680,,,413,,StEd
03407497,,16,544,,ZMR
25684469,,,375,336,Rechtskultur
09372245,,,,116,
18647200,,,417,68,StRR
04402162,,,,353,
00065250,,,461,677,Blutalkohol
29423554,,,459,,WSI Mitt.
14358468,,,,1495,
29423562,36,,474,138,ZaöRV
09489908,,,97,626,"DS, Sachverständige"
00835676,,,,1630,
16152026,,,,1599,
03411044,,,,215,
25105116,,,40,,BerlAnwBl
23665300,,,,876,
09457488,,,,543,
16145666,,,,1108,
23654562,,,,496,
10110070,,,334,,ÖZS
07207395,,,,437,
14359014,,,,1321,
0720003X,,,455,1669,WiVerw
03413977,,73,71,,StAZ
00442550,,,604,,ZgS
2701035X,,,,1060,
25689444,,,,364,
25092324,,,247,,KStZ
25684396,,,,883,
1861700X,,,,73,
23665777,,,,1413,
16155335,,5,242,,JurPC
03425592,,146,446,755,VR
16132556,,,150,,ECFR
09437525,51,86,301,,NZA
18696295,,,167,855,Forderungs-Praktiker
