"zeitschrift","abk","in_wos","in_scp","in_openalex","in_crossref","min_pubyear_in_openalex","max_pubyear_in_openalex","num_articles_in_openalex","sum_citations_for_all_articles_in_openalex"
Arbeit und Recht,AuR,false,false,false,false,,,0,
Archiv des öffentlichen Rechts,AöR,false,false,true,true,1914,2023,1033,1368
Archiv des Volkerrechts,AVR,false,false,true,true,1992,2023,603,1160
Archiv für die civilistische Praxis,AcP,false,false,true,true,1933,2023,1233,1214
Betriebs-Berater,BB,false,false,true,false,1971,2020,78,68
Computer und Recht,CR,false,false,true,true,1985,2023,3693,1148
DER BETRIEB,DB,false,false,false,false,,,0,
Der Staat,Staat,false,false,true,true,1965,2023,805,1961
Der Strafverteidiger,StV,false,false,true,true,1983,2019,561,135
Deutsches Steuerrecht,DStR,false,false,false,false,,,0,
Deutsches Verwaltungsblatt,DVBI,false,false,true,true,1955,2021,1658,462
Die Aktiengesellschaft,AG,false,false,true,true,1974,2023,4446,411
Die öffentliche Verwaltung,DOV,false,false,false,false,,,0,
Die Verwaltung,Verw,false,true,true,true,2008,2023,394,382
Europäische Grundrechtezeitschrift,EuGRZ,false,false,false,false,,,0,
Europäische Zeitschrift für Wirtschaftsrecht,EuZW,false,false,false,false,,,0,
Europarecht,EuR,false,false,true,true,2004,2023,1103,1540
GmbH-Rundschau,GmbHR,false,false,true,false,1983,2021,1224,110
Goltdammers Archiv für  Strafrecht,GA,false,false,false,false,,,0,
JuristenZeitung,JZ,false,false,true,true,1954,2023,6495,4225
Juristische Arbeitsblätter,JA,false,false,false,false,,,0,
Juristische Ausbildung,JURA,false,false,true,true,2009,2023,3767,509
Juristische Rundschau,JR,false,false,true,true,1925,2023,12911,8847
Juristische Schulung,JuS,false,false,true,false,1964,2020,81,17
Kritische Justiz,KJ,false,false,true,true,1968,2023,2596,5090
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,false,false,true,true,1992,2023,603,708
Monatsschrift für Deutsches Recht,MDR,false,false,true,true,1974,2023,10343,221
Neue juristische Wochenschrift,NJW,false,false,true,false,,,0,
Neue Zeitschrift for Sozialrecht,NZS,false,false,false,false,,,0,
Neue Zeitschrift für Arbeitsrecht,NZA,false,false,false,false,,,0,
Neue Zeitschrift für Gesellschaftsrecht,NZG,false,false,true,false,2003,2020,456,77
Neue Zeitschrift für Strafrecht,NStZ,false,false,true,false,1981,2019,444,312
Neue Zeitschrift für Verwaltungsrecht,NVwZ,false,false,false,false,,,0,
Rabels Zeitschrift für ausländisches und internationales Privatrecht,RabelsZ,false,false,true,true,1960,2023,1407,2287
Recht der Arbeit,RdA,false,false,true,false,1974,2021,256,10
Strafverteidigerforum,StraFo,false,false,false,false,,,0,
Verwaltungsarchiv,VerwArch,false,false,true,true,1974,2018,149,52
Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte,ZRG,false,true,true,true,1861,2023,24616,19317
Zeitschrift für  Arbeitsrecht,ZFA,false,false,true,true,1974,2023,323,20
Zeitschrift für ausländisches  offentliches Recht und Volkerrecht,ZaoRV,false,true,true,true,2005,2023,170,243
Zeitschrift für das gesamte Familienrecht,FamRZ,false,false,false,false,,,0,
Zeitschrift für das gesamte Handels- und Wirtschaftsrecht,ZHR,false,false,false,false,,,0,
Zeitschrift für die gesamte Strafrechtswissenschaft,ZStW,false,false,true,true,1881,2023,4550,3723
Zeitschrift für europäisches Privatrecht,ZEuP,false,false,false,false,,,0,
Zeitschrift für Gesellschaftsrecht (Zeitschrift für Unternehmens- und Gesellschaftsrecht),ZGR,false,false,true,true,1972,2023,1725,1836
Zeitschrift für Rechtspolitik,ZRP,false,false,true,false,1971,2021,588,217
Zeitschrift für Strafrechtsdogmatik,ZIS,false,false,false,false,,,0,
Zeitschrift für Wirtschaftsrecht,ZIP,false,false,false,false,,,0,
Zeitschrift für Wirtschafts- und Bankrecht,WM,false,false,false,false,,,0,
Zeitschrift für Wirtschafts- und Steuerstrafrecht,wistra,false,false,false,false,,,0,
Zeitschrift für Zivilprozess,ZZP,false,false,true,true,1996,2019,483,114
