"journal_name","doi","openalex_id","pubyear","pubyear_openalex","author_cnt","author_cnt_openalex","publisher","publisher_openalex","inst_count_openalex","citations_count"
JZ,"10.1628/002268809787500044",W2915387861,2009,2009,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389112800794125",W2330005452,2012,2012,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268813X13548047926957",W4229572654,2013,2013,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2021-0284",W4243882793,2021,2021,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KritV,"10.5771/2193-7869-2014-2-81",W4239815844,2014,2014,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
Staat,"10.3790/staa.59.1.29",W3032995285,2020,2020,1,1,Duncker & Humblot GmbH,Duncker & Humblot,0,0
JZ,"10.1628/002268812803506180",W4242431654,2012,2012,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389115X14459439831183",W2333632089,2015,2015,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268812802759659",W1982516666,2012,2012,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2019-0342",W4251215673,2019,2019,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268807783355682",W4241025236,2007,2007,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268813X13636850210203",W4213075482,2013,2013,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2020-0114",W3164090548,2021,2021,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268806776087265",W1972461064,2006,2006,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/002268811794245876",W2024254260,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,2
KritV,"10.5771/2193-7869-2017-2-121",W2753717619,2017,2017,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/jz-2019-0001",W2915629243,2019,2019,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389112804720014",W2318608873,2012,2012,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2019-0336",W2982322524,2019,2019,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/jz-2021-0152",W4206578279,2021,2021,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2012-0005",W4231680664,2012,2012,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268812799420415",W4242198509,2012,2012,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AcP,"10.1628/acp-2022-0028",W4316923450,2022,2022,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372514X683747",W2519688732,2014,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,2
JZ,"10.1628/jz-2021-0327",W3205339783,2021,2021,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
KJ,"10.5771/0023-4834-2002-3-358",W2328386747,2002,2002,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,4
JZ,"10.1628/jz-2020-0164",W3027080224,2020,2020,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1974-3-327",W4238382046,1974,1974,2,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
AöR,"10.1628/aoer-2018-0002",W2801489669,2018,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,41
JZ,"10.1628/jz-2022-0250",W4320152674,2022,2022,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268810793333221",W2021579389,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268812802866704",W4250346062,2012,2012,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1973-2-237",W4249773843,1973,1973,0,21,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,2,1
KritV,"10.5771/2193-7869-2013-4-387",W2401764845,2014,2013,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/jz-2023-0086",W4362569873,2023,2023,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-2001-2-240",W4248573250,2001,2001,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
JZ,"10.1628/jz-2020-0167",W3032996631,2020,2020,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/jz-2022-0351",W4312561956,2022,2022,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372514X683792",W2520013931,2014,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268811797647976",W4240276776,2011,2011,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AcP,"10.1628/acp-2018-0041",W4231371517,2018,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268809789648085",W1996910903,2009,2009,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,18
JZ,"10.1628/jz-2018-0305",W2903003992,2018,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2021-0131",W4233398729,2021,2021,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-2010-4-407",W2331092182,2010,2010,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,3
RabelsZ,"10.1628/003372511794052164",W2299636165,2011,2011,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,6
RabelsZ,"10.1628/003372517X14976085322438",W2742142197,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2022-0038",W4210622144,2022,2022,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
