"journal_name","diff","num_items"
AcP,-1,28
AcP,0,700
AcP,1,1
AöR,-1,39
AöR,0,879
AöR,1,2
JZ,-3,1
JZ,-2,12
JZ,-1,204
JZ,0,5426
JZ,1,18
JZ,2,1
KJ,-2,2
KJ,-1,174
KJ,0,2278
KJ,1,10
KJ,2,4
KJ,3,9
KJ,4,9
KJ,5,3
KJ,6,12
KJ,7,8
KJ,8,3
KJ,9,4
KJ,10,10
KJ,11,9
KJ,12,8
KJ,13,4
KJ,14,9
KJ,15,3
KJ,16,2
KJ,17,1
KJ,18,1
KJ,20,2
KJ,21,1
KJ,25,1
KJ,26,2
KJ,27,1
KJ,28,1
KritV,-1,4
KritV,0,565
KritV,1,2
KritV,3,1
KritV,4,1
KritV,16,1
KritV,19,1
KritV,20,3
KritV,21,2
RabelsZ,-2,1
RabelsZ,-1,66
RabelsZ,0,1306
RabelsZ,1,8
RabelsZ,2,1
RabelsZ,3,1
RabelsZ,7,1
RabelsZ,12,1
RabelsZ,27,1
Staat,-1,3
Staat,0,459
Staat,1,2
