"author_id","author_name","institution_id","inst_name","num_articles","min_pubyear","max_pubyear","journals"
A5000004275,Hinrich Rüping,I114112103,Leibniz University Hannover,2,2013,2015,"{ZStW,ZStW}"
A5000078496,Friedemann Sternel,I185848579,E Ink (South Korea),1,2021,2021,{MDR}
A5000078496,Friedemann Sternel,I4210154893,Altrecht GGZ,3,2020,2021,"{MDR,MDR,MDR}"
A5000079383,Cyril H. Hergenröder,I67348948,Bayer (Germany),1,2023,2023,{JURA}
A5000089623,Markus C. Kerber,I4210161409,Berlin Heart (Germany),1,2005,2005,{ZGR}
A5000089623,Markus C. Kerber,I4210165067,Artistic Realization Technologies,1,2013,2013,{KJ}
A5000107718,Stefan Stehle,I4210097213,Stuttgart Observatory,1,2009,2009,{JURA}
A5000253339,Elizabeth L. Schubert,I188703185,GTx (United States),1,1968,1968,{ZRG}
A5000253345,Johannes Tellenbröker,I4210131029,Klinikum Bielefeld,1,2017,2017,{JURA}
A5000258203,Klaus Ulrich Schmolke,I149899117,Max Planck Society,5,2006,2011,"{ZGR,AcP,ZGR,JZ,EuR}"
A5000258203,Klaus Ulrich Schmolke,I158579660,European Centre for Minority Issues,1,2018,2018,{AG}
A5000258203,Klaus Ulrich Schmolke,I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,3,2016,2020,"{ZGR,ZGR,ZGR}"
A5000258203,Klaus Ulrich Schmolke,I4210112296,Max Planck Institute for Comparative and International Private Law,5,2006,2011,"{ZGR,AcP,ZGR,JZ,EuR}"
A5000258203,Klaus Ulrich Schmolke,I4210121101,München Klinik,1,2018,2018,{AG}
A5000258203,Klaus Ulrich Schmolke,I8087733,University of Tübingen,1,2018,2018,{AG}
A5000258203,Klaus Ulrich Schmolke,I8204097,Ludwig-Maximilians-Universität München,1,2018,2018,{AG}
A5000298715,Hylkje de Jong,I114090438,Goethe University Frankfurt,1,2018,2018,{ZRG}
A5000298715,Hylkje de Jong,I1336375059,Goethe Institute,1,2018,2018,{ZRG}
A5000313839,Anne Christin Wietfeld,I20121455,Bielefeld University,2,2013,2014,"{JURA,JURA}"
A5000318895,Michael Funk,I114090438,Goethe University Frankfurt,1,2018,2018,{JURA}
A5000356142,Lena Kunz,I223822909,Heidelberg University,1,2017,2017,{JURA}
A5000395281,Martina Kutscha,I4210150117,Landesuntersuchungsamt Rheinland-Pfalz,1,1998,1998,{KJ}
A5000405777,Kai Lohse,I4210145373,Federal Supreme Court of Switzerland,4,2011,2018,"{JR,JR,JR,JR}"
A5000406086,Marcus Lutter,I135140700,University of Bonn,1,2021,2021,{ZGR}
A5000491427,Sebastian Müller,I4210154893,Altrecht GGZ,2,2011,2011,"{JURA,JURA}"
A5000520618,Bijan Fateh-Moghadam,I1850255,University of Basel,1,2020,2020,{ZStW}
A5000564874,Gregor Staechelin,I107257983,Darmstadt University of Applied Sciences,1,1998,1998,{KJ}
A5000564874,Gregor Staechelin,I114090438,Goethe University Frankfurt,1,1998,1998,{KJ}
