"abk","citing_pubyear","count"
KritV,2008,37
ZGR,2023,37
NStZ,2019,18
JZ,1997,2
RabelsZ,2002,8
DVBI,2006,2
EuR,2010,54
KritV,2014,38
RabelsZ,2007,18
StV,2021,26
ZRP,2015,10
KJ,1969,27
JURA,2002,1
AöR,1998,4
NZG,2019,6
ZStW,1913,3
JR,1982,100
DVBI,1990,1
GmbHR,2013,3
JR,1990,78
AöR,2011,35
ZStW,1991,20
BB,2008,6
AG,1999,1
MDR,2018,8
ZRG,1971,18
BB,2019,2
NStZ,2022,8
AG,2024,19
JZ,2023,363
ZRG,1946,12
ZRG,1930,3
ZStW,1937,1
BB,2003,1
AöR,2004,7
KJ,1988,74
ZGR,1990,6
ZRG,1906,3
ZZP,2021,14
JZ,2006,38
AcP,2006,31
ZRP,2019,40
ZGR,2007,63
AG,2002,1
ZRG,1913,20
ZRG,2020,1196
AG,2022,65
ZZP,2001,2
JURA,1997,1
MDR,2011,6
RabelsZ,2024,57
JZ,2019,309
ZStW,2022,191
JZ,2007,46
JR,1962,52
StV,2017,7
Verw,2010,12
AcP,1994,7
DVBI,2014,7
JR,1997,112
MDR,2013,4
JURA,2023,85
ZRG,1972,22
EuR,2019,98
ZaoRV,2023,171
DVBI,2022,40
ZRG,1919,4
JZ,2000,5
AcP,2016,48
ZGR,2001,39
ZStW,1973,2
AVR,2015,48
JuS,2020,3
JR,1941,31
StV,2008,2
JR,2002,74
NZG,2018,8
KJ,2019,400
GmbHR,2015,21
RabelsZ,1985,1
JR,1959,77
JZ,2016,345
Staat,2023,647
AöR,2017,75
ZRG,1962,33
ZStW,1971,7
JURA,2019,32
GmbHR,2019,3
JR,2019,164
EuR,2015,114
Verw,2017,28
ZRG,1929,4
ZStW,2008,72
ZRG,2005,863
ZZP,2023,9
JZ,2012,166
EuR,2012,74
ZStW,2011,87
ZRG,1908,2
JR,1952,105
AG,2013,13
KJ,1981,40
JZ,2010,289
JuS,1994,1
KritV,2005,32
KJ,1997,64
ZFA,2022,3
ZGR,1993,36
ZFA,2000,1
ZGR,2002,46
JuS,2011,2
JZ,1971,1
Staat,2020,94
ZRG,2006,236
RabelsZ,2014,120
ZFA,2007,1
JZ,1991,1
DVBI,2010,3
ZZP,2022,8
ZStW,1959,6
ZGR,2016,35
NStZ,2010,15
NZG,2010,4
ZRG,1939,5
EuR,2022,60
JR,1916,1
ZStW,2016,92
ZRP,2021,38
AöR,2019,118
KritV,2009,28
JR,1964,85
VerwArch,2022,4
CR,2012,34
DVBI,2009,4
JR,2014,118
ZaoRV,2021,11
AcP,2011,34
ZZP,2014,4
JURA,2021,34
DVBI,1995,1
KJ,1985,31
AVR,2013,37
VerwArch,2013,1
Staat,2000,2
ZStW,2021,200
DVBI,2018,52
NStZ,2012,26
JR,1971,55
JZ,2005,21
Verw,2024,18
JR,1980,89
ZGR,2011,60
ZRG,1917,1
ZRG,1992,99
RabelsZ,2013,61
JURA,2017,62
MDR,2007,4
ZRG,2003,343
ZaoRV,2016,2
MDR,1986,1
EuR,2005,6
JR,1954,121
JZ,2014,183
JR,2001,86
NZG,2022,1
RabelsZ,2001,3
ZStW,1996,20
ZStW,1958,2
CR,2003,1
Verw,2021,37
CR,2023,107
AG,2003,2
KJ,2016,129
ZGR,2018,94
RabelsZ,2023,90
AG,1996,1
AöR,2024,29
RabelsZ,2003,10
JZ,2020,346
DVBI,2021,63
ZZP,2015,12
JR,1963,70
JR,1940,27
ZRG,1937,7
ZStW,1925,4
VerwArch,2006,1
VerwArch,2024,3
NStZ,2013,15
KritV,2024,15
ZStW,1989,16
ZRP,2000,2
AcP,2012,42
KritV,2010,41
JZ,2024,170
ZStW,2018,130
KritV,2023,38
CR,2016,60
KJ,2020,205
ZStW,2017,213
JR,1961,54
KJ,2022,212
AVR,2011,69
RdA,2015,3
JZ,1990,1
RabelsZ,1982,1
ZGR,1977,1
CR,2006,6
ZRP,2009,1
AöR,1995,3
JR,2015,190
Verw,2008,2
Verw,2012,10
AöR,2016,93
AG,1990,1
JR,1920,19
JZ,2004,16
DVBI,1972,1
ZGR,1995,12
JR,1979,85
AVR,2009,22
JR,1972,80
JR,1938,46
AG,2015,11
JR,1968,53
JR,1981,100
DVBI,2016,40
NStZ,2001,1
ZRG,1976,22
JR,1989,117
AVR,2005,4
ZGR,2020,82
KJ,2024,271
DVBI,2020,46
Verw,2022,15
AVR,2010,42
JR,1935,47
ZFA,2021,1
ZRG,1996,366
KritV,1998,1
NZG,2012,7
AcP,1999,2
ZRP,2011,1
RabelsZ,2016,687
ZStW,1882,1
JuS,2005,1
ZStW,1912,2
Staat,2003,13
Staat,1978,1
AG,2018,49
Staat,2005,13
JZ,1962,1
RabelsZ,1999,1
JR,2013,133
ZZP,2004,1
KJ,1973,33
BB,2013,4
JZ,1978,1
ZRG,1986,37
ZRG,1956,20
ZStW,2009,82
ZaoRV,2019,1
JZ,2001,7
ZStW,2004,46
RabelsZ,2017,123
NStZ,2015,46
JR,1983,88
AcP,2009,31
ZRG,1969,9
KJ,2017,102
KJ,2021,149
RdA,2007,1
NZG,2017,3
ZRG,1925,34
Staat,2013,94
ZStW,1975,2
Verw,2016,55
AcP,2024,37
JURA,1922,1
JuS,2012,1
ZRG,1997,340
KJ,2008,142
JR,1956,93
AöR,2010,52
AöR,2008,29
ZRG,1991,80
ZRG,2013,373
ZFA,2017,1
AcP,1998,1
ZStW,1920,2
KJ,2011,112
RabelsZ,2020,113
JR,1973,90
StV,2016,5
AcP,2017,145
ZGR,2013,62
JR,1930,175
ZStW,1988,11
ZStW,1914,6
KritV,2018,30
AVR,2007,15
Staat,2022,60
ZGR,2015,60
