"journal_title","item_cnt"
법사학연구,4
"127",1
"147",1
"14th AIAA Aviation Technology, Integration, and Operations Conference",1
"1800 - 2000",1
"2",1
"2006 SICE-ICASE International Joint Conference",1
"2022 30th European Signal Processing Conference (EUSIPCO)",1
"29",1
"3D Printing and Additive Manufacturing",1
"49th AIAA Aerospace Sciences Meeting including the New Horizons Forum and Aerospace Exposition",1
"5th International Aerospace Planes and Hypersonics Technologies Conference",1
"7",1
"90",1
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,1
Abhandlungen zur Medien- und Kulturwissenschaft,2
Ab imperio,1
ABM Proceedings,1
Academia – ein Verlag in der Nomos Verlagsgesellschaft eBooks,3
Academic Law Journal,1
Academy of Management Review,1
Acatech-Diskussion,1
Acatech-Studie,1
ACCESS Access to science business innovation in digital economy,1
Access to Justice in Eastern Europe,3
Accident Analysis & Prevention,1
Accounting and Business Research,1
Accounting Auditing & Accountability Journal,2
Accounting Business & Financial History,4
Accounting Economics and Law - A Convivium,1
"Accounting, finance, sustainability, governance & fraud",1
Accounting History,1
Accounting Horizons,1
Accounting in Europe,7
Accounting Organizations and Society,1
Accreditation and Quality Assurance,1
ACME: An International Journal for Critical Geographies,1
ACM SIGOPS Operating Systems Review,1
ACM SIGPLAN Notices,1
A&C - Revista de Direito Administrativoe & Constitucional,1
ACS Catalysis,2
Acta Agriculturae Scandinavica,1
Acta Archaeologica,7
Acta Archaeologica Carpathica,1
Acta Astronautica,1
Acta Baltico-Slavica,1
Acta bioethica,1
Acta Biotechnologica,2
Acta Botanica Neerlandica,2
Acta Chirurgica Austriaca,10
Acta Científica Ciências Humanas,1
Acta Classica Universitatis Scientiarum Debreceniensis,1
Acta Ethnographica Hungarica,4
Acta Hispanica,1
Acta Histochemica,1
Acta Historiae Artium,1
Acta historica Neosoliensia,1
Acta Humana,2
Acta hydrochimica et hydrobiologica,13
Acta Iuris Stetinensis,2
Acta Juridica Hungarica,2
Acta Materialia,1
Acta Mechanica,1
Acta Medica Scandinavica,9
Acta Musicologica,1
Acta Neurochirurgica,6
Acta Neuropathologica,3
Acta Obstetricia Et Gynecologica Scandinavica,3
Acta Ophthalmologica,4
Acta Orientalia,7
Acta Orthopaedica Scandinavica,3
Acta Oto-Laryngologica,2
Acta Paediatrica,4
Acta Pathologica Japonica,1
Acta Pathologica Microbiologica Scandinavica,1
Acta Patristica et Byzantina,1
Acta Periodica Duellatorum,9
Acta Pharmacologica et Toxicologica,1
Acta Physica Academiae Scientiarum Hungaricae,1
Acta Physica Polonica A,1
Acta Physica Sinica,5
Acta Politica,2
Acta Politica Polonica,1
Acta Poloniae Historica,1
Acta Polymerica,5
Acta Prosperitatis,1
Acta Psychiatrica Scandinavica,3
Acta Sociologica,1
Acta Theologica,1
Acta Univeristatis Lodziensis Folia Librorum,1
Acta Universitatis Lodziensis Folia Archaeologica,2
Acta Universitatis Lodziensis Folia Historica,2
Acta Universitatis Lodziensis Folia Iuridica,7
Acta Universitatis Lodziensis Folia Philosophica Ethica-Aesthetica-Practica,1
Acta Universitatis Sapientiae Legal Studies,3
Activitas Nervosa Superior,1
Actualidad Jurídica Ambiental,3
Actual problems of native jurisprudence,1
Actual Problems of Russian Law,4
Adalet Dergisi,1
AD ALTA Journal of Interdisciplinary Research,2
Additive manufacturing,4
ADIL Jurnal Hukum,1
Administory,2
"Administracja : teoria, dydaktyka, praktyka",1
Administrative law and process,9
Advanced Electronic Materials,1
Advanced Energy Materials,1
Advanced Engineering Materials,3
Advanced Functional Materials,1
Advanced Materials Interfaces,1
Advanced materials research,2
Advanced Science,1
Advanced sciences and technologies for security applications,1
Advanced series in management,1
Advanced structured materials,1
Advanced Synthesis & Catalysis,2
Advances in Applied Mathematics,3
Advances in business strategy and competitive advantage book series,1
Advances in carbohydrate chemistry,2
Advances in carbohydrate chemistry and biochemistry,1
Advances in catalysis,1
Advances in Cell and Gene Therapy,1
Advances in chemical and materials engineering book series,1
Advances in chemical physics,1
Advances in Clinical Medicine,3
Advances in Complex Systems,1
Advances in Education,2
"Advances in educational marketing, administration, and leadership book series",2
Advances in electronics and electron physics,3
"Advances in entrepreneurship, firm emergence, and growth",1
Advances in enzymology and related areas of molecular biology/Advances in enzymology and related subjects,3
"Advances in finance, accounting, and economics book series",1
Advances in food research,1
Advances in Geosciences,2
Advances in group decision and negotiation/Advances in group decision and negotation,1
Advances in heterocyclic chemistry,4
Advances in Historical Studies,1
Advances in human and social aspects of technology book series,2
Advances in Human-Computer Interaction,1
Advances in immunology,1
"Advances in information security, privacy, and ethics book series",2
Advances in inorganic chemistry and radiochemistry,1
Advances in intelligent systems and computing,4
Advances in intelligent systems research/Advances in Intelligent Systems Research,1
Advances in linguistics and communication studies,1
Advances in liquid crystals,1
Advances in natural and technological hazards research,1
Advances in neuroethics,5
Advances In Physics,1
Advances in polymer science,1
Advances in Polymer Technology,1
Advances in Porous Flow,2
Advances in Psychology,2
Advances in psychology and law,1
"Advances in psychology, mental health, and behavioral studies (APMHBS) book series",1
"Advances in Social Science, Education and Humanities Research/Advances in social science, education and humanities research",2
Advances in Social Sciences,7
Advances in Theoretical & Computational Physics,1
Advances in virus research,1
