"citing_keyword","item_cnt"
,3477
"{""Legal History""}",151
"{""Criminal Law""}",99
"{""Informed Consent""}",109
"{Gedächtnis,Kultur,Literaturkritik,Poetik}",78
"{""International Law""}",107
"{""Company Governance""}",95
"{""Content (measure theory)""}",93
{Download},83
"{""Legal Systems""}",57
{Policing},50
"{""Psychiatric Evaluation""}",71
"{""European Legal Systems""}",77
{Participation},53
"{""Youth Offenders""}",41
"{""Legal Philosophy""}",79
{Manuscripts},34
"{Digitalization,Emotionalization,Governance,Leadership,Participation}",17
"{""European Integration""}",68
"{""Choice of Law""}",21
{Globalization},28
{History},55
{Reformation},46
{Emotionalization},43
{Governance},53
"{""Legal Methodology""}",43
"{""Transnational Legal Pluralism""}",41
"{""Economic History""}",12
"{""European Company Law""}",41
{Height},38
"{""Political Power""}",33
"{""Social History""}",46
"{""Ancient Poetry""}",46
"{""Supply Chain Controlling""}",55
"{""Patient Rights""}",36
{Responsibility},39
"{""Mental Health Law"",""Psychiatric Evaluation"",""Psychiatric Treatment""}",2
{Regulations},32
"{""Nazi Propaganda""}",37
"{""European Private Law""}",22
"{""Institutional Change""}",39
{Archaeology},40
"{Download,""Legal Methodology""}",17
"{""Legal Consciousness""}",24
"{""Human Rights""}",31
"{""Choice of Law"",""Content (measure theory)""}",12
"{""Content (measure theory)"",""Succession Regulation""}",7
"{""Historical Texts""}",25
"{""Middle Ages""}",18
"{""Content (measure theory)"",""Legal History""}",12
"{""Incarceration Effects""}",11
"{""Physician Liability""}",29
{Democracy},39
{Security},22
"{""Ethical Considerations""}",18
"{""Corporate Taxation""}",35
"{""Investment Decisions""}",33
"{""Roman Economy""}",14
"{""Bargaining Power""}",30
"{""Trade Contracts""}",14
"{""Legal Interpretation""}",33
"{""Medical Ethics""}",30
{Treatment},42
"{""Qualitative Inhaltsanalyse""}",23
"{""Church History""}",24
"{""Corporate Criminal Liability""}",21
"{""Public Policy""}",4
{Bioethics},33
{Gender},34
{Slavery},12
"{""Constitutional Law""}",29
"{Download,Privacy}",6
"{""Medieval Economic Thought""}",22
{Victimology},20
"{""EU Law""}",20
"{""Content (measure theory)"",""Jurisdiction Agreements""}",6
"{Bildungsbeteiligung,Emotionalization,ExpertInneninterviews,Governance,""Qualitative Inhaltsanalyse""}",10
{Urbanization},4
"{""Religious Interpretation""}",13
"{""Rural Landscapes""}",3
"{""Civil code"",""Legal History""}",3
"{Demography,""Late Antiquity"",""Table (database)""}",2
"{""Contract Law""}",13
"{""Healthcare Law""}",20
"{""Discourse Analysis""}",30
{Peasant},2
"{""Company Governance"",""Corporate Governance""}",9
"{Kingdom,Ninth,""Settlement (finance)""}",1
"{""Norm Conflicts""}",22
"{""Argument (complex analysis)"",Backwardness,""Medieval Economic Thought""}",1
"{""Historical Narratives""}",21
"{""Florentine Politics"",Opportunism,Protectionism,""Scope (computer science)"",Selfishness}",1
"{CONQUEST,Fell,Feudalism,""Medieval Trade""}",1
"{Barbarian,""Roman Economy"",""Roman Empire""}",1
"{""Capital (architecture)"",Decadence}",1
"{""Accident (philosophy)"",""Inheritance (genetic algorithm)"",""Medieval Economic Thought"",""Moral economy"",""Roman Economy""}",1
"{""Agrarian system"",""Byzantine Philosophy"",Emperor}",1
"{Digitalization,Governance,Innovations,Leadership,Participation}",6
"{""Roman Economy"",""Roman Empire"",""Stock (firearms)""}",1
"{Barbarian,""Medieval Economic Thought"",Ninth,""Treaty of Rome""}",1
"{Certainty,""Legal History""}",1
"{Eleventh,""Steppe Civilizations"",""Western europe""}",1
"{Greeks,""Medieval Trade"",""Roman Empire""}",1
"{""Medieval Economic Thought"",Peninsula}",1
"{Chiefdom,Expansive}",1
{Digitalization},16
"{Colonisation,""Settlement (finance)"",Settlements}",1
"{""Soziale Herkunft""}",31
"{Derecho,""Legal Philosophy""}",20
"{""Corporate Law Arbitrage""}",18
{Constitutionalism},29
"{""Burden of Proof""}",17
{Philosophy},27
"{""normative power""}",18
"{CONQUEST,""Consolidation (business)"",""Economic History"",""Scope (computer science)""}",1
"{""Code (set theory)"",""Roman Economy""}",1
"{""Ancient city"",""Ancient Greece"",""Ancient Rome"",""Economic History"",Greeks,""Harmony (color)"",""Public life"",Rivalry}",1
"{Commonwealth,Frontier,""Position (finance)"",""Roman Religion""}",1
"{""Succession Regulation""}",7
"{Peasant,Sack}",1
"{""Foundation (evidence)"",Greeks,""Settlement (finance)""}",1
"{""Economic History"",""Roman Empire"",""Settlement (finance)""}",1
"{""Classical archaeology"",Frontier,""Roman Economy"",""Roman history""}",1
"{Divination,Prayer,""Roman Religion"",Rome,Sacrifice}",1
{Neo-liberalism},23
"{Chronology,""Economic History"",Historiography,""Late Antiquity"",""Roman history""}",1
"{""Human settlement"",Rome}",1
"{Assertion,Historiography,""Legal History"",Secession}",1
"{""Legal culture"",""Legal History""}",9
"{""Legal Principles""}",17
"{Reign,Surprise}",1
"{Emperor,Nothing,Theology}",1
"{""Canon law"",Confessional,""Martin luther"",Reformation}",1
"{""Canon law"",""English Reformation"",Fifteenth,""Of Reformation"",Reformation}",1
"{""Martin luther"",""Of Reformation"",Polity,Reformation}",1
"{Canon,""Canon law"",Reformation}",1
"{""Canon law"",""Legal History"",Soul}",1
"{""Legal Education"",""Of Reformation""}",1
"{Monocular,Multiculturalism,""Orb (optics)""}",1
"{Barbarian,History,Kingdom}",2
"{""European Stability Mechanism""}",20
"{""Fiduciary Duty""}",11
{Physiology},23
{Bildungsbeteiligung},19
"{""Legal History"",Reformation}",1
"{""Legal Education""}",21
"{""Mental Health Law"",""Psychiatric Admission"",""Psychiatric Evaluation"",""Psychiatric Treatment"",""Psychological Formulation""}",1
"{""Financial Reporting""}",14
"{""Criminal Behavior""}",20
"{""Unfair Trading Practices""}",12
"{""Proximity and Innovation""}",5
"{""Artificial Intelligences""}",9
"{Armenian,Caliphate,""Ottoman empire""}",2
{Religion},25
"{""Political Dynamics""}",21
{Reign},4
"{""Byzantine-early Islamic Period""}",3
{Sustainability},24
"{""Responsibility to Protect""}",19
"{""International Criminal Law""}",15
{Delinquency},21
{Intersectionality},8
{Arbitration},16
{Bibliography},14
{Grammaticalization},3
"{""Trial Procedures""}",17
"{""Legal Harmonization""}",16
"{""Basic law"",""Choice of Law"",Constitutionalism}",1
"{""Policy Change""}",15
{Literature},22
"{History,Kingdom,""Section (typography)"",""Theme (computing)""}",1
"{Emperor,Expropriation,Kingdom,""Redistribution (election)"",Visigothic}",1
"{""Christian Orthodoxy"",Emperor,Promulgation}",1
"{Bureaucracy,Emperor,Frontier}",1
"{""Archaeological Evidence"",Demography,""Late Antiquity"",Rituals,""Table (database)""}",1
"{Archaeology,Barbarian,""Inscribed figure"",Peninsula}",1
"{""Shipping Regulations"",""Trade Contracts""}",3
"{Archaeology,Fell}",1
"{Asceticism,Celibacy,Consolation,Monasticism,Polity}",1
"{Feudalism,""Roman Empire""}",1
"{Admiration,Greeks,Oath,Trustworthiness}",1
"{Homeland,""Minor (academic)"",Nothing}",1
"{Emperor,""Roman Empire"",Ruler}",1
"{""Economic History"",""Exchange economy""}",1
"{Eleventh,Kingdom,""Legal history"",""Legal Systems""}",1
"{Ceremony,""Performative utterance"",Rituals,Utterance}",1
"{""Hellenistic Period"",Mesopotamia}",1
"{""Legal Translation""}",14
"{""Classical Antiquity"",Demography,""Greek Literature"",""Late Antiquity"",Politics}",1
"{Emperor,""Roman Economy""}",1
"{Epicureanism,Materialism,Neoplatonism,Plato,Platonism,Skepticism,Stoicism}",1
"{Antique,Conservatism,Institution}",1
"{""Early Islamic Transition"",Governor,Principate}",1
"{""Aristocracy (class)"",History,""Roman Empire"",""Successor cardinal""}",1
"{""Christian art"",""Church History"",""Early Christianity"",""Independence (probability theory)"",Scrutiny}",1
"{Bronze,Chose,Greeks,Papyrus,Rituals}",1
"{""Vibration Analysis""}",23
"{""Roman Economy"",""Settlement (finance)"",""Wage labour""}",1
"{Coronation,Cousin,""Nephew and niece"",Sister,""Successor cardinal""}",1
"{Accession,Emperor,""Middle Ages""}",1
"{""Ancient Poetry"",Reign,""Roman Empire"",""Successor cardinal"",Sustenance}",1
"{""Capital (architecture)"",Reign}",1
"{""Guard (computer science)"",""Nephew and niece"",Reign,""Successor cardinal""}",1
"{""Ancient Poetry"",Recluse}",1
{Occupation},16
"{Heresy,""Medieval Christianity"",Watson}",1
"{Barbarian,Bureaucracy,""Legal Systems"",Principate,Ravenna,""Roman Empire""}",1
"{""Abandonment (legal)"",""Human settlement"",""Middle Ages"",Prosperity,""Rural settlement"",""Settlement (finance)"",Vitality}",1
"{Archbishop,Bishops,""Independence (probability theory)""}",1
{Privacy},11
"{Emperor,Pessimism,Rigour}",1
"{Dismemberment,Emperor,Frontier,Humiliation,""Roman Empire"",Rome,Spectacle}",1
"{""Ancient Law"",""Legal document"",""Legal opinion"",""Value (mathematics)""}",1
"{Emperor,Glory,History,Nothing}",1
"{History,Periodization}",1
"{Emperor,""Roman Empire"",""Roman Religion"",""Value (mathematics)""}",1
{Diagnosis},22
{Rehabilitation},19
"{""Risk Assessment"",""Security Measures""}",1
{Education},13
"{""Sociological History""}",19
"{""Treatment Effectiveness""}",18
"{Bibliography,Height}",8
{Society},16
"{""Religious Education""}",13
"{Accountability,Declaration}",3
"{""Content (measure theory)"",Height}",13
{Neuroethics},10
{Liability},12
"{""EU Integration""}",10
"{""Regulatory Challenges""}",13
"{Digitization,""Informed Consent""}",1
"{""Content (measure theory)"",""Public Opinion""}",6
"{""Political Philosophy""}",11
"{""Social Movements""}",16
"{""Revolutionary Historiography""}",11
{1960s},4
"{""Content (measure theory)"",""Table (database)"",""Table of contents""}",2
"{""East German Memory""}",9
"{""Psychiatric Admission"",""Psychiatric Evaluation""}",2
"{""Social Policy""}",17
"{""French Revolution"",Literaturkritik,""Social Movements""}",1
"{""Gender Studies""}",17
"{""Worker Participation""}",19
"{""EU Competition Law""}",12
"{""Robotics Liability""}",4
"{""Digital Rights""}",10
"{""Table (database)""}",7
{Morality},11
"{""Behavioral Economics""}",9
{Plurality},3
"{""Roman Empire""}",7
"{""Drug Policy""}",8
"{""Policy Appraisal""}",13
{Contracts},10
"{""Political Economy""}",10
"{""Company Governance"",""On board"",""Supervisory board""}",3
"{""European Legal Systems"",""Legal action""}",1
{Literaturkritik},18
{Recognition},14
{Multiculturalism},15
"{""Material Properties""}",14
"{""Parental Discretion""}",11
"{Download,""Ethical Considerations""}",1
"{""Inscribed figure"",""Legal History"",""Of Reformation"",Reformation}",1
"{Demon,""Martin luther"",Secularism,""Separation of church and state"",""Western culture""}",1
"{""Network Organization Management""}",11
"{Bibliography,""Quantitative Characterization""}",1
{Accountability},12
"{""Comparative Law"",""Legal Methodology""}",8
"{""Company Governance"",Sight,""Supervisory board"",Wonder}",1
"{""Heterocyclic Compounds""}",10
"{""Welfare State""}",18
"{""Legal Reforms""}",7
{Etymology},14
"{""Technology Innovation""}",16
"{Bibliography,""Content (measure theory)"",Height}",6
"{""Structural Analysis""}",19
"{Bibliography,Feminism,Literature,""Political Philosophy"",""Presidential prerogative"",""Public Opinion""}",1
{Monasticism},11
"{""Canon law"",Reformation,Scrutiny}",1
{Socialism},5
"{""Legal Cultures""}",11
"{""Late Antiquity""}",13
"{""Argument (complex analysis)"",""Legal History"",""Settlement (finance)""}",1
"{""Principle of legality""}",3
"{""Ancient Architecture"",""Capital (architecture)"",Dynamism,""Inheritance (genetic algorithm)"",Romance}",1
"{""Cross-border Mergers""}",3
{Trade},10
{Theology},17
"{""Roman Religion""}",14
"{""Mutual Recognition""}",6
"{""Content (measure theory)"",Society}",3
"{""Automatic License Plate Recognition"",""Imputation (statistics)"",""Intelligent Transportation Systems"",""Machine Learning"",""Real-Time Recognition"",""Vehicle Identification""}",1
"{""Brussels Regulation""}",8
"{""Identity Politics""}",12
{Litigation},12
{Reasoning},14
"{""Medieval Literature""}",14
"{Emperor,Fides,""Legal Systems""}",1
"{""Organizational Change""}",16
{Autorschaft},8
"{""Ancient Poetry"",Emperor,Surprise,Trustworthiness}",1
"{""Rule of law""}",2
"{""Constitutional court"",""Democratic deficit"",""EU Integration"",""European Integration"",""European Legal Systems"",""Scots law"",""Ultra vires""}",1
"{""Plea Bargaining""}",10
"{""Empirical legal studies"",""Legal doctrine"",""Legal Education"",""Legal Methodology"",""Legal science"",""Statutory interpretation""}",1
"{Bureaucracy,Decree,History}",1
"{Monasticism,Ninth,""Symbol (formal)"",Zoroastrianism}",1
"{""EU Law"",""European Integration"",""Member state""}",1
{Sociology},11
