"subfield","item_cnt"
Accounting,1322
Aerospace Engineering,68
Agronomy and Crop Science,54
Algebra and Number Theory,5
Analytical Chemistry,57
Anatomy,9
Anesthesiology and Pain Medicine,18
Animal Science and Zoology,75
Anthropology,1957
Applied Mathematics,17
Applied Microbiology and Biotechnology,1
Applied Psychology,19
Aquatic Science,9
Archeology,1574
Architecture,25
Artificial Intelligence,331
Astronomy and Astrophysics,137
Atmospheric Science,81
"Atomic and Molecular Physics, and Optics",141
Automotive Engineering,176
Behavioral Neuroscience,2
Biochemistry,139
Bioengineering,16
Biological Psychiatry,5
Biomaterials,79
Biomedical Engineering,259
Biophysics,17
Biotechnology,36
Building and Construction,99
Business and International Management,6
Cancer Research,36
Cardiology and Cardiovascular Medicine,80
Catalysis,44
Cell Biology,109
Cellular and Molecular Neuroscience,62
Ceramics and Composites,25
Chemical Health and Safety,1
Civil and Structural Engineering,115
Classics,1951
Clinical Biochemistry,71
Clinical Psychology,847
Cognitive Neuroscience,280
Communication,109
Complementary and alternative medicine,42
Complementary and Manual Therapy,10
Computational Mechanics,197
Computational Theory and Mathematics,42
Computer Graphics and Computer-Aided Design,5
Computer Networks and Communications,50
Computer Science Applications,24
Computer Vision and Pattern Recognition,51
Condensed Matter Physics,29
Conservation,29
Control and Systems Engineering,57
Critical Care and Intensive Care Medicine,13
Cultural Studies,235
Demography,176
Dermatology,96
Development,84
Developmental and Educational Psychology,28
Developmental Biology,3
Developmental Neuroscience,5
Discrete Mathematics and Combinatorics,2
Earth-Surface Processes,20
Ecological Modeling,6
Ecology,113
"Ecology, Evolution, Behavior and Systematics",139
Economics and Econometrics,1743
Education,234
Electrical and Electronic Engineering,165
Electrochemistry,28
"Electronic, Optical and Magnetic Materials",63
Emergency Medical Services,35
Emergency Medicine,90
Endocrine and Autonomic Systems,9
Endocrinology,35
"Endocrinology, Diabetes and Metabolism",82
Energy Engineering and Power Technology,3
Environmental Chemistry,62
Environmental Engineering,35
Epidemiology,260
Equine,12
Experimental and Cognitive Psychology,83
Family Practice,4
Filtration and Separation,13
Finance,588
Fluid Flow and Transfer Processes,47
Food Science,135
Forestry,7
Fuel Technology,3
Gastroenterology,16
Gender Studies,172
General Agricultural and Biological Sciences,37
General Arts and Humanities,13
General Decision Sciences,23
General Dentistry,1
"General Economics, Econometrics and Finance",171
General Energy,7
General Health Professions,628
General Materials Science,26
General Psychology,22
General Social Sciences,37
Genetics,257
Geochemistry and Petrology,12
"Geography, Planning and Development",128
Geology,8
Geometry and Topology,15
Geophysics,29
Geriatrics and Gerontology,2
Global and Planetary Change,132
Hardware and Architecture,10
Health,65
Health Informatics,21
Health Information Management,4
"Health, Toxicology and Mutagenesis",63
Hematology,68
Hepatology,15
History,3522
History and Philosophy of Science,380
Horticulture,1
Human-Computer Interaction,15
Human Factors and Ergonomics,5
Immunology,89
Immunology and Allergy,40
Industrial and Manufacturing Engineering,222
Industrial relations,11
Infectious Diseases,109
Information Systems,272
Information Systems and Management,69
Inorganic Chemistry,195
Insect Science,64
Instrumentation,13
Internal Medicine,11
Language and Linguistics,427
Law,3962
Leadership and Management,1
Library and Information Sciences,2
Life-span and Life-course Studies,1
Linguistics and Language,39
Literature and Literary Theory,435
Management Information Systems,112
"Management, Monitoring, Policy and Law",213
Management of Technology and Innovation,231
Management Science and Operations Research,60
Marketing,165
Materials Chemistry,371
Mathematical Physics,16
Mechanical Engineering,424
Mechanics of Materials,104
Media Technology,39
Medical Laboratory Technology,1
Metals and Alloys,16
Microbiology,29
Modeling and Simulation,5
Molecular Biology,470
Molecular Medicine,8
Museology,127
Music,36
Nature and Landscape Conservation,228
Nephrology,42
Neurology,148
Neuropsychology and Physiological Psychology,2
Nuclear and High Energy Physics,56
Nuclear Energy and Engineering,3
Numerical Analysis,9
Nutrition and Dietetics,83
Obstetrics and Gynecology,24
Occupational Therapy,6
Ocean Engineering,33
Oceanography,30
Oncology,102
Ophthalmology,63
Oral Surgery,11
Organic Chemistry,467
Organizational Behavior and Human Resource Management,669
Orthodontics,7
Orthopedics and Sports Medicine,26
Otorhinolaryngology,19
Paleontology,63
Parasitology,33
Pathology and Forensic Medicine,179
"Pediatrics, Perinatology and Child Health",246
Periodontics,9
Pharmaceutical Science,39
Pharmacology,142
Pharmacy,129
Philosophy,1121
Physical and Theoretical Chemistry,113
"Physical Therapy, Sports Therapy and Rehabilitation",147
Physiology,161
Plant Science,266
Political Science and International Relations,8298
Pollution,42
Polymers and Plastics,94
Process Chemistry and Technology,19
Psychiatry and Mental health,85
Public Administration,186
"Public Health, Environmental and Occupational Health",1081
Pulmonary and Respiratory Medicine,222
Radiation,37
Radiological and Ultrasound Technology,15
"Radiology, Nuclear Medicine and Imaging",129
Rehabilitation,31
Religious studies,698
"Renewable Energy, Sustainability and the Environment",75
Reproductive Medicine,84
Rheumatology,123
Safety Research,210
"Safety, Risk, Reliability and Quality",37
Sensory Systems,11
Signal Processing,23
Small Animals,81
Social Psychology,291
Sociology and Political Science,6146
Software,6
Soil Science,44
Space and Planetary Science,40
Spectroscopy,135
Speech and Hearing,27
Statistical and Nonlinear Physics,43
Statistics and Probability,25
"Statistics, Probability and Uncertainty",38
Strategy and Management,2802
Structural Biology,5
"Surfaces, Coatings and Films",43
Surgery,534
Theoretical Computer Science,19
"Tourism, Leisure and Hospitality Management",19
Toxicology,13
Transplantation,12
Transportation,35
Urban Studies,115
Urology,35
Virology,28
Visual Arts and Performing Arts,100
Water Science and Technology,50
