"domain","field","subfield","count"
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",12750
Health Sciences,Health Professions,General Health Professions,1518
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",942
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",188
Health Sciences,Medicine,Emergency Medicine,81
Health Sciences,Medicine,Surgery,57
Health Sciences,Medicine,Physiology,45
Health Sciences,Health Professions,Pharmacy,44
Health Sciences,Medicine,Pathology and Forensic Medicine,44
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",32
Health Sciences,Medicine,Reproductive Medicine,32
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,24
Health Sciences,Medicine,Epidemiology,22
Health Sciences,Veterinary,Small Animals,16
Health Sciences,Medicine,Psychiatry and Mental health,16
Health Sciences,Medicine,Dermatology,13
Health Sciences,Health Professions,Emergency Medical Services,12
Health Sciences,Medicine,Oncology,11
Health Sciences,Medicine,Rheumatology,9
Health Sciences,Medicine,Complementary and alternative medicine,8
Health Sciences,Medicine,Ophthalmology,9
Health Sciences,Medicine,Neurology,8
Health Sciences,Medicine,Immunology and Allergy,8
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,7
Health Sciences,Medicine,Infectious Diseases,5
Health Sciences,Health Professions,Radiological and Ultrasound Technology,5
Health Sciences,Health Professions,Speech and Hearing,5
Health Sciences,Medicine,Hematology,4
Health Sciences,Veterinary,Equine,4
Health Sciences,Medicine,Obstetrics and Gynecology,4
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",3
Health Sciences,Medicine,Health Informatics,3
Health Sciences,Medicine,Biochemistry,3
Health Sciences,Health Professions,Occupational Therapy,3
Health Sciences,Medicine,Pharmacology,2
Health Sciences,Medicine,Genetics,2
Health Sciences,Dentistry,Periodontics,1
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,2
Health Sciences,Medicine,Anatomy,2
Health Sciences,Medicine,Rehabilitation,2
Health Sciences,Health Professions,Medical Laboratory Technology,2
Health Sciences,Nursing,Nutrition and Dietetics,2
Health Sciences,Medicine,Transplantation,1
Health Sciences,Health Professions,Health Information Management,1
Health Sciences,Medicine,Nephrology,1
Health Sciences,Medicine,Gastroenterology,1
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,250
Life Sciences,Neuroscience,Cognitive Neuroscience,55
Life Sciences,Agricultural and Biological Sciences,Food Science,46
Life Sciences,Agricultural and Biological Sciences,Plant Science,40
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,32
Life Sciences,Neuroscience,Neurology,27
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",27
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,22
Life Sciences,Agricultural and Biological Sciences,General Agricultural and Biological Sciences,20
Life Sciences,Immunology and Microbiology,Immunology,17
Life Sciences,Agricultural and Biological Sciences,Agronomy and Crop Science,5
Life Sciences,Agricultural and Biological Sciences,Soil Science,5
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,5
Life Sciences,Immunology and Microbiology,Virology,5
Life Sciences,Agricultural and Biological Sciences,Insect Science,4
Life Sciences,Neuroscience,Endocrine and Autonomic Systems,2
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,2
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Toxicology,2
Life Sciences,Immunology and Microbiology,Microbiology,2
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,2
Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,2
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Endocrinology,1
Life Sciences,Immunology and Microbiology,Parasitology,1
Life Sciences,Neuroscience,Behavioral Neuroscience,1
Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,1
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biotechnology,1
Physical Sciences,Engineering,Computational Mechanics,451
Physical Sciences,Computer Science,Information Systems,265
Physical Sciences,Environmental Science,Nature and Landscape Conservation,253
Physical Sciences,Engineering,Architecture,195
Physical Sciences,Engineering,Industrial and Manufacturing Engineering,155
Physical Sciences,Engineering,Civil and Structural Engineering,143
Physical Sciences,Energy,"Renewable Energy, Sustainability and the Environment",132
Physical Sciences,Computer Science,Artificial Intelligence,101
Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",94
Physical Sciences,Engineering,Mechanical Engineering,90
Physical Sciences,Engineering,Automotive Engineering,57
Physical Sciences,Engineering,Electrical and Electronic Engineering,41
Physical Sciences,Environmental Science,Pollution,40
Physical Sciences,Engineering,"Safety, Risk, Reliability and Quality",34
Physical Sciences,Earth and Planetary Sciences,Space and Planetary Science,33
Physical Sciences,Engineering,Media Technology,33
Physical Sciences,Energy,General Energy,32
Physical Sciences,Computer Science,Computer Networks and Communications,26
Physical Sciences,Computer Science,Computational Theory and Mathematics,24
Physical Sciences,Engineering,Building and Construction,20
Physical Sciences,Materials Science,Materials Chemistry,20
Physical Sciences,Physics and Astronomy,Astronomy and Astrophysics,17
Physical Sciences,Chemistry,Inorganic Chemistry,18
Physical Sciences,Chemistry,Organic Chemistry,16
Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,14
Physical Sciences,Environmental Science,Global and Planetary Change,14
Physical Sciences,Engineering,Aerospace Engineering,13
Physical Sciences,Mathematics,Theoretical Computer Science,13
Physical Sciences,Engineering,Ocean Engineering,11
Physical Sciences,Mathematics,Statistics and Probability,11
