"abk","pubyear","journal_impact_factor"
AcP,2000,0.03
AcP,2001,0.00
AcP,2002,0.02
AcP,2003,0.02
AcP,2004,0.05
AcP,2005,0.02
AcP,2006,0.17
AcP,2007,0.16
AcP,2008,0.07
AcP,2009,0.07
AcP,2010,0.05
AcP,2011,0.04
AcP,2012,0.18
AcP,2013,0.08
AcP,2014,0.05
AcP,2015,0.00
AcP,2016,0.02
AcP,2017,0.20
AcP,2018,0.19
AcP,2019,0.06
AcP,2020,0.26
AcP,2021,0.01
AcP,2022,0.08
AcP,2023,0.17
AG,2000,
AG,2008,0.00
AG,2009,0.04
AG,2010,0.07
AG,2011,0.05
AG,2012,0.05
AG,2013,0.02
AG,2014,0.02
AG,2015,0.02
AG,2016,0.00
AG,2017,0.02
AG,2018,0.00
AG,2019,0.01
AG,2020,0.00
AG,2021,0.01
AG,2022,0.01
AG,2023,0.01
AöR,2000,0.04
AöR,2001,0.07
AöR,2002,0.14
AöR,2003,0.02
AöR,2004,0.02
AöR,2005,0.09
AöR,2006,0.09
AöR,2007,0.03
AöR,2008,0.03
AöR,2009,0.05
AöR,2010,0.07
AöR,2011,0.07
AöR,2012,0.08
AöR,2013,0.16
AöR,2014,0.12
AöR,2015,0.10
AöR,2016,0.04
AöR,2017,0.09
AöR,2018,0.11
AöR,2019,0.32
AöR,2020,0.22
AöR,2021,0.11
AöR,2022,0.17
AöR,2023,0.12
AVR,2001,0.00
AVR,2002,0.00
AVR,2003,0.07
AVR,2004,0.13
AVR,2005,0.04
AVR,2006,0.07
AVR,2007,0.09
AVR,2008,0.10
AVR,2009,0.08
AVR,2010,0.38
AVR,2011,0.17
AVR,2012,0.08
AVR,2013,0.10
AVR,2014,0.10
AVR,2015,0.16
AVR,2016,0.22
AVR,2017,0.10
AVR,2018,0.07
AVR,2019,0.08
AVR,2020,0.18
AVR,2021,0.15
AVR,2022,0.13
AVR,2023,0.12
BB,2001,0.00
BB,2002,0.00
BB,2003,0.14
BB,2004,0.83
BB,2005,0.40
BB,2006,0.29
BB,2007,0.25
BB,2008,0.33
BB,2010,0.20
BB,2011,0.00
BB,2012,0.14
BB,2013,0.20
BB,2014,0.00
BB,2015,0.00
BB,2016,0.13
BB,2017,0.00
BB,2018,0.25
BB,2020,
CR,2000,0.00
CR,2001,0.00
CR,2002,0.50
CR,2004,0.00
CR,2005,0.00
CR,2006,0.00
CR,2007,0.02
CR,2008,0.05
CR,2009,0.04
CR,2010,0.03
CR,2011,0.02
CR,2012,0.02
