"keyword","item_cnt"
Legal Methodology,8152
Informed Consent,4172
European Law,4001
Privacy,2915
Constitutional Courts,2880
Human Rights,2866
Legal History,2755
Criminal Law,2525
Participation,2394
Company Governance,2092
Governance,2042
Corporate Criminal Liability,2031
European Legal Systems,1773
Digital Rights,1618
Criminal Justice,1596
Migration Law,1587
Patient Rights,1581
European Company Law,1506
Financial Analysis,1416
Gender,1377
Corporate Law Arbitrage,1373
Literaturkritik,1366
Privacy Regulations,1342
Youth Offenders,1339
Kultur,1276
Regulatory Agencies,1215
Unfair Trading Practices,1175
Digitalization,1132
Legal Reforms,1104
Physician Liability,1094
Healthcare Law,1082
Policy Change,1012
Autorschaft,1007
Ästhetik,950
Bildung,943
EU Competition Law,891
Robotics Liability,868
Legal Systems,797
Poetik,792
Constitutional Law,791
European Private Law,714
Investment Decisions,662
Bioethics,661
Contract Law,607
Psychiatric Evaluation,600
Bargaining Power,556
Choice of Law,517
Medieval Literature,494
Data Protection,463
Digital Markets Act,459
Leadership,434
Digital Governance,421
Cross-Border Litigation,412
Corporate Taxation,388
Private International Law,370
Antitrust Regulation,370
Legal Harmonization,353
Corporate Mobility,343
Sustainability,329
EU Integration,318
Historical Narratives,303
International Law,288
Discourse Analysis,266
European Integration,249
Policing,246
Worker Participation,243
Public Administration,238
Late Antiquity,237
Human Rights Violations,236
Jurisdiction Agreements,236
Legal Ethics,233
Church-State Relations,232
Family Law,232
Social History,229
Reformation,227
Archaeology,227
Directive Harmonization,215
Renewable Energy,211
European Arrest Warrant,210
Medical Ethics,207
Regulatory Competition,205
Gedächtnis,204
Mathematical Modeling,202
Quality,198
Thermal Management,198
Workplace Governance,186
Unfair Commercial Practices,177
Church History,175
Identity,170
Constitutionalism,165
Corporate Tax,165
Cross-Border Taxation,165
Accrual Accounting,160
Party Competition,160
Middle Ages,158
Data Collection,157
Regulations,152
Judicial Cooperation,150
Nazi Propaganda,147
European Stability Mechanism,143
Theology,143
Genetic Testing,141
Succession Regulation,141
EU Law,141
Literary Discourse,136
Medical Evaluation,136
Transnational Legal Pluralism,136
Greek Literature,133
Legal Education,130
Communication Practices,128
Insolvency Proceedings,128
Copyright Protection,127
Historical Texts,124
Directive on Consumer Rights,123
Reproductive Medicine,122
Freedom of Establishment,119
International Taxation,115
Security Measures,115
Regulatory Framework,114
Liber Pontificalis,113
Legal Transplants,109
Ancient Poetry,107
Surveillance Law,106
Prosecutorial Misconduct,106
Intergenerational Justice,104
Family Caregiving,102
E-Commerce,102
Praxis,99
Diplomacy,99
Environmental Sustainability,96
Terrorism Legislation,93
Cross-border Mergers,92
Horst,92
Consumer Protection,90
Data Privacy,89
Supply Chain Controlling,88
Religious Practices,87
Text Linguistics,87
Religious Education,86
Occupation,86
Comparative Philology,86
International Humanitarian Law,85
Comparative Law,84
Revolutionary Historiography,83
Conflict of Laws,83
International Criminal Law,81
SE (Societas Europaea),80
Artificial Intelligences,80
Rehabilitation,80
Business Models,80
Security,79
Manuscripts,78
Bildungsbeteiligung,76
Legal Analysis,75
Work Reintegration,75
Construction,74
Digital Transformation,74
Fundamental Rights,73
Cross-border Insolvency,72
ECHR,71
Tax Avoidance,71
Technology Innovation,70
Canon Law,69
Harmonization,68
Interreligious Relations,68
Lexicography,67
Language Variation,67
Cultural Analysis,67
Customer Retention Management,67
Arts,67
Arbitration,66
Holocaust Literature,66
Monetary Policy Instruments,66
Museums,65
Materiality,65
Financial Reporting,64
Autonomous Vehicles,62
Mediation,62
Historical Phonology,62
Intellectual History,62
Monetary Targeting,62
Gift-giving,62
Stuttgart,61
Corona (planetary geology),61
Transfer Pricing,60
Derecho,59
Church Buildings,59
Historiography,58
Linguistics,58
Legal Cultures,58
Byzantine Philosophy,58
Literature,58
Canon,57
Privacy Concerns,57
Customer Experience,57
Theological Questions,56
"2019-20 coronavirus outbreak",56
Democracy,56
Phraseology,55
Canon law,55
Maritime Law,55
Bildungsentscheidungen,54
Ethical Theory,54
International Relations,52
Liability,52
Prison System,51
Social Movements,51
EU citizenship,51
Exclusionary Rule,51
Cultural History,51
Parental Discretion,51
Religious Law,50
Copyright Law,50
Rituals,49
Polish history,49
Neo-liberalism,49
coordination of benefits,49
East German Memory,48
Online Dispute Resolution,48
Self-Efficacy,48
Coaching,48
Customer Relationship Management,48
Literature Analysis,48
Medieval Economic Thought,47
Complex Systems,47
ExpertInneninterviews,47
Seclusion and Restraint,46
Shipping Regulations,46
Royal Succession,46
Debtor-in-possession Financing,46
Verbraucherpolitik,46
Ethical Consumption,45
Mutual Recognition,45
Qualitative Inhaltsanalyse,45
Religious Interpretation,45
Political Power,44
Investment Treaty Arbitration,44
Medieval Architecture,44
Diplomatic Culture,44
Religious Power,43
Personality Match,43
Trade Contracts,43
History,43
Epistemic Practices,43
Classical Antiquity,43
Religious Policy,42
Labor Laws,42
Brussels Regulation,42
Code (set theory),41
Gender and Society,41
End-of-Life Care,41
Aging and Health Policy,41
Online Behavior,40
Soziale Praktiken,40
Relationships,40
Cost Effectiveness,40
Responsibility to Protect,40
Bankruptcy Law,39
Digital Media,39
Medieval Society,39
Workplace,38
Family Structures,38
Authorship,38
Constitutional court,38
Islamic Manuscripts,38
Visual Jurisprudence,38
Geographical Discourse Analysis,38
Legal Philosophy,38
Conservation,37
Drug Policy,37
Schulze method,37
Sustainable Development,37
Emotionalization,37
Insurance,36
Ancient Languages,36
Fiscal Consolidation,36
Standardization of Language,36
Critique,36
Reconfigurable Manufacturing Systems,36
Political Dynamics,36
Ethical Considerations,35
Privacy Rights,35
Identity Politics,35
Criminal Behavior,34
Legitimation,34
Sociolinguistics,34
Political Polarization,33
Etymology,33
Collaborative Federalism,32
Religious Influence,32
Cultural Studies,32
Legal Consciousness,32
Health Care Utilization,32
Telemedicine,32
Sexuality,31
Consumer Policy,31
Legal Semiotics,30
Freedom of Religion,30
Collective Bargaining,30
Corporate Governance,30
Mediendidaktik,30
Responsibility,30
Shareholder Value,30
Historical Preservation,30
Information Technology,30
