"source_id","display_name","works_count","cited_by_count","law_and_de","law_and_de_article_share","citations_per_paper"
S110831062,Die Weltwirtschaft,337,353,19,0.06,1.05
S178010760,Hofstra law review,1467,4645,3,0.00,3.17
S20330309,Feministische Studien,1951,4880,102,0.05,2.50
S2680034,Medizinische Klinik - Intensivmedizin und Notfallmedizin,2889,8016,3,0.00,2.77
S27139232,Sinn und Form,1785,149,21,0.01,0.08
S2739446015,Agora,2466,2680,1,0.00,1.09
S4210171211,kangwon Law Review,794,351,49,0.06,0.44
S4210183121,Journal für Psychoanalyse,385,117,1,0.00,0.30
S4210191341,De Uil van Minerva,1261,89,1,0.00,0.07
S4210192797,Wijsgerig Perspectief,348,78,2,0.01,0.22
S4210210319,AfP,1352,210,498,0.37,0.16
S4210233297,SPIEL,408,315,2,0.00,0.77
S4306502409,Antonianum,1305,409,1,0.00,0.31
S4306504987,BTW,436,2259,3,0.01,5.18
S4306521884,Pädagogik,168,145,3,0.02,0.86
S4306535553,Zeitschrift für Arbeitswissenschaft,67,280,2,0.03,4.18
S4363604060,SpringerReference,85367,0,7,0.00,0.00
S4387281302,Wochenschau,30,0,1,0.03,0.00
S51620728,Law review,1252,291,29,0.02,0.23
S79135273,Sociology,7747,176252,2,0.00,22.75
S936582704,Zeitschrift für Philosophie und philosophische Kritik,2,1317,1,0.50,658.50
S93676754,The Modern Language Review,37043,245841,15,0.00,6.64
S93689439,Datenschutz Und Datensicherheit,623,652,320,0.51,1.05
S937120200,Archiv für Begriffsgeschichte,322,121,3,0.01,0.38
S93774751,Medycyna Weterynaryjna,7481,8934,1,0.00,1.19
S93794582,PPH,1885,548,6,0.00,0.29
S100134864,European Journal of Political Economy,2639,97072,1,0.00,36.78
S1001536755,Philotheos,522,186,2,0.00,0.36
S100217200,Jura - Juristische Ausbildung,24,2,17,0.71,0.08
S1002663397,"GRURRR. Gewerblicher Rechtsschutz und Urheberrecht, Rechtsprechungs-Report/GRUR-DVD/GRUR-CD/IIC/Gewerblicher Rechtsschutz und Urheberrecht/Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil",52,39,27,0.52,0.75
S100269456,ASA Bulletin,2560,856,150,0.06,0.33
S1003217925,Bogoslovni vestnik,398,581,1,0.00,1.46
S100444939,Colloid & Polymer Science,25434,249795,115,0.00,9.82
S1004904615,Revista de Estudios Políticos,4892,5662,9,0.00,1.16
S100750902,McGill Law Journal,557,2983,1,0.00,5.36
S10075937,Journal of Cancer Research and Clinical Oncology,15724,210606,8,0.00,13.39
S1007696303,Cahiers de civilisation médiévale,5427,7666,2,0.00,1.41
S1009102973,Sicherheit & Frieden,866,1452,10,0.01,1.68
S101120184,The International Spectator,2654,9883,1,0.00,3.72
S101276479,Deutsche Lebensmittel-Rundschau,530,2163,2,0.00,4.08
S1012801158,Die pharmazeutische Industrie/Pharmazeutische Industrie,119,688,1,0.01,5.78
S101410500,Der Orthopäde,4857,40009,4,0.00,8.24
S101510409,The American Journal of Surgery,39043,832366,1,0.00,21.32
S101518821,Archives of Animal Nutrition,1133,16333,1,0.00,14.42
S1015511899,Pflegewissenschaft,37,15,1,0.03,0.41
S1016111185,Revue des Études Juives,4863,1623,4,0.00,0.33
S101617623,Acta Metallurgica,7476,486010,2,0.00,65.01
S1017295528,Nieren- und Hochdruckkrankheiten,1458,348,4,0.00,0.24
S1017791164,Zeitschrift für Evangelische Ethik,3187,1485,137,0.04,0.47
S1020933676,Palimpsest,1958,633,1,0.00,0.32
S1020997206,New West Indian Guide / Nieuwe West-Indische Gids,3412,4084,1,0.00,1.20
S102120254,Tidsskrift for Rettsvitenskap,1410,901,3,0.00,0.64
S1022351662,Anglia - Zeitschrift für englische Philologie,4476,6615,10,0.00,1.48
S1024009979,Zeitschrift für die neutestamentliche Wissenschaft,2999,6313,23,0.01,2.11
S1024375910,Zeitschrift für Europäisches Unternehmens- und Verbraucherrecht,273,698,31,0.11,2.56
S1025606787,Welt Der Slaven-halbjahresschrift Fur Slavistik,29,12,1,0.03,0.41
S1025762778,"Philosophy, psychiatry & psychology",1575,13323,1,0.00,8.46
S1026066829,Zeitschrift für Evaluation,261,200,2,0.01,0.77
S1027252803,Österreichische Musikzeitschrift,15217,1417,113,0.01,0.09
S102900456,Refugee Survey Quarterly,3005,10017,2,0.00,3.33
S1029440727,Círculo de lingüística aplicada a la comunicación,990,2367,1,0.00,2.39
S102976925,The Cambridge Quarterly,2013,2569,1,0.00,1.28
S1029951169,Philosophisches Jahrbuch,1173,832,54,0.05,0.71
S1031404262,Zeitschrift Fur Geschichtswissenschaft,67,68,1,0.01,1.01
S103146128,Ethical Theory and Moral Practice,1761,18607,1,0.00,10.57
S103229351,Leonardo,10456,107453,3,0.00,10.28
S103290601,Hebamme,1423,338,11,0.01,0.24
S1034071999,Zeitschrift für deutsche Philologie digital/Zeitschrift für deutsche Philologie,1812,693,11,0.01,0.38
S1037895521,Thought,5884,24472,1,0.00,4.16
S103992557,Novum Testamentum,2990,12520,6,0.00,4.19
S1043140957,Euphorion,553,105,4,0.01,0.19
S1043850634,Bwk,52,29,3,0.06,0.56
S104415515,Journal of Investigative Medicine,13794,34898,4,0.00,2.53
S1044388164,Zeitschrift für Familienforschung,194,871,8,0.04,4.49
S104471971,Lung,9716,82201,13,0.00,8.46
S104501681,Kierkegaard Studies Yearbook,746,790,1,0.00,1.06
S104732370,Zeitschrift für Naturforschung B,19876,219831,15,0.00,11.06
S104811990,State and Local Government Review,657,7555,1,0.00,11.50
S104827148,The Counseling Psychologist,3228,94656,1,0.00,29.32
S104894821,Mathematische Zeitschrift,12912,235091,50,0.00,18.21
S104921184,The Physics Teacher,17166,47049,1,0.00,2.74
S104981805,East Asian Science Technology and Society An International Journal,1106,5395,1,0.00,4.88
S105087119,The International Journal of Nautical Archaeology,3725,15907,1,0.00,4.27
S105208853,Journal of Chemical Education,55151,420917,1,0.00,7.63
S105355132,Betriebswirtschaftliche Forschung Und Praxis,97,217,6,0.06,2.24
S105430050,Journal of World Trade,3226,20135,1,0.00,6.24
S105637830,Berichte der deutschen chemischen Gesellschaft,30917,262105,2,0.00,8.48
S105693234,Probability Theory and Related Fields,3051,107331,1,0.00,35.18
S105737376,Lingua,6219,151809,1,0.00,24.41
S10584360,Kodai Mathematical Journal,2502,18861,1,0.00,7.54
S106137443,Pharmacology,6665,89222,1,0.00,13.39
S106414675,Svensk Exegetisk Årsbok,497,150,1,0.00,0.30
S106707257,Periodica Mathematica Hungarica,2216,14821,1,0.00,6.69
S106835946,Byzantinische Zeitschrift,4297,11555,53,0.01,2.69
S106963461,Nature Biotechnology,18560,1566616,1,0.00,84.41
S107033909,Journal of Economics,2581,20651,1,0.00,8.00
S107056185,Muttersprache Vierteljahresschrift für deutsche Sprache,746,425,19,0.03,0.57
S10721641,MATHEMATICA SCANDINAVICA,2900,47205,1,0.00,16.28
S107642792,The Expository Times,24759,6391,1,0.00,0.26
S107914479,University of Pennsylvania Law Review,3991,40101,4,0.00,10.05
S108264783,International Journal of Mass Spectrometry,6840,130372,1,0.00,19.06
S108365452,Rabels Zeitschrift für ausländisches und internationales Privatrecht,1485,2389,577,0.39,1.61
S108845946,Economica,10637,403690,5,0.00,37.95
S109108137,International Labor and Working-Class History,2549,8078,1,0.00,3.17
S109194713,Focus on Powder Coatings,7182,1169,1,0.00,0.16
S109420025,Washington law review,1683,5185,1,0.00,3.08
S109515654,Romanische Forschungen,1582,1582,2,0.00,1.00
S109822441,Environmental Law Review,1285,1809,28,0.02,1.41
S110388240,Cahiers de topologie et géométrie différentielle catégoriques,565,5140,1,0.00,9.10
S11051793,Journal of Ornithology,7022,35799,53,0.01,5.10
S11097115,Public Health,26137,159066,1,0.00,6.09
S111121700,Physiotherapy,12750,91351,1,0.00,7.16
S111155417,Journal of the American Chemical Society,211741,14182008,1,0.00,66.98
S111163843,Transfer European Review of Labour and Research,2349,16382,3,0.00,6.97
S111391483,Acta Archaeologica,1540,1926,2,0.00,1.25
S111681200,New Testament Studies,3399,20586,2,0.00,6.06
S111957458,Pneumologie,14319,16800,5,0.00,1.17
S111975091,Electrical Engineering,3278,21007,1,0.00,6.41
S112233285,Notes,16208,65924,2,0.00,4.07
S112262039,Multimedia Systems,1964,36156,3,0.00,18.41
S112816734,Journal of The Japan Society for Precision Engineering,658,227,1,0.00,0.34
S113166945,History of European Ideas,4967,46520,1,0.00,9.37
S113444737,Kriminologisches Journal,1364,2554,137,0.10,1.87
S11350316,Wirtschaftsdienst,11305,8581,984,0.09,0.76
S113542759,Acta Mathematica,2284,170749,3,0.00,74.76
S113557333,Hokkaido Mathematical Journal,1781,12363,2,0.00,6.94
S11365620,Turcica,379,1943,1,0.00,5.13
S113778012,The medieval review,5275,1297,28,0.01,0.25
S113942516,Bulletin de correspondance hellénique,4656,18475,1,0.00,3.97
S113963021,kleintier konkret,1165,179,12,0.01,0.15
S114257564,Psychosomatics,7597,189138,1,0.00,24.90
S114466185,Beton- und Stahlbetonbau,8408,14772,32,0.00,1.76
S114466708,Newsletters on Stratigraphy,845,15942,1,0.00,18.87
S114495353,International Criminal Law Review,946,6594,3,0.00,6.97
S114599316,HNO,5019,29279,14,0.00,5.83
S114691300,The Journal of Asian Studies,23104,92421,1,0.00,4.00
S114722742,Primary Dental Care,714,4296,1,0.00,6.02
S11479521,Decision Support Systems,5679,255723,1,0.00,45.03
S115206073,Neohelicon,2193,2641,3,0.00,1.20
S115516397,Revue économique,12294,85115,4,0.00,6.92
S115644834,The American journal of trial advocacy,42,24,1,0.02,0.57
S115697578,Herzschrittmachertherapie + Elektrophysiologie,1726,3962,7,0.00,2.30
S115911482,Review of Socialist Law,492,935,9,0.02,1.90
S116025658,American Journal of Psychiatry,48911,2009270,3,0.00,41.08
S116141603,Revue du Nord,8177,6521,2,0.00,0.80
S116290723,disP - The Planning Review,1948,7163,19,0.01,3.68
S116483603,Journal of Risk & Insurance,3745,76570,1,0.00,20.45
S116566766,The Journal of the American Dental Association,34054,332397,4,0.00,9.76
S1166745,Automatisierungstechnik,129,270,2,0.02,2.09
S117125115,European Law Journal,1340,32134,2,0.00,23.98
S117203113,Sportwissenschaft,742,2330,5,0.01,3.14
S117224066,German Law Journal,2382,15534,21,0.01,6.52
S117292697,Liebigs Annalen der Chemie,3805,52705,1,0.00,13.85
S117342566,Arbitrium,5189,4349,36,0.01,0.84
S117766065,Harvard Law Review,19902,137190,25,0.00,6.89
S117819788,The Russian Review,7421,63754,1,0.00,8.59
S118657254,TDM,2138,4356,5,0.00,2.04
S118812498,Annals of public and co-operative economy,3415,20257,1,0.00,5.93
S118926362,Dialogues d histoire ancienne,2912,4213,1,0.00,1.45
S118971363,Fordham environmental law review,424,960,1,0.00,2.26
S11923579,Zeitschrift für Kulturphilosophie,546,428,2,0.00,0.78
S119257654,Juznoslovenski filolog,462,170,1,0.00,0.37
S119293249,Revue de métaphysique et de morale,1874,8267,3,0.00,4.41
S119350747,Viszeralmedizin,384,442,5,0.01,1.15
S119469123,Feddes Repertorium,9490,21155,9,0.00,2.23
S119517098,Acta agriculturae Slovenica,1893,4625,1,0.00,2.44
S119682046,LOG IN,179,379,6,0.03,2.12
S119722071,Annals of Internal Medicine,61505,3091342,1,0.00,50.26
S119953358,Cold Spring Harbor Protocols,10441,57551,1,0.00,5.51
S11998145,Geological Quarterly,3259,17166,1,0.00,5.27
S120433428,Duke Law Journal,2503,18933,1,0.00,7.56
S120459012,Harvard Studies in Classical Philology,1131,20983,1,0.00,18.55
S12065667,Microchimica Acta,15388,247585,6,0.00,16.09
S120986146,Studia Humaniora Tartuensia,90,191,1,0.01,2.12
S121222519,Der Internist,6039,13912,52,0.01,2.30
S121408665,Public Health Forum,3105,2735,14,0.00,0.88
S121535265,Respiration,7750,127410,2,0.00,16.44
S121668400,Philosophical Inquiry,860,2649,1,0.00,3.08
S12198553,Argumentation,1523,15556,1,0.00,10.21
