"source_id","display_name","works_count","cited_by_count","law_and_de","law_and_de_article_share","citations_per_paper","in_goldstandard"
S4306536199,ZHR : Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht,281,86,103,0.37,0.31,false
S4306536235,ZIP :  Zeitschrift für wirtschaftsrecht,303,71,131,0.43,0.23,false
S4306536236,ZIP :  Zeitschrift für Wirtschaftsrecht,1300,293,769,0.59,0.23,false
S4306536288,ZStrR :  Schweizerische zeitschrift für strafrecht,313,57,114,0.36,0.18,false
S4306553101,民事訴訟雑誌,389,70,56,0.14,0.18,false
S4363605508,Neue juristische Wochenschrift,49,0,27,0.55,0.00,false
S4363607268,De processibus matrimonialibus,82,0,17,0.21,0.00,false
S4387277827,Datenschutz und Datensicherheit,20,0,14,0.70,0.00,false
S4387278384,Berliner Anwaltsblatt,1372,0,497,0.36,0.00,false
S4387278842,Steuer und Wirtschaft - StuW,804,0,181,0.23,0.00,false
S4387281413,EuZ – Zeitschrift für Europarecht,32,0,11,0.34,0.00,false
S4387284824,ex/ante,100,0,21,0.21,0.00,false
S4387285486,Zeitschrift für Neuere Rechtsgeschichte,339,0,116,0.34,0.00,false
S4387288088,Frankfurt Law Review,16,0,10,0.63,0.00,false
S4387288851,Göttinger Rechtszeitschrift,167,0,109,0.65,0.00,false
S4387289359,Causa Sport,50,0,14,0.28,0.00,false
S4387289594,Zeitschrift für Europarecht Int Privatrecht und RechtsvergleichungZeitschrift für Europarecht Int Privatrecht und Rechtsvergleichung,164,0,66,0.40,0.00,false
S4387292983,Newsletter zum Bau- und Liegenschaftsrecht,270,0,79,0.29,0.00,false
S4390296719,info also,58,0,17,0.29,0.00,false
S4393917364,Finanzwesen der Gemeinden,28,0,17,0.61,0.00,false
S4393917786,Steuerrecht und Steuerberatung,42,0,21,0.50,0.00,false
S4393917791,"Bilanz-, Prüfungs- und Steuerwesen",74,0,20,0.27,0.00,false
S4393917798,Göttinger juristische Schriften,43,0,12,0.28,0.00,false
S4393917802,Berliner Kommentare,134,0,79,0.59,0.00,false
S4393918332,Vergabe infoletter,474,0,250,0.53,0.00,false
S60284270,Natur und Recht,4055,1013,1007,0.25,0.25,false
S63543247,Elemente Der Mathematik,221,954,28,0.13,4.32,false
S950333007,Monatsschrift für Kriminologie und Strafrechtsreform,6999,5466,768,0.11,0.78,false
S95818940,Datenschutz und Datensicherheit - DuD,3966,3837,1455,0.37,0.97,false
S98369295,Medizinrecht,6857,3992,1339,0.20,0.58,false
S99587756,Rechtstheorie,699,799,322,0.46,1.14,false
S78787406,Archiv des öffentlichen Rechts,1042,1364,576,0.55,1.31,true
S82779185,Archiv für die civilistische Praxis,1245,1249,711,0.57,1.00,true
S4210210319,AfP,1352,210,498,0.37,0.16,false
S93689439,Datenschutz Und Datensicherheit,623,652,320,0.51,1.05,false
S100217200,Jura - Juristische Ausbildung,24,2,17,0.71,0.08,false
S1002663397,"GRURRR. Gewerblicher Rechtsschutz und Urheberrecht, Rechtsprechungs-Report/GRUR-DVD/GRUR-CD/IIC/Gewerblicher Rechtsschutz und Urheberrecht/Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil",52,39,27,0.52,0.75,false
S1024375910,Zeitschrift für Europäisches Unternehmens- und Verbraucherrecht,273,698,31,0.11,2.56,false
S113444737,Kriminologisches Journal,1364,2554,137,0.10,1.87,false
S128114691,ORDO,923,1913,98,0.11,2.07,false
S145628082,Die Verwaltung,30,113,16,0.53,3.77,false
S16413858,Kriminalistik,176,103,19,0.11,0.59,false
S165273343,Allgemeine Zeitschrift für Philosophie (AZP),1352,37,148,0.11,0.03,false
S2736374698,sui generis,275,81,92,0.33,0.29,false
S2736823487,Austrian law journal,55,47,34,0.62,0.85,false
S2764365625,RWI Projektberichte,243,144,25,0.10,0.59,false
S2764421229,Rechtshistorisches Journal,170,257,39,0.23,1.51,false
S2764501783,Ritsumeikan law review. International ed./Ritsumeikan law review,432,255,116,0.27,0.59,false
S2764601581,Public Land and Resources Law Review,2112,480,230,0.11,0.23,false
S2764603812,Nagoya Daigaku hosei ronshu/Hōsei ronshū,157,16,16,0.10,0.10,false
S2764641819,Journal on European history of law,206,70,34,0.17,0.34,false
S2764900900,Local Government Law Journal,658,348,67,0.10,0.53,false
S2765000193,CHUNG_ANG LAW REVIEW,767,125,73,0.10,0.16,false
S3978835,Archiv für Rechts- und Sozialphilosophie,944,865,107,0.11,0.92,false
S4210169240,BPUVZ,357,17,36,0.10,0.05,false
S4210167952,Verkehr und Technik/V + T. Verkehr und Technik/V + T digital,1947,100,200,0.10,0.05,false
S4210167965,Zeitschrift für das Privatrecht der Europäischen Union,1375,1203,665,0.48,0.87,false
S4210168118,Zeitschrift für das gesamte Bank- und Börsenwesen,1948,120,562,0.29,0.06,false
S4210168162,Jusletter,2598,363,790,0.30,0.14,false
S4210169135,Internationales Handelsrecht,1815,1318,747,0.41,0.73,false
S4210169399,ARCHIV FÜR KATHOLISCHES KIRCHENRECHT,9096,787,1523,0.17,0.09,false
S4210169586,Das Juristische Büro,666,6,184,0.28,0.01,false
