"abk","pubyear","item_id","item_id_cited","citing_pubyear","ref_pubyear","ref_is_also_in_goldstandard","ref_is_also_german_law"
Verw,2016,W2331880228,,,,,
KJ,2010,W2323422308,,,,,
KritV,2013,W252243339,,,,,
Staat,2004,W2268670683,,,,,
Staat,2009,W1992843416,,,,,
Verw,2011,W999144215,,,,,
Verw,2013,W2037788160,,,,,
Verw,2016,W2510475214,,,,,
VerwArch,2018,W4246675651,,,,,
ZaoRV,2021,W4205999007,,,,,
ZaoRV,2022,W4323064921,,,,,
ZGR,2010,W2090912582,,,,,
ZStW,2017,W2610424193,,,,,
ZZP,2018,W2893011715,,,,,
ZZP,2018,W2893012716,,,,,
ZZP,2018,W2937116383,,,,,
ZZP,2018,W2893610649,,,,,
ZZP,2018,W2891829319,,,,,
ZZP,2018,W2913849229,,,,,
ZZP,2018,W2936754067,,,,,
ZZP,2018,W2893276060,,,,,
ZZP,2018,W2892318137,,,,,
ZZP,2018,W2892696427,,,,,
ZZP,2018,W2891652779,,,,,
ZZP,2018,W2892973943,,,,,
ZZP,2018,W4232981332,,,,,
ZZP,2018,W2964750286,,,,,
ZZP,2018,W2940255602,,,,,
ZZP,2018,W2940134519,,,,,
ZZP,2018,W2939434297,,,,,
ZZP,2018,W2938561837,,,,,
ZZP,2018,W2938143701,,,,,
ZZP,2018,W2937395768,,,,,
ZZP,2018,W2894223903,,,,,
ZZP,2018,W2806917590,,,,,
ZZP,2018,W2806215824,,,,,
ZZP,2018,W2805934713,,,,,
ZZP,2018,W4246818292,,,,,
ZZP,2018,W4239028117,,,,,
ZZP,2018,W4236987287,,,,,
ZZP,2018,W4234878159,,,,,
ZZP,2018,W2807006974,,,,,
ZZP,2018,W2807055807,,,,,
ZZP,2018,W2890634826,,,,,
ZZP,2018,W2889614179,,,,,
ZZP,2018,W2890002562,,,,,
ZZP,2018,W4248962705,,,,,
ZZP,2019,W3003540632,,,,,
AcP,1933,W2769229087,,,,,
AcP,1962,W129518985,,,,,
AcP,1964,W2768061622,,,,,
AcP,1966,W2763109385,,,,,
AcP,1968,W124106843,,,,,
AcP,1971,W598773341,,,,,
AcP,1974,W3183575963,,,,,
AcP,1976,W1724858408,,,,,
AcP,1977,W2996022665,,,,,
AcP,1978,W152423035,,,,,
AcP,1979,W3091004135,,,,,
AcP,1983,W2952213696,,,,,
AcP,1983,W2952509928,,,,,
AcP,1983,W2955819116,,,,,
AcP,1983,W2953047556,,,,,
AcP,1983,W2952602912,,,,,
AcP,1983,W2952352754,,,,,
AcP,1983,W2951125760,,,,,
AcP,1983,W2952455430,,,,,
AcP,1983,W2952687271,,,,,
AcP,1983,W2963326215,,,,,
AcP,1983,W2957279978,,,,,
AcP,1983,W2957031524,,,,,
AcP,1983,W2960757259,,,,,
AcP,1983,W2961139611,,,,,
AcP,1983,W209641259,,,,,
AcP,1983,W50384941,,,,,
AcP,1983,W2960303732,,,,,
AcP,1983,W2958256516,,,,,
AcP,1983,W107484922,,,,,
AcP,1983,W2949962588,,,,,
AcP,1983,W55609542,,,,,
AcP,1983,W54173059,,,,,
AcP,1983,W2950172888,,,,,
AcP,1983,W101364719,,,,,
AcP,1983,W2949948120,,,,,
AcP,1983,W2949986677,,,,,
AcP,1983,W2950132791,,,,,
AcP,1983,W2949619734,,,,,
AcP,1983,W2949142325,,,,,
AcP,1983,W341992150,,,,,
AcP,1984,W2949427246,,,,,
AcP,1984,W2950852086,,,,,
AcP,1984,W2950333591,,,,,
AcP,1984,W2900074304,,,,,
AcP,1984,W38505793,,,,,
AcP,1984,W76066593,,,,,
AcP,1984,W118911135,,,,,
AcP,1984,W2949829358,,,,,
AcP,1984,W38505307,,,,,
AcP,1984,W70290569,,,,,
AcP,1984,W170833348,,,,,
AcP,1984,W7550088,,,,,
AcP,1984,W2952788466,,,,,
AcP,1984,W2951165777,,,,,
AcP,1984,W2951829966,,,,,
AcP,1984,W2951133840,,,,,
AcP,1984,W2952239700,,,,,
AcP,1984,W302168481,,,,,
AcP,1984,W2955505623,,,,,
AcP,1984,W2954259088,,,,,
AcP,1984,W2954049257,,,,,
AcP,1984,W2953840402,,,,,
AcP,1984,W2953453899,,,,,
AcP,1984,W2953375518,,,,,
AcP,1984,W2953294356,,,,,
AcP,1984,W445776648,,,,,
AcP,1984,W2962321556,,,,,
AcP,1984,W2961505481,,,,,
AcP,1984,W2960869472,,,,,
AcP,1984,W2955859653,,,,,
AcP,1984,W2956095780,,,,,
AcP,1984,W3144215964,,,,,
AcP,1984,W46042456,,,,,
AcP,1984,W2963443860,,,,,
AcP,1984,W2963016098,,,,,
AcP,1984,W2958778496,,,,,
AcP,1984,W2958046228,,,,,
AcP,1984,W3127724,,,,,
AcP,1984,W2958205277,,,,,
AcP,1985,W2957100924,,,,,
AcP,1985,W2956249948,,,,,
AcP,1985,W2958049037,,,,,
AcP,1985,W154518750,,,,,
AcP,1985,W79283777,,,,,
AcP,1985,W107084200,,,,,
AcP,1985,W105617539,,,,,
AcP,1985,W239192857,,,,,
AcP,1985,W60531740,,,,,
AcP,1985,W531044000,,,,,
AcP,1985,W125656510,,,,,
AcP,1985,W61755562,,,,,
AcP,1985,W2951844896,,,,,
AcP,1985,W183823485,,,,,
AcP,1985,W246912275,,,,,
AcP,1985,W2955820761,,,,,
AcP,1985,W305003281,,,,,
AcP,1985,W2952031668,,,,,
AcP,1986,W146566376,,,,,
AcP,1986,W135585460,,,,,
AcP,1986,W142386645,,,,,
AcP,1986,W18408685,,,,,
AcP,1986,W148374606,,,,,
AcP,1986,W2963335268,,,,,
AcP,1986,W2640971411,,,,,
AcP,1986,W2957163668,,,,,
