"journal_title","item_cnt"
"115",1
AAP News,1
Academy of Management Journal,1
Academy of Management Perspectives,1
Academy of Management Review,1
Acta Juridica,1
Acta Neurochirurgica,1
Administrative Science Quarterly,1
Advances in experimental social psychology,1
African American Review,1
African Journal on Conflict Resolution,1
A. Giuffrè eBooks,1
Agribusiness,1
Akademie Verlag eBooks,3
Akron law review,1
Alternatives Global Local Political,2
American Anthropologist,1
American Behavioral Scientist,2
American Economic Review,7
American Journal of International Law,19
American Journal of Law & Medicine,1
American Journal of Legal History,1
American Journal of Occupational Therapy,1
American Journal of Psychiatry,1
American Journal of Public Health and the Nations Health,1
American Journal of Sociology,3
American Political Science Review,10
American Psychologist,1
American Quarterly,2
American Sociological Review,3
Amsterdam University Press eBooks,1
Analytical Chemistry,1
Anthem Press eBooks,1
Anthropology of Work Review,1
Arbeitsrecht,1
Arbitration International,1
Archives of Disease in Childhood,1
Archives of General Psychiatry,1
Archives of Women s Mental Health,1
Archiv für Orthopädische und Unfall-Chirurgie,1
Archiv für Reformationsgeschichte / Literaturberichte - Archive for Reformation History / Literature Review,2
Arno Press eBooks,1
Arquivos de Neuro-Psiquiatria,1
Asian Journal of International Law,1
Astropolitics,3
Athenäum eBooks,1
Australian & New Zealand Journal of Criminology,1
Baltic Journal of Law & Politics,1
Beck eBooks,2
Behavioral and Brain Sciences,1
Beiträge zum ausländischen öffentlichen Recht und Völkerrecht,16
Beiträge zum Vergaberecht,1
Beiträge zur politischen Wissenschaft,1
Beltz eBooks,1
Berkeley journal of international law,1
Berliner Journal für Soziologie,2
Berlin Verlag Arno Spitz eBooks,1
Berlin Verlag A. Spitz eBooks,1
Berlin Verlag eBooks,1
Bioethics,1
BIOtecnia,2
Birkhäuser eBooks,1
Blackwell eBooks,1
Blackwell Publishers eBooks,1
Blackwell Publishing Ltd eBooks,1
Bloomsbury Academic eBooks,2
Bloomsbury Publishing Plc eBooks,1
BMJ,1
Böhlau eBooks,3
Böhlau Verlag eBooks,3
Books Abroad,4
Books | European Encyclopedia of Law,1
Books  | UK Encyclopedia of Law,2
Boorberg eBooks,1
Boston College international and comparative law review,2
Braumüller eBooks,1
Breslauer Genossenschafts-Buchdruckerei eBooks,1
BRILL eBooks,5
Brill | Fink eBooks,2
Brill | mentis eBooks,2
Brill | Nijhoff eBooks,17
Brill | Schöningh eBooks,2
Brill’s New Pauly,1
British Academy eBooks,1
British Journal of Sociology,1
British Yearbook of International Law,2
Brooklyn journal of international law,1
Brooklyn law review,1
Buffalo human rights law review,1
Bundeszentrale für politische Bildung eBooks,1
Bund-Verlag eBooks,1
Business Informatics,1
Business & Information Systems Engineering,1
Butterworths eBooks,2
BWV eBooks,1
California Law Review,1
Callaloo,1
Cambridge Review of International Affairs,3
Cambridge University Press eBooks,28
Cambridge yearbook of European legal studies,1
Canadian Journal of Criminology,1
Canadian Journal of Economics/Revue canadienne d économique,1
Canadian Journal of Political Science,3
Carl Friedrich von Siemens Stiftung eBooks,1
Carl Heymann eBooks,1
Carl Heymanns Verlag eBooks,1
Cassazione penale,1
CEDAM eBooks,1
Central European University Press eBooks,1
CESifo DICE report,1
CESifo Economic Studies,1
C.F. Müller eBooks,3
C.F. Müller Juristischer Verlag eBooks,3
C. Georgi eBooks,1
Champ pénal,1
Chapman and Hall/CRC eBooks,1
C.H.Beck eBooks,12
ChemCatChem,1
CHEMKON,1
C. Heymann eBooks,3
Chicago journal of international law,1
Chicago-Kent law review,1
Chinese Journal of Communication,1
Chinese Journal of International Law,1
Choice Reviews Online,31
Cisalpino-Goliardica eBooks,1
City,1
Civil Law Review,1
Clarendon eBooks,1
Climate Policy,1
Clinical EEG and Neuroscience,1
Clinical Neurophysiology,2
Clinical Toxicology,1
Collected Courses of the Hague Academy of International Law,5
Columbia journal of transnational law,1
Columbia Law Review,9
Columbia University Press eBooks,1
Common Market Law Review,10
Communication & langages,1
Comparative and International Law Journal of Southern Africa,1
Comparative European Politics,1
Comparative Legal History,1
Computer,1
Computer Law & Security Review,4
Constellations,3
Contemporary Crises,1
Contemporary European History,1
Contemporary Security Policy,1
