"citing_keyword","item_cnt"
,227
"{""Legal Methodology""}",94
"{""Legal History""}",24
"{""International Law""}",26
"{""Constitutional Courts""}",18
"{""European Integration""}",18
"{""European Legal Systems""}",16
{Governance},14
"{""European Law""}",8
"{""Criminal Law""}",13
"{""Corporate Criminal Liability""}",8
"{""Social History""}",10
"{""Informed Consent""}",10
{Globalization},6
"{""Political Power""}",9
{Participation},9
"{""Nazi Propaganda""}",5
"{Governance,""Legal Methodology"",""Public Administration""}",2
"{""Legal Systems""}",8
"{""Transnational Legal Pluralism""}",8
{Neo-liberalism},7
"{""European Law"",Governance,""Legal Methodology"",""Migration Law"",""Public Administration""}",4
"{""Contract Law""}",6
"{""Holocaust Literature"",""Nazi Propaganda""}",3
"{""Political Theology""}",6
{Privacy},6
"{""Constitutional Law""}",6
"{""European Law"",""Legal Methodology""}",4
"{""Private International Law""}",5
"{""Company Governance""}",4
"{""Policy Change""}",5
"{""Soziale Herkunft""}",5
"{""Class Struggle""}",3
"{""Epistemic Practices""}",2
"{""Fiscal Policy""}",2
{Philosophy},3
{Legitimation},1
{Socialism},3
"{""Legal Education""}",4
"{""Human Rights""}",4
"{""Company Governance"",""Corporate Law Arbitrage"",""European Company Law""}",4
"{""Legal Consciousness""}",4
{Equality},3
"{Governance,Participation}",2
"{""Economic Experiments""}",4
{Democracy},3
{Diplomacy},4
{Policing},3
"{""Historical Institutions""}",3
"{""Patient Rights""}",2
"{""Family Law""}",4
"{""Family Structures""}",4
"{""Psychiatric Evaluation""}",3
"{""Welfare State""}",3
"{""Democratic Theory""}",2
"{""Worker Participation""}",4
"{""Constitutional Review""}",3
"{""Migration Law""}",3
{Reformation},3
"{""Brussels Regulation"",""Contract Law"",""European Private Law"",""Jurisdiction Agreements"",""Private International Law""}",3
{Humanitarianism},3
"{""Social Policy""}",2
"{""European Private Law""}",3
"{""Constitutional Law"",""Criminal Law"",""Legal Methodology"",""Legal Reforms"",""Religious Fundamentalism""}",1
{Imperialism},3
"{""Revolutionary Historiography""}",3
"{""Comparative Law""}",3
"{""Norm Conflicts""}",3
"{""Criminal Law"",""Legal Methodology"",Policing}",1
"{""Ancient Judaism"",""Biblical Monotheism"",""Hebrew Bible"",""Liber Pontificalis"",Salvation}",3
"{""Content (measure theory)""}",3
{Liability},3
"{""Constitutional government"",Constitutionalism}",3
"{""Bargaining Power""}",3
"{""EU Law""}",3
{Norms},2
"{""Constitutional Courts"",""European Law"",""Human Rights"",""Legal Methodology"",""Migration Law""}",1
"{""Late Antiquity""}",3
{Constitutionalism},3
"{""Investment (military)"",""Investment Treaty Arbitration""}",3
"{""Monetary Policy Instruments""}",3
{Regulations},2
"{""Criminal Law"",""Legal Systems""}",3
"{""Carl Schmitt""}",1
"{""Political Dynamics""}",3
"{""Global Capitalism""}",2
"{""Youth Offenders""}",3
"{""Postwar Germany""}",3
"{Governance,""Legal Methodology""}",2
{Occupation},3
"{""Responsibility to Protect""}",3
"{""Corporate Criminal Liability"",""Criminal Law"",""Youth Offenders""}",2
"{""Constitutional Change""}",2
{Consumerism},2
"{""Intrahousehold Allocation""}",1
{Modernities},2
"{""Investment (military)"",""Leverage (statistics)"",""Transnational Corporations""}",1
"{""Classical Antiquity""}",2
"{Demise,""International Law"",""Transnational Legal Pluralism""}",1
{Spinoza},2
"{Exceptionalism,""Transnational Legal Pluralism""}",1
"{""Islamic reform""}",2
{Aristotle},1
"{""Cumulative prospect theory"",Decision-making,""Decision theory"",""Preference Elicitation"",""Prospect Theory"",""Rank (graph theory)"",""Stated Preference Methods"",""Subjective expected utility"",""Uncertain Data""}",1
"{""Civil Justice Problems"",Contingency,""Contingency plan""}",2
"{""Succession Regulation""}",2
"{Democracy,""Democratic Theory"",""Political Philosophy"",""Political system""}",1
"{""Comparative Law"",""European Private Law"",""Legal Education"",""Section (typography)""}",1
"{Diplomacy,Pacifier}",1
{Immigration},2
"{""normative power""}",2
"{""Comparative Law"",""Legal Education"",""Legal Methodology""}",2
"{""Global Governance""}",1
"{""Corporate Law Arbitrage""}",1
"{""Norm Conflicts"",""Transnational Legal Pluralism""}",1
{Treaties},2
"{""Antitrust Policy"",Competition,""Competition Law"",""International Trade Law"",""Price Discrimination""}",1
"{""Kantian Ethics""}",2
"{""Norms of Protection"",""Responsibility to Protect""}",2
"{""Affect and Emotion in Law""}",2
"{""WTO Dispute Settlement""}",2
"{""Medieval Europe""}",2
"{""Asset Pricing""}",2
"{Constitutionalism,Discipline,""Economic governance"",Governance,""Multi-level governance"",""Neoliberalism (international relations)"",Neo-liberalism}",1
"{""Choice of Law"",""International Economic Law"",""International Law"",""Investment Treaty Arbitration"",""Private International Law""}",2
"{Globalization,""World order""}",1
"{""Communication Practices""}",2
"{Constitutionalism,Globalization}",1
{Autorschaft},2
"{""Criminal Law"",Policing}",2
"{""Information Warfare"",""International Law"",Internet,""Internet Governance"",""Network Neutrality""}",1
"{""Ownership Structure""}",2
"{""Party Competition""}",1
"{""Argument (complex analysis)"",""Basis (linear algebra)"",""Description Logics"",""Rule of inference"",Warrant}",1
"{""Informed Consent"",""Patient Rights""}",2
"{""Administrative Law""}",2
"{""Institutional Change""}",2
"{""Criminal Law"",""Youth Offenders""}",2
"{""Legal Ethics""}",2
"{""Constitutional court"",""Opposition (politics)""}",1
{Institutionalization},2
"{""Policy Making"",""Transnational Legal Pluralism""}",1
"{""Financial Stability""}",2
"{""Political Dynamics"",""Political Theology""}",1
"{Elderly,Identity,""Mental Health"",""Professional Responsibility"",Retirement}",1
"{Adjudication,""International Law""}",2
{Archaeology},2
"{""European commission"",""European Legal Systems"",""European Private Law""}",1
"{""Interbank Market""}",2
"{Biopolitics,""Democratic Theory"",""Human Rights"",""Political Theology""}",1
"{""Post-Growth Economy""}",2
"{""Intergenerational Justice""}",2
{Decision-making},2
"{""Community Policing"",""Police Legitimacy""}",1
"{""Presidential prerogative""}",2
"{""Legal Philosophy""}",2
"{""Accident (philosophy)"",""Capital Allocation"",""Economic Growth""}",1
"{""European Company Law""}",2
"{""International Criminal Law"",""International Economic Law"",""International Humanitarian Law"",""International Law"",""Transnational Legal Pluralism""}",2
"{""Property Rights""}",2
"{""Capital Budgeting"",""Corporate finance"",""Corporate Governance"",""Corporate Valuation"",""Dividend Policy"",""Financial Performance""}",1
{Emotionalization},1
"{""International Criminal Law"",""International Law""}",2
"{""Emotional Memory"",""Episodic Memory"",Facilitation,""Identification (biology)"",""Memory Retrieval"",""Neurological Basis of Reading"",""Reading Acquisition"",""Word processing""}",1
{Psychoanalysis},2
"{""Psychological Torture"",Torture}",1
"{""Emotional Memory"",""Episodic Memory"",""Identification (biology)"",""Implicit memory"",""Memory Retrieval"",""Social Cognition"",""Testing Effect""}",1
"{""Publication Bias"",Publication}",1
"{Decision-making,""Law and Economics""}",1
"{""Constitutional Law"",""Criminal Law"",""European Law"",""Legal Methodology"",""Legal Reforms""}",1
"{""International Economic Law"",""International Law"",""International Trade Law"",Multitude}",1
{Download},2
"{""Decision theory"",""Distortion (music)"",""Isoelastic utility"",""Prospect Theory"",""Subjective expected utility"",""Utility theory""}",1
"{""European Integration"",Institutionalization}",2
"{""Affect and Emotion in Law"",""Reservation of rights""}",1
"{""Regional Organizations""}",2
"{""International Humanitarian Law""}",2
"{""International Humanitarian Law"",""International Law""}",2
"{""Central asia"",Fundamentalism,""Islamic fundamentalism"",Militant,Taliban}",1
"{""Literature Analysis""}",2
"{""Bargaining power"",Competition,""Equity (law)"",""Free riding"",""Inequity aversion"",""Punishment (psychology)""}",1
{Literaturkritik},2
{Gender},2
"{""Constitutional Law"",""Human Rights"",""Informed Consent"",Policing,Security}",1
"{""European Law"",Governance,""Public Administration""}",2
"{""Reuse of Educational Resources""}",1
"{Arbitration,""International Economic Law"",""International Law"",""Investment Treaty Arbitration"",""Private International Law""}",2
"{""Rights-Based Approach""}",2
"{""Gender and Migration"",""Human migration""}",2
{Historiography},2
"{""Constitutional Courts"",Privacy}",2
"{""International Law"",Manifesto,Polity,""Sovereign state""}",1
"{""Company Governance"",""Directive Harmonization"",Harmonization,""Legal Methodology""}",1
{Augustine},2
"{Enforcement,""Punitive damages"",""Rule of thumb""}",1
{Digitalization},2
"{""Constitutional government""}",2
"{""Security Measures""}",2
"{""East German Memory""}",2
"{""Artificial Intelligences"",""Constructivism (international relations)""}",1
"{""Corporate Taxation""}",2
"{""Digital Rights""}",2
"{Default,""Global financial system"",Securitization,""Structured finance"",""Subprime mortgage crisis"",""Systemic Risk""}",1
"{""International Law"",""Transnational Legal Pluralism""}",2
"{""Corporate Criminal Liability"",""Criminal Law"",""Human Rights"",""Human Rights Violations"",""Judicial Cooperation""}",1
"{""International Law"",""Universal jurisdiction""}",2
"{""Social History"",Socialism}",1
"{""Social Movements""}",2
"{""International Trade Law""}",2
"{ECHR,""EU Integration"",""European Legal Systems"",""Health law"",""Human Rights"",""Judicial Review""}",1
"{Canon,""Harmony (color)"",Medieval,""Medieval Literature""}",1
"{""Choice of Law"",""Cross-Border Litigation"",""International Justice"",""Private International Law"",""Transnational Law""}",1
"{""Articulation (sociology)"",""European Legal Systems""}",1
"{""Artificial Intelligences"",Blueprint,""Social impact assessment""}",1
"{""Ask price"",""Competitor analysis"",""Cost-Benefit Analysis""}",1
"{Assertion,""Carney complex"",Corporation,""Indeterminacy (philosophy)"",Litigation}",1
"{Assertion,""Internet Governance""}",1
"{Assertion,""Philosophy of language""}",1
"{""Asset Pricing"",""Auction Theory"",""Bargaining power"",""Market clearing""}",1
"{""Asset Pricing"",""Behavioral Finance"",""Insider trading"",""Investor Sentiment"",""Network Marketing"",""Stock Returns""}",1
"{""Asset Pricing"",""Competitive Economy"",""Financial Stability"",Liquidity,""Monetary Equilibrium""}",1
"{""Asset Pricing"",""Competitive Economy"",""Fixed cost"",""Natural monopoly"",""Perfect competition"",""Regional Convergence"",""Search Equilibrium""}",1
"{""Asset Pricing"",Indeterminacy,""Subprime crisis""}",1
"{""Asset Pricing"",Intermediation,Pooling}",1
"{""Asset Pricing"",""Rank (graph theory)""}",1
"{Ästhetik,ExpertInneninterviews,Gedächtnis,Literaturkritik,Poetik}",1
"{Astrology,""Greek Astronomy""}",1
"{""asylum policy""}",1
"{""asylum policy"",""Freedom of Establishment"",""Migration Law""}",1
"{Attrition,""Global Governance"",Pace}",1
"{""Auction Theory""}",1
"{""Auction Theory"",""Benchmark (surveying)"",""Bid Rotation"",""Combinatorial Auctions"",Disequilibrium,""Market Competition"",""Walrasian auction"",""Winner Determination""}",1
"{""Auction Theory"",""Combinatorial auction"",""Spectrum auction""}",1
"{""Auction Theory"",""Combinatorial Auctions"",""Internet Auctions"",""Procurement Contracts""}",1
"{""Auction Theory"",Lottery,""Spectrum auction""}",1
"{""Auction Theory"",""Mobile phone""}",1
"{""Audit committee"",""Capital (architecture)"",""Companies Act"",""Company Governance"",""Corporate Law Arbitrage""}",1
"{""Auguste Comte"",""Civil Liability"",""Consumer Protection"",""Human Rights""}",1
"{Austerity,""Cultural rights"",Realisation,""Rights-Based Approach"",""Social rights""}",1
"{Austerity,""European Legal Systems""}",1
"{""Austronesian expansion""}",1
"{Authentication,""Biometric Recognition"",Biometrics,""Multimodal Biometrics"",""Smart Cards""}",1
"{Authoritarianism,Covert,Offensive,Siege}",1
"{Authoritarianism,""Dominance (genetics)""}",1
"{""Axiom independence"",""Decision theory"",""Preference Elicitation"",""Subjective expected utility""}",1
"{""Axiom independence"",Disappointment,""Independence (probability theory)"",Indeterminacy}",1
{Babylonian},1
"{""Balanced budget"",""Empirical evidence"",Limiting,""Member state"",""Monetary Policy Instruments""}",1
"{""Balance of payments"",Conservatism,""Economic Growth"",""Supply side""}",1
"{""Balance of Payments"",""Capital (architecture)"",""Consumption (sociology)"",""Investment (military)""}",1
{Balkans},1
"{""Ball (mathematics)"",""Legal History"",Undoing}",1
"{""Baltic sea"",""Rights of Nature""}",1
{Banking},1
"{Banking,""Consolidation (business)"",Deregulation,""Financial innovation"",Treasury}",1
"{Banking,""Financial distress"",""Financial stability"",Harmonization,""Promotion (chess)""}",1
"{Banking,Liquidity}",1
"{Banking,Regulations,""Systemic Risk""}",1
"{Banking,Securitization,""Shareholder value"",""Value (mathematics)""}",1
"{""Banking Crisis"",Securitization,""Subprime mortgage crisis""}",1
"{""Banking Efficiency"",Frontier,Pillar,""Sample (material)"",""Stochastic frontier analysis""}",1
"{""Banking union"",""Economic governance"",""European Stability Mechanism"",Governance,""Maastricht Treaty"",""Multi-level governance""}",1
"{""Bank regulation"",""Financial Regulation"",""Financial structure"",Regulations,""Regulatory reform"",Restructuring}",1
"{""Bargaining power"",""Capital (architecture)"",""Economic rent"",""Labor Market Flexibility"",""Labor Market Transformation"",""Worker Participation""}",1
"{""Bargaining power"",""Collective Bargaining"",""Employee Voice"",""Employer Resistance"",""Worker Participation"",""Workplace Governance""}",1
"{""Bargaining power"",Conditionality}",1
"{""Bargaining Power"",""Unfair Trading Practices""}",1
"{""Basel III"",""Coherent Risk Measures"",""Conditional Value-at-Risk"",Counterintuitive,""Minimum capital"",""Rare events""}",1
"{""Basis (linear algebra)""}",1
"{""Basis (linear algebra)"",""Legal Semiotics""}",1
"{""Behavioral Economics""}",1
"{""Behavioral Economics"",""Behavioral Finance"",""Financial Literacy"",""Performance Analysis"",""Savings Behavior""}",1
"{""Behavioral Economics"",""Consumer Policy"",""Ethical Consumption"",""Sustainable Consumption"",Verbraucherpolitik}",1
"{""Behavioral Economics"",""Evolutionary Economics"",""Institutional Economics"",""Judicial Efficiency"",Macroeconomics}",1
"{""Behavioral Economics"",""Reciprocity (cultural anthropology)""}",1
"{""Behavioral Finance""}",1
"{""Behavioral Finance"",Decision-making,""Economic Experiments"",""Experimental data"",Ignorance,""Isolation (microbiology)"",""Prospect Theory"",""Risk Aversion""}",1
"{""Behavioral Risk Factors"",""Child Injury"",""Crime prevention"",""Injury Prevention"",""Parental Supervision"",""Unintentional Injuries""}",1
"{""Behavior Change Techniques"",Self-awareness}",1
"{""Behavioural economics"",""Behavioural sciences"",""Economic Experiments"",""Explanatory power""}",1
"{Belligerent,""High Seas Governance"",""Settlement (finance)""}",1
"{""Benchmark (surveying)"",""Distortion (music)"",""Energy Efficiency""}",1
"{Beneficiary,""Foundation (evidence)"",""Intergenerational Relations"",Settlor}",1
"{Betrayal,""Psychological Torture"",Torture}",1
"{""Big business"",""Nazi Propaganda""}",1
"{""Big Data"",""Data Protection"",""Digital Rights"",""Informed Consent"",""Privacy Regulations""}",1
