"scopus_source_id","source_title","issn","article_count","cited_by_count","law_and_de","law_and_de_article_share","citations_per_paper","in_goldstandard"
"21979","{""Deutsche Lebensmittel-Rundschau""}",{0012-0413},1739,7372264,1478,0.85,4239.37,false
"7200153135","{""Forensische Psychiatrie, Psychologie, Kriminologie""}","{1862-7072,1862-7080}",523,1401516,513,0.98,2679.76,false
"20905",{Kriminalistik},{0023-4699},2601,3636001,2599,1.00,1397.92,false
"14109","{""Recht und Psychiatrie""}",{0724-2247},369,280876,284,0.77,761.18,false
"21100239827","{""Monatsschrift fur Kriminologie und Strafrechtsreform""}","{0026-9301,2366-1968}",323,176080,284,0.88,545.14,false
"18700156726","{""Kriminologisches Journal""}",{0341-1966},207,47472,184,0.89,229.33,false
"21100236610",{Rechtsgeschichte},"{1619-4993,2195-9617}",309,62640,174,0.56,202.72,false
"5800157711","{""Archiv fur Rechts- und Sozialphilosophie""}","{0001-2343,2363-5606}",273,39909,159,0.58,146.19,false
"21100211733","{""Osterreichisches Archiv fur Recht und Religion""}",{1560-8670},168,19256,166,0.99,114.62,false
"7200153169","{""Legal History Review"",""Tijdschrift voor Rechtsgeschiedenis""}","{0040-7585,1571-8190}",265,27430,68,0.26,103.51,false
"21100842538","{""Jusletter IT""}",{1664-848X},708,66454,446,0.63,93.86,false
"5600153197","{""Zeitschrift fur Rechtssoziologie""}","{0174-0202,2366-0392}",89,7686,63,0.71,86.36,false
"21101093350",{Kriminologie},{2698-6779},94,6930,66,0.70,73.72,false
"16200154747","{""Journal of Juristic Papyrology""}",{0075-4277},180,9630,18,0.10,53.50,false
"21100902690","{""Credit and Capital Markets""}","{2199-1227,2199-1235}",164,7344,18,0.11,44.78,false
"21100858112","{""Journal on European History of Law""}",{2042-6402},283,9472,74,0.26,33.47,false
"21101060912","{""Zeitschrift fur Europarechtliche Studien""}",{1435-439X},107,3417,51,0.48,31.93,false
"21101125590","{""Annales de la Faculte de Droit d'Istanbul""}","{0578-9745,2687-4113}",74,176,11,0.15,2.38,false
"18501","{""Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Kanonistische Abteilung""}","{0323-4142,2304-4896}",120,9765,93,0.78,81.38,true
"21101089572","{""Zeitschrift fur Auslandisches Offentliches Recht und Volkerrecht""}",{0044-2348},143,7840,49,0.34,54.83,true
"16100154738","{""Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Romanistische Abteilung""}","{0323-4096,2304-4934}",603,409500,500,0.83,679.10,true
"21100920870",{Verwaltung},"{0042-4498,1865-5211}",115,12540,114,0.99,109.04,true
"18498","{""Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Germanistische Abteilung""}","{0323-4045,2304-4861}",398,119733,373,0.94,300.84,true
