"id","issn_l","issn","display_name","type"
S4306528462,"1804-5383","[""1804-5383"", ""1805-2797""]",Revue pro právo a technologie,journal
S4210181666,"2730-5899","[""2730-5899"", ""2730-5902""]","Data science, machine intelligence, and law",book series
S4210183493,"2717-9621","[""2717-9621""]",Tekirdağ Namık Kemal Üniversitesi Hukuk Fakültesi Dergisi,journal
S4210174354,"1734-2139","[""1734-2139"", ""2451-4985"", ""2543-9561""]",Prace Komisji Kultury Słowian/Kultura Słowian,journal
S4210225307,"2073-3771","[""2073-3771""]",The Journal of V N Karazin Kharkiv National University Series Physics,journal
S4210216648,"2545-3734","[""2545-3734"", ""2719-8286""]",The Legal Culture,journal
S4306481570,,"[]",Universitas-Győr Nonprofit Kft. eBooks,ebook platform
S4210226708,"2633-1446","[""2633-1446"", ""2633-1454""]",Leviathan,journal
S4387279876,"2701-2484","[""2701-2484"", ""2701-2476""]",Zeitschrift für erziehungswissenschaftliche Migrationsforschung (ZeM),journal
S4387285842,"2790-4873","[""2790-4873""]",Regunt Gestión y Gobernabilidad,journal
S4387288107,"2757-7082","[""2757-7082""]",İstanbul Medeniyet Üniversitesi Hukuk Fakültesi Dergisi,journal
S4387288225,"2954-5234","[""2954-5234""]",Constructos Criminológicos,journal
S4387289471,"1829-0744","[""1829-0744""]",Դատական իշխանություն / Judicial Power,journal
S4387289991,"0130-0083","[""0130-0083""]",LOMONOSOV HISTORY JOURNAL,journal
S4387290921,"2687-3923","[""2687-3923""]",Türk-Alman Üniversitesi Hukuk Fakültesi Dergisi,journal
S4387291013,"0342-2364","[""0342-2364"", ""2941-6744""]",Ulm und Oberschwaben,journal
S4387292201,"0554-498X","[""0554-498X""]",Polish Yearbook of International Law,journal
S4393918871,"2594-066X","[""2594-066X""]",Debate Feminista,journal
S4210168071,"0092-5640","[""0092-5640""]",American Journal of Digestive Diseases and Nutrition,journal
S4210232364,"0076-8642","[""0076-8642""]",Mikrochimica acta. Supplementum,book series
S4210218095,"0023-3625","[""0023-3625""]","Konstruktion im Maschinen-, Apparate- und Gerätebau",journal
S4210229975,"1610-384X","[""1610-384X""]","Schriftenreihe der Österreichischen Gesellschaft für Europaforschung, ECSA Austria",book series
S4210224497,"2299-8403","[""2299-8403"", ""2449-8319""]",Biuletyn Uniejowski,journal
S2764724734,"1975-9576","[""1975-9576""]",Journal of hongik law review,journal
S4210180954,"2510-4314","[""2510-4314"", ""2510-4306""]",Religion and human rights,book series
S4210219043,"2626-059X","[""2626-059X"", ""2626-0581""]",Uniscope,book series
S4210219432,"2341-1465","[""2341-1465""]",Law Ethics and Philosophy,journal
S4210169330,"1734-6029","[""1734-6029"", ""2299-9906""]",Tekstualia,journal
S4210202276,"2632-282X","[""2632-282X""]",Journal for the History of Knowledge,journal
S4210196901,"0048-3494","[""0048-3494"", ""2377-6579""]",Perspective,journal
S4306527618,"1575-720X","[""1575-720X"", ""2174-0844""]",Revista Jurídica Universidad Autónoma de Madrid,journal
S4210208485,"1226-3672","[""1226-3672""]",The Journal of Korean Academy of Physical Therapy Science,journal
S4306514546,,"[]",İstanbul Ticaret Üniversitesi Sosyal Bilimler Dergisi,journal
S4210220845,"2149-1585","[""2149-1585""]",Akademik Araştırmalar ve Çalışmalar Dergisi (AKAD),journal
S4210221293,"2227-7153","[""2227-7153"", ""2707-7039""]",Philosophy of Law and General Theory of Law,journal
S2738784323,"1989-9262","[""1989-9262""]",Ars Bilduma,journal
S2739259893,"2301-1378","[""2301-1378""]",Informatio,journal
S4210210326,"2522-5243","[""2522-5243"", ""2522-5251""]",Economic and financial law & policy - shifting insights & values,book series
S4210189514,"0719-9104","[""0719-9104"", ""0719-9112""]",Latin American Legal Studies,journal
S4306538884,,"[]","«Вісник ЖДТУ»: Економіка, управління та адміністрування",journal
S4210183712,"2640-7477","[""2640-7477""]",Journal of Gastroenterology & Digestive Systems,journal
S4387280122,"2065-7161","[""2065-7161"", ""2247-7330""]",Studii și cercetări de onomastică și lexicologie,journal
S4387290225,"2199-8825","[""2199-8825""]",die hochschullehre,journal
S4210209905,"2518-3648","[""2518-3648""]",Wiener Kolloquien zur Antiken Rechtsgeschichte,ebook platform
S4210202803,"2625-1345","[""2625-1345"", ""2625-1353""]",Schriftenreihe des Zentrums für Militärgeschichte und Sozialwissenschaften der Bundeswehr,book series
