"item_id_citing","item_id_cited","citing_pubyear","ref_seq_nr","ref_pubyear","ref_item_title","ref_source_title","ref_authors","ref_volume","scopus_ref_issue","ref_pages","ref_doi","wos_ref_article_number","scopus_ref_text","scopus_ref_fulltext","wos_citation_context","ref_pubyear_regexp"
"2-s2.0-0346639225","2-s2.0-0347930322",2003,82569922,1989,,Juristenzeitung,,"335","336",,,,,"BVerfG (1989), Juristenzeitung (1989) 335 (336)",,
"2-s2.0-84922747198","2-s2.0-51849168994",2012,253,,,Juristenzeitung,,,,"1013ff",,,,Juristenzeitung1013ff.,,
"2-s2.0-34248070220","2-s2.0-84856869124",2002,22,2001,,Juristenzeitung (JZ),{Werle},,,"886",,,also,"See, also Werle, Juristenzeitung (JZ) 2001, 886;",,
"2-s2.0-0345468442","2-s2.0-1842417621",1996,7178218,1987,,Juristenzeitung,"{""Giesen, G.""}","32",,,,,"282 ff","Giesen, G.: Juristenzeitung 32 (1987) 282 ff.",,
"2-s2.0-67649523493","2-s2.0-67649463555",2009,145,,,,,,,,,,Note,"Cf. further Leistner, case note in (2009) Juristenzeitung, 101 et seq.",,
"2-s2.0-33645382545","2-s2.0-51849168994",2001,13,,,Juristenzeitung,"{""Ambos, K.""}",,,"23",,,,"Kai Ambos, JURISTENZEITUNG Ibid., p. 23.",,
"2-s2.0-84905917482","2-s2.0-84905911672",2013,5,,,,,,,,,,note,"Previously, publishers were denied protection (based on copyright in texts): BGH (2004) Juristenzeitung 146-Paperboy.",,
"2-s2.0-84944726455","2-s2.0-30744458057",2014,25,,,Suddeutsche Juristenzeitung,,,,,,,,Suddeutsche Juristenzeitung (SJZ),,
"2-s2.0-84938247517","2-s2.0-85076802221",2015,13,2007,,Juristenzeitung (JZ),{Giesen},,,"918",,,"925","Giesen, Juristenzeitung (JZ) 2007, p. 918, 925;",,
"2-s2.0-85032012481","2-s2.0-85032008140",2017,127,1995,Das girmes-urteil,Juristenzeitung,"{""Lutter, M.""}","50",,"1053-1056",,,,"Lutter, Marcus (1995), Das Girmes-Urteil, in: Juristenzeitung 50, 1053-1056.",,
"2-s2.0-84927081574","2-s2.0-85177487752",2003,39,2003,,JURISTENZEITUNG,,"956",,"957",,,BVerfG,"BVerfG, JURISTENZEITUNG 956, 957 (2003)",,
"2-s2.0-84856897443","2-s2.0-34547573468",2001,61,2000,Staat und Religion,Juristenzeitung,"{""Starck, Ch.""}",,"1","1-9",,,,"Starck, Ch., ""Staat und Religion"", Juristenzeitung 2000 (1), 1-9.",,
"2-s2.0-85047501782","2-s2.0-85047459018",2018,28,2005,Anmerkung,Juristenzeitung,"{""Walther, S.""}","60","13","686-688",,,,"Walther, S. (2005). Anmerkung, Juristenzeitung, 60(13), 686-688.",,
"2-s2.0-85048375805","2-s2.0-84955631709",2016,51,2004,Grundrechte als Werteordnung,Juristenzeitung,"{""Di Fabio, U.""}","59",,"1",,,,"U Di Fabio, ‘Grundrechte als Werteordnung’ (2004) 59 Juristenzeitung 1, 3.",,
"2-s2.0-85018781180","2-s2.0-85018729741",2017,62,2015,,Comment,"{""Frank, S.""}",,,"781-784",,,Juristenzeitung (JZ,"-, 2015. ""Comment"", Juristenzeitung (JZ):781-784.",,
"2-s2.0-85111093682","2-s2.0-85111105976",2021,9,2000,,,{BGH},,,,,,"1-12-1999, Marlene Dietrich, in Juristenzeitung 1056","BGH, 1-12-1999, Marlene Dietrich, in Juristenzeitung 1056 (2000).",,
"2-s2.0-85113583858","2-s2.0-85178098692",2016,268,1953,,JURISTENZEITUNG,"{""Esser, J.""}",,,"521",,,,"<sup>200</sup> JOSEF ESSER, JURISTENZEITUNG 521 (1953).",,
"2-s2.0-85048375805","2-s2.0-85187367056",2016,52,2004,Europa als Wertegemeinschaft,Juristenzeitung,"{""Calliess, C.""}","59",,"1034",,,,"C Calliess, ‘Europa als Wertegemeinschaft’ (2004) 59 Juristenzeitung 1034.",,
"2-s2.0-85051498301","2-s2.0-85051524724",2018,6,1901,Kriminalistik,Deutsche Juristenzeitung,"{""Groß, H.""}",,"4",,,,,"Groß, H. (1901). Kriminalistik. In: Deutsche Juristenzeitung, Nr. 4.",,
"2-s2.0-85050439009","2-s2.0-85050437603",2018,850,1984,Der Doppelstaat,Juristenzeitung,"{""Stolleis, M.""}","39",,"1097",,,,"Stolleis, Michael, ""Der Doppelstaat,"" Juristenzeitung, Vol. 39 (1984), p. 1097",,
"2-s2.0-85168610772","2-s2.0-85124434840",2022,4,2020,Der Ultra vires-Akt,JuristenZeitung,"{""Mayer, F.C.""}",,,"725",,,,"F C Mayer, ""Der Ultra vires-Akt' [2020] JuristenZeitung, 725.",,
"2-s2.0-85140631281","2-s2.0-85140631488",2022,54,2016,,Juristenzeitung,"{""NETTESHEIM, MARTIN"",Anmerkung}",,,"424-428",,,S,"NETTESHEIM, MARTIN, Anmerkung, Juristenzeitung, 2016, S. 424-428",,
"2-s2.0-85154754285","2-s2.0-85180475128",2015,23,,,,,,,,,,"2013); contra Oliver Lepsius, Anmerkung, 2009 JURISTENZEITUNG 260-63","(2013); contra Oliver Lepsius, Anmerkung, 2009 JURISTENZEITUNG 260-63.",,
"2-s2.0-84937539305","2-s2.0-84888225903",2006,324,1995,Konturen eines Europäischen Vertragsrecht,Juristenzeitung,"{""Zimmermann, R.""}",,,"477-491",,,,"ZIMMERMANN R., Konturen eines Europäischen Vertragsrecht, in Juristenzeitung, 1995,477-491.",,
"2-s2.0-72049093517","2-s2.0-72049109661",2009,30,2008,Gesundheitsgerechtigkeit: Public Health im Sozialstaat,Juristenzeitung,{Huster},,,"859f",,,Vgl. dazu,"Vgl. dazu Huster, Gesundheitsgerechtigkeit: Public Health im Sozialstaat, Juristenzeitung 2008, S. 859 ff.",,
"2-s2.0-77954488129","2-s2.0-84928999739",2006,14,2005,,Juristenzeitung (JZ),,"60",,"848",,,,Juristenzeitung (JZ) (2005) p. 848.,,
"2-s2.0-85026076873","2-s2.0-85026111366",1999,12,1956,Juristenzeitung,,,"2",,"737ff",,,,Juristenzeitung 1956 S. 737ff.,,
