"source_id","display_name","works_count","cited_by_count","law_and_de","source_type"
S110831062,Die Weltwirtschaft,337,353,19,journal
S178010760,Hofstra law review,1467,4645,3,journal
S20330309,Feministische Studien,1951,4880,102,journal
S2680034,Medizinische Klinik - Intensivmedizin und Notfallmedizin,2889,8016,3,journal
S27139232,Sinn und Form,1785,149,21,journal
S2739446015,Agora,2466,2680,1,journal
S4210169078,Chemical industries,1017,2779,1,book series
S4210171211,kangwon Law Review,794,351,49,journal
S4210173302,Xtexte,2141,2012,69,book series
S4210183121,Journal für Psychoanalyse,385,117,1,journal
S4210191341,De Uil van Minerva,1261,89,1,journal
S4210192797,Wijsgerig Perspectief,348,78,2,journal
S4210210319,AfP,1352,210,498,journal
S4210214175,Techno:Phil,115,152,2,book series
S4210233297,SPIEL,408,315,2,journal
S4306401696,Econstor (Econstor),161757,3241814,283,repository
S4306470715,Fink eBooks,443,3865,7,ebook platform
S4306472497,H. Stürtz eBooks,16,56,1,ebook platform
S4306474168,Keip eBooks,186,322,100,ebook platform
S4306502409,Antonianum,1305,409,1,journal
S4306504987,BTW,436,2259,3,journal
S4306521884,Pädagogik,168,145,3,journal
S4306535553,Zeitschrift für Arbeitswissenschaft,67,280,2,journal
S4363604060,SpringerReference,85367,0,7,journal
S4363604979,"81",316,0,1,other
S4387281302,Wochenschau,30,0,1,journal
S51620728,Law review,1252,291,29,journal
S79135273,Sociology,7747,176252,2,journal
S936582704,Zeitschrift für Philosophie und philosophische Kritik,2,1317,1,journal
S93676754,The Modern Language Review,37043,245841,15,journal
S93689439,Datenschutz Und Datensicherheit,623,652,320,journal
S937120200,Archiv für Begriffsgeschichte,322,121,3,journal
S93774751,Medycyna Weterynaryjna,7481,8934,1,journal
S93794582,PPH,1885,548,6,journal
S1001063841,Künstliche Intelligenz,157,596,2,book series
S100134864,European Journal of Political Economy,2639,97072,1,journal
S1001536755,Philotheos,522,186,2,journal
S100217200,Jura - Juristische Ausbildung,24,2,17,journal
S1002663397,"GRURRR. Gewerblicher Rechtsschutz und Urheberrecht, Rechtsprechungs-Report/GRUR-DVD/GRUR-CD/IIC/Gewerblicher Rechtsschutz und Urheberrecht/Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil",52,39,27,journal
S100269456,ASA Bulletin,2560,856,150,journal
S1003217925,Bogoslovni vestnik,398,581,1,journal
S100444939,Colloid & Polymer Science,25434,249795,115,journal
S1004904615,Revista de Estudios Políticos,4892,5662,9,journal
S100750902,McGill Law Journal,557,2983,1,journal
S10075937,Journal of Cancer Research and Clinical Oncology,15724,210606,8,journal
S1007696303,Cahiers de civilisation médiévale,5427,7666,2,journal
S1009102973,Sicherheit & Frieden,866,1452,10,journal
S101120184,The International Spectator,2654,9883,1,journal
S101276479,Deutsche Lebensmittel-Rundschau,530,2163,2,journal
S1012801158,Die pharmazeutische Industrie/Pharmazeutische Industrie,119,688,1,journal
S101410500,Der Orthopäde,4857,40009,4,journal
S101510409,The American Journal of Surgery,39043,832366,1,journal
S101518821,Archives of Animal Nutrition,1133,16333,1,journal
S1015511899,Pflegewissenschaft,37,15,1,journal
S1016111185,Revue des Études Juives,4863,1623,4,journal
S101617623,Acta Metallurgica,7476,486010,2,journal
S1017295528,Nieren- und Hochdruckkrankheiten,1458,348,4,journal
S1017791164,Zeitschrift für Evangelische Ethik,3187,1485,137,journal
S1020933676,Palimpsest,1958,633,1,journal
S1020997206,New West Indian Guide / Nieuwe West-Indische Gids,3412,4084,1,journal
S102120254,Tidsskrift for Rettsvitenskap,1410,901,3,journal
S1022351662,Anglia - Zeitschrift für englische Philologie,4476,6615,10,journal
S1024009979,Zeitschrift für die neutestamentliche Wissenschaft,2999,6313,23,journal
S1024375910,Zeitschrift für Europäisches Unternehmens- und Verbraucherrecht,273,698,31,journal
S1025606787,Welt Der Slaven-halbjahresschrift Fur Slavistik,29,12,1,journal
S1025762778,"Philosophy, psychiatry & psychology",1575,13323,1,journal
S1026066829,Zeitschrift für Evaluation,261,200,2,journal
S1027252803,Österreichische Musikzeitschrift,15217,1417,113,journal
S102900456,Refugee Survey Quarterly,3005,10017,2,journal
S1029440727,Círculo de lingüística aplicada a la comunicación,990,2367,1,journal
S102976925,The Cambridge Quarterly,2013,2569,1,journal
S1029951169,Philosophisches Jahrbuch,1173,832,54,journal
S1031404262,Zeitschrift Fur Geschichtswissenschaft,67,68,1,journal
S103146128,Ethical Theory and Moral Practice,1761,18607,1,journal
S103229351,Leonardo,10456,107453,3,journal
S103290601,Hebamme,1423,338,11,journal
S1034071999,Zeitschrift für deutsche Philologie digital/Zeitschrift für deutsche Philologie,1812,693,11,journal
S1037895521,Thought,5884,24472,1,journal
S103992557,Novum Testamentum,2990,12520,6,journal
S1043140957,Euphorion,553,105,4,journal
S1043850634,Bwk,52,29,3,journal
S104415515,Journal of Investigative Medicine,13794,34898,4,journal
S1044388164,Zeitschrift für Familienforschung,194,871,8,journal
S104471971,Lung,9716,82201,13,journal
S104501681,Kierkegaard Studies Yearbook,746,790,1,journal
S104732370,Zeitschrift für Naturforschung B,19876,219831,15,journal
S104811990,State and Local Government Review,657,7555,1,journal
S104827148,The Counseling Psychologist,3228,94656,1,journal
S104894821,Mathematische Zeitschrift,12912,235091,50,journal
S104921184,The Physics Teacher,17166,47049,1,journal
S104981805,East Asian Science Technology and Society An International Journal,1106,5395,1,journal
S105087119,The International Journal of Nautical Archaeology,3725,15907,1,journal
S105208853,Journal of Chemical Education,55151,420917,1,journal
S105355132,Betriebswirtschaftliche Forschung Und Praxis,97,217,6,journal
S105430050,Journal of World Trade,3226,20135,1,journal
S105637830,Berichte der deutschen chemischen Gesellschaft,30917,262105,2,journal
S105693234,Probability Theory and Related Fields,3051,107331,1,journal
S105737376,Lingua,6219,151809,1,journal
S10584360,Kodai Mathematical Journal,2502,18861,1,journal
S106137443,Pharmacology,6665,89222,1,journal
S106296714,Lecture notes in computer science,537050,7596140,16,book series
S106414675,Svensk Exegetisk Årsbok,497,150,1,journal
S106707257,Periodica Mathematica Hungarica,2216,14821,1,journal
S106835946,Byzantinische Zeitschrift,4297,11555,53,journal
S106963461,Nature Biotechnology,18560,1566616,1,journal
S107033909,Journal of Economics,2581,20651,1,journal
S107056185,Muttersprache Vierteljahresschrift für deutsche Sprache,746,425,19,journal
S10721641,MATHEMATICA SCANDINAVICA,2900,47205,1,journal
S107642792,The Expository Times,24759,6391,1,journal
S107914479,University of Pennsylvania Law Review,3991,40101,4,journal
S108264783,International Journal of Mass Spectrometry,6840,130372,1,journal
S108365452,Rabels Zeitschrift für ausländisches und internationales Privatrecht,1485,2389,577,journal
S108845946,Economica,10637,403690,5,journal
S109108137,International Labor and Working-Class History,2549,8078,1,journal
S109194713,Focus on Powder Coatings,7182,1169,1,journal
S109420025,Washington law review,1683,5185,1,journal
S109515654,Romanische Forschungen,1582,1582,2,journal
S109822441,Environmental Law Review,1285,1809,28,journal
S110388240,Cahiers de topologie et géométrie différentielle catégoriques,565,5140,1,journal
S11051793,Journal of Ornithology,7022,35799,53,journal
S11097115,Public Health,26137,159066,1,journal
S111121700,Physiotherapy,12750,91351,1,journal
S111155417,Journal of the American Chemical Society,211741,14182008,1,journal
S111163843,Transfer European Review of Labour and Research,2349,16382,3,journal
S111391483,Acta Archaeologica,1540,1926,2,journal
S111681200,New Testament Studies,3399,20586,2,journal
S111957458,Pneumologie,14319,16800,5,journal
S111975091,Electrical Engineering,3278,21007,1,journal
S112233285,Notes,16208,65924,2,journal
S112262039,Multimedia Systems,1964,36156,3,journal
S112816734,Journal of The Japan Society for Precision Engineering,658,227,1,journal
S113166945,History of European Ideas,4967,46520,1,journal
S113444737,Kriminologisches Journal,1364,2554,137,journal
S11350316,Wirtschaftsdienst,11305,8581,984,journal
S113542759,Acta Mathematica,2284,170749,3,journal
S113557333,Hokkaido Mathematical Journal,1781,12363,2,journal
S11365620,Turcica,379,1943,1,journal
S113778012,The medieval review,5275,1297,28,journal
S113942516,Bulletin de correspondance hellénique,4656,18475,1,journal
S113963021,kleintier konkret,1165,179,12,journal
S114257564,Psychosomatics,7597,189138,1,journal
S114466185,Beton- und Stahlbetonbau,8408,14772,32,journal
S114466708,Newsletters on Stratigraphy,845,15942,1,journal
S114495353,International Criminal Law Review,946,6594,3,journal
S114599316,HNO,5019,29279,14,journal
S114691300,The Journal of Asian Studies,23104,92421,1,journal
S114722742,Primary Dental Care,714,4296,1,journal
S11479521,Decision Support Systems,5679,255723,1,journal
S115206073,Neohelicon,2193,2641,3,journal
S115516397,Revue économique,12294,85115,4,journal
S115644834,The American journal of trial advocacy,42,24,1,journal
S115697578,Herzschrittmachertherapie + Elektrophysiologie,1726,3962,7,journal
S115911482,Review of Socialist Law,492,935,9,journal
S116025658,American Journal of Psychiatry,48911,2009270,3,journal
S116141603,Revue du Nord,8177,6521,2,journal
S116290723,disP - The Planning Review,1948,7163,19,journal
S116483603,Journal of Risk & Insurance,3745,76570,1,journal
S116566766,The Journal of the American Dental Association,34054,332397,4,journal
S1166745,Automatisierungstechnik,129,270,2,journal
S117125115,European Law Journal,1340,32134,2,journal
S117203113,Sportwissenschaft,742,2330,5,journal
S117224066,German Law Journal,2382,15534,21,journal
S117292697,Liebigs Annalen der Chemie,3805,52705,1,journal
S117342566,Arbitrium,5189,4349,36,journal
S117766065,Harvard Law Review,19902,137190,25,journal
S117819788,The Russian Review,7421,63754,1,journal
S118039931,Lecture notes in mathematics,29430,561090,18,book series
S118657254,TDM,2138,4356,5,journal
S118812498,Annals of public and co-operative economy,3415,20257,1,journal
S118926362,Dialogues d histoire ancienne,2912,4213,1,journal
S118971363,Fordham environmental law review,424,960,1,journal
S11923579,Zeitschrift für Kulturphilosophie,546,428,2,journal
S119257654,Juznoslovenski filolog,462,170,1,journal
S119293249,Revue de métaphysique et de morale,1874,8267,3,journal
S119350747,Viszeralmedizin,384,442,5,journal
S119469123,Feddes Repertorium,9490,21155,9,journal
S119517098,Acta agriculturae Slovenica,1893,4625,1,journal
S119682046,LOG IN,179,379,6,journal
S119722071,Annals of Internal Medicine,61505,3091342,1,journal
S119953358,Cold Spring Harbor Protocols,10441,57551,1,journal
S11998145,Geological Quarterly,3259,17166,1,journal
S120433428,Duke Law Journal,2503,18933,1,journal
S120459012,Harvard Studies in Classical Philology,1131,20983,1,journal
S12065667,Microchimica Acta,15388,247585,6,journal
S120986146,Studia Humaniora Tartuensia,90,191,1,journal
S121222519,Der Internist,6039,13912,52,journal
S121408665,Public Health Forum,3105,2735,14,journal
S121535265,Respiration,7750,127410,2,journal
S121668400,Philosophical Inquiry,860,2649,1,journal
S12198553,Argumentation,1523,15556,1,journal
S122073985,The Journal of Economic History,13974,126017,1,journal
S122096800,Wiener Medizinische Wochenschrift,3449,16991,6,journal
S122302516,European Journal of Pharmaceutics and Biopharmaceutics,6474,292009,6,journal
S122347013,American Journal of Obstetrics and Gynecology,94080,1847251,1,journal
S122619383,"The Eighteenth century/The eighteenth century (Lubbock, Tex. Online)",1310,2495,1,journal
S12279879,World Literature Today,34709,149873,14,journal
S122812943,Performance Research,3092,6461,1,journal
S122833416,WASSERWIRTSCHAFT,3511,2610,32,journal
S122855400,Comparative Literature,4121,80391,2,journal
S123019783,Language in Society,4307,85925,1,journal
S123149298,Safety Science,5965,225238,1,journal
S123309644,The Review of Politics,7048,24508,2,journal
S123313652,GeoJournal,6055,85856,2,journal
S123416243,Geschichte und Gesellschaft,601,2280,2,journal
S123418790,Materials and Corrosion,19150,69489,2,journal
S123822488,The Australian Quarterly,3540,15609,2,journal
S123917824,Reinforced Plastics,10538,7629,2,journal
S123955271,Journal of Industrial Relations,3728,21946,1,journal
S124014869,Journal of Applied Mechanics,15731,642505,1,journal
S124017082,Gesnerus,4858,2680,44,journal
S124293541,INTAMS review,531,252,10,journal
S124338592,Public law,2179,5831,184,journal
S12440265,The Journal of Criminal Law,4423,2707,76,journal
S124430719,Arbitration International,1582,6837,1,journal
S124485727,Zeitschrift für Evidenz Fortbildung und Qualität im Gesundheitswesen,2921,10429,152,journal
S124577133,Archiv für die gesamte Psychologie,17,306,1,journal
S124948411,Clinical Chemistry and Laboratory Medicine (CCLM),14026,204097,2,journal
S125111321,Manuelle Medizin,2309,3603,25,journal
S125198641,The International Journal of Applied Radiation and Isotopes,5722,59358,1,journal
S125270255,The Journal of Modern History,17770,28898,1,journal
S12529635,Computers & Security,9027,126966,1,journal
S1255940,Clinical and Experimental Medicine,3643,38131,2,journal
S125675200,Vierteljahrshefte Zur Wirtschaftsforschung,141,372,5,journal
S125775545,Operations Research,7807,501669,1,journal
S125795645,Chemie Ingenieur Technik,33218,98196,14,journal
S125878255,Neue Rundschau,33,22,1,journal
S125980181,Scandinavian Actuarial Journal,2464,31733,8,journal
S126051354,Nordisk Tidsskrift for International Ret,584,77,7,journal
S126160977,Mathematical Methods of Operations Research,1522,24213,2,journal
S126361426,Weimarer Beiträge/Weimarer Beiträge,296,145,2,journal
S126427871,Psyche,2034,6664,3,journal
S126564611,European Business Law Review,2190,3658,2,journal
S12685493,Physik Journal,11713,9884,18,journal
S126954498,Tierärztliche Umschau,991,782,3,journal
S12713009,Ophthalmic Genetics,1928,21998,1,journal
S127220685,Cells Tissues Organs,9539,143526,11,journal
S12723432,Déviance et Société,1389,6123,2,journal
S127288867,The Journal of Education for Business,2659,1249,2,journal
S127459061,Common Market Law Review,6141,36299,159,journal
S127674538,Gymnasium,755,755,10,journal
S127772399,Zeitschrift für celtische Philologie,1882,1943,11,journal
S127936299,The British Journal of Psychiatry,31296,1028804,2,journal
S127986950,Zeitschrift für Literaturwissenschaft und Linguistik,1374,1862,10,journal
S128114691,ORDO,923,1913,98,journal
S128375914,Africa,11944,67039,7,journal
S128848949,Journal of Bone and Joint Surgery,26838,1687201,1,journal
S129060628,Diabetes,40637,1715962,1,journal
S129324922,Molecular Genetics and Genomics,6060,128312,48,journal
S12943752,WIRTSCHAFTSINFORMATIK,2610,18117,86,journal
S129597367,Der Anaesthesist,5085,40663,16,journal
S12960076,European Journal of Migration and Law,747,8922,1,journal
S129645971,National geographic/The complete National geographic/The National geographic magazine,6955,10807,1,journal
S12965339,Acta Mathematica Academiae Scientiarum Hungaricae,5801,60777,6,journal
S129774924,Journal of Environmental Law,1277,9612,1,journal
S129806727,Canadian Modern Language Review/ La Revue canadienne des langues vivantes,6866,35467,1,journal
S129808133,Tijdschrift voor Geschiedenis,2372,1205,9,journal
S130126452,Journal of The Royal Naval Medical Service,6760,10746,1,journal
S130221908,Journal of European Tort Law,325,573,7,journal
S130340731,Forum qualitative Sozialforschung,2047,19734,7,journal
S130801046,Bulletin of Symbolic Logic,1841,12824,1,journal
S130843884,Drustvena istrazivanja,1826,5088,3,journal
S13103511,Radiopraxis,905,104,19,journal
S131118998,Actes de la recherche en sciences sociales,2761,38288,2,journal
S131132109,Psychiatrische Praxis,3498,14996,5,journal
S131302261,Concilium,1811,108,2,journal
S131338839,Ageing International,1689,13318,15,journal
S131540492,Annales Societatis Geologorum Poloniae/Rocznik Polskiego Towarzystwa Geologicznego,1921,9819,22,journal
S131562361,AINS - Anästhesiologie · Intensivmedizin · Notfallmedizin · Schmerztherapie,5521,16401,37,journal
S131891354,Allergologie,2100,2131,13,journal
S131995128,Gladius,380,900,1,journal
S132362803,Computational Statistics & Data Analysis,7706,198706,1,journal
S132598247,Tijdschrift voor Geneeskunde,13236,1043,3,journal
S132611805,Tenside Surfactants Detergents,5878,16343,32,journal
S132624429,The American Midland Naturalist,8555,195866,1,journal
S13265236,Jahrbuch der Berliner Museen,422,492,1,journal
S133090505,Journal for the Study of the Old Testament,2452,8358,1,journal
S133207615,pferde spiegel,773,165,16,journal
S133324295,Langenbeck s Archives of Surgery,9642,96214,57,journal
S133624536,African and Asian Studies,2110,7472,1,journal
S133667679,Indiana Magazine of History,6557,2876,1,journal
S133907260,Basic Research in Cardiology,4492,117992,1,journal
S133986316,Pedobiologia,3615,57691,2,journal
S134423501,Online,2754,3858,1,journal
S134585236,Space Policy,2476,11815,1,journal
S134782007,International Social Security Review,2167,12089,1,journal
S134916330,The Japanese Journal of Genetics,3277,26747,1,journal
S134979503,Theory and Decision,2248,40428,2,journal
S134988049,Econometric Reviews,7521,84800,9,journal
S135026094,International Studies in Philosophy,3434,20730,1,journal
S135059366,Journal of the History of International Law / Revue d’histoire du droit international,575,2782,3,journal
S135064885,Zeitschrift für Kunstgeschichte,2746,6562,6,journal
S135257476,Oxford University Commonwealth Law Journal,330,1098,1,journal
S135297974,Acta Sociologica,3273,40060,2,journal
S135397728,Dermatology,17719,216680,21,journal
S135469663,Psychiatric Quarterly,6016,55522,1,journal
S13566964,The Journal of Nervous and Mental Disease,42726,614772,4,journal
S136144828,Zeitschrift für Kardiologie,1949,15787,1,journal
S136200794,Forstwissenschaftliches Centralblatt,7728,15705,153,journal
S13624874,Quality Engineering,4168,30446,2,journal
S136509413,Paragrana,660,725,2,journal
S136578784,British Journal of Sports Medicine,11549,477325,1,journal
S136689770,Pflege,1981,8544,5,journal
S137490058,Phonetica,1825,34190,1,journal
S137519996,Electronic Markets,3672,41775,4,journal
S13812875,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,1915,28748,11,journal
S138300431,Tijdschrift voor Gerontologie en Geriatrie,1074,2286,2,journal
S138332656,Ons Geestelijk Erf,383,176,1,journal
S138334915,Politische Vierteljahresschrift,2358,13053,144,journal
S138583054,Bauingenieur,2253,1972,105,journal
S138645024,Journal of Comparative Economics,3085,98862,1,journal
S138712653,Homo Oeconomicus,408,1586,2,journal
S13880985,Genetica,4904,103995,2,journal
S138921508,Idealistic Studies,1186,2791,1,journal
S139143312,Annales Histoire Sciences Sociales,19076,35071,4,journal
S139392130,Integration,2529,27170,2,journal
S13941947,Zeitschrift für Medizinische Physik,2017,11613,8,journal
S140205356,Gyn�kologisch-geburtshilfliche Rundschau,5126,3747,23,journal
S140305009,Laryngo-Rhino-Otologie,17302,30797,20,journal
S140350455,Zeitschrift für slavische Philologie,124,71,1,journal
S140531934,NTM Zeitschrift für Geschichte der Wissenschaften Technik und Medizin,950,2099,3,journal
S140646768,Der Radiologe,5189,20074,82,journal
S140799682,Geist und Leben,36,0,2,journal
S140831787,International Journal of Offender Therapy and Comparative Criminology,3333,53158,1,journal
S140996298,Parallax,1219,8177,1,journal
S141074886,Acta Arithmetica,5413,59288,2,journal
S141282100,Zeitschrift für Rheumatologie,4094,20905,10,journal
S141333782,Monatshefte,2757,1871,2,journal
S141502683,PalZ,2912,31849,9,journal
S141585851,Chemical Geology,13446,699264,1,journal
S142063916,Zeitschrift für Deutsches Altertum und Deutsche Literatur,896,760,4,journal
S142409771,Fordham law review,3662,11793,2,journal
S14250838,Indiana Journal of Global Legal Studies,918,9725,1,journal
S142542876,British Journal of Radiology,28773,392186,1,journal
S142610861,European Journal of Law Reform,703,1401,5,journal
S14279387,Hastings law journal,2745,8811,2,journal
S143111890,Journal of Terramechanics,3690,34507,5,journal
S143149996,Nervenheilkunde,3472,3972,3,journal
S143381477,Environment International,13361,593952,1,journal
S143388879,Journal of Intellectual Property Law,396,927,1,journal
S143608141,Internationales Archiv für Sozialgeschichte der deutschen Literatur,1126,1650,8,journal
S143615459,Mauerwerk,2174,1867,3,journal
S14366549,Theology,22335,9508,6,journal
S143701257,Legal Issues of Economic Integration,1032,3544,6,journal
S143778936,Syracuse journal of international law and commerce,282,529,1,journal
S14411630,European Journal of Philosophy,1788,21439,1,journal
S144147463,Observatory,7736,9998,1,journal
S144188811,European Review of Contract Law,657,2556,10,journal
S144298576,Journal for General Philosophy of Science,1626,12261,9,journal
S144402922,Japanese Sociological Review,4274,1433,1,journal
S145628082,Die Verwaltung,30,113,16,journal
S145781505,War in History,2064,3983,1,journal
S146017412,Ancient Philosophy,2035,15099,1,journal
S146294059,Geburtshilfe und Frauenheilkunde,19456,31810,59,journal
S14636018,Revista de Derecho Comunitario Europeo,1330,987,3,journal
S146547870,Administrative Theory & Praxis,1208,11105,1,journal
S14672235,Bauphysik,2824,2756,2,journal
S146822473,Journal of the American Oriental Society,16350,172382,5,journal
S147798434,Medical Laser Application,543,3776,1,journal
S14785723,Vakuum in Forschung und Praxis,3266,2573,3,journal
S147868187,Reproduction in Domestic Animals,7270,88943,1,journal
S147910839,Brigham Young University law review,1790,4598,1,journal
S14824431,Civil engineering,11186,12211,1,journal
S148958534,Zamm-zeitschrift Fur Angewandte Mathematik Und Mechanik,240,620,3,journal
S149240962,Journal of Financial Economics,4584,1261476,1,journal
S149275985,The Journal of Theological Studies,20635,25451,1,journal
S149452110,Studia Linguistica,1164,14123,1,journal
S149602687,Renascence,2404,1460,1,journal
S149941051,Schweizer Archiv für Tierheilkunde,2647,9001,8,journal
S150042853,Japanese Circulation Journal-english Edition,81160,4512,1,journal
S150314616,The Annals of the American Academy of Political and Social Science,32776,185649,16,journal
S150404214,Wiener klinische Wochenschrift,4982,36963,3,journal
S150866770,Monumenta Nipponica,4146,39001,5,journal
S150892397,Aequationes Mathematicae,3821,33681,3,journal
S151394118,Polymer News,411,733,3,journal
S151491554,The Geneva Papers on Risk and Insurance Issues and Practice,1813,20638,1,journal
