abk,pubyear,source,value
AcP,2003,publisher,29
AcP,2003,openalex,29
AcP,2004,publisher,30
AcP,2004,openalex,30
AcP,2005,publisher,27
AcP,2005,openalex,27
AcP,2006,publisher,25
AcP,2006,openalex,25
AcP,2007,publisher,25
AcP,2007,openalex,25
AcP,2008,publisher,25
AcP,2008,openalex,31
AcP,2009,publisher,33
AcP,2009,openalex,33
AcP,2010,publisher,29
AcP,2010,openalex,29
AcP,2011,publisher,26
AcP,2011,openalex,26
AcP,2012,publisher,33
AcP,2012,openalex,38
AcP,2013,publisher,33
AcP,2013,openalex,33
AcP,2014,publisher,28
AcP,2014,openalex,28
AcP,2015,publisher,24
AcP,2015,openalex,24
AcP,2016,publisher,53
AcP,2016,openalex,53
AcP,2017,publisher,34
AcP,2017,openalex,34
AcP,2018,publisher,62
AcP,2018,openalex,62
AcP,2019,publisher,33
AcP,2019,openalex,33
AcP,2020,publisher,65
AcP,2020,openalex,65
AcP,2021,publisher,40
AcP,2021,openalex,40
AcP,2022,publisher,36
AcP,2022,openalex,29
AcP,2023,publisher,46
AcP,2023,openalex,46
AöR,2003,publisher,24
AöR,2003,openalex,24
AöR,2004,publisher,30
AöR,2004,openalex,30
AöR,2005,publisher,28
AöR,2005,openalex,28
AöR,2006,publisher,24
AöR,2006,openalex,24
AöR,2007,publisher,27
AöR,2007,openalex,27
AöR,2008,publisher,83
AöR,2008,openalex,83
AöR,2009,publisher,64
AöR,2009,openalex,64
AöR,2010,publisher,58
AöR,2010,openalex,58
AöR,2011,publisher,64
AöR,2011,openalex,64
AöR,2012,publisher,75
AöR,2012,openalex,75
AöR,2013,publisher,49
AöR,2013,openalex,49
AöR,2014,publisher,53
AöR,2014,openalex,53
AöR,2015,publisher,46
AöR,2015,openalex,46
AöR,2016,publisher,51
AöR,2016,openalex,51
AöR,2017,publisher,44
AöR,2017,openalex,44
AöR,2018,publisher,43
AöR,2018,openalex,43
AöR,2019,publisher,39
AöR,2019,openalex,39
AöR,2020,publisher,30
AöR,2020,openalex,30
AöR,2021,publisher,28
AöR,2021,openalex,28
AöR,2022,publisher,28
AöR,2022,openalex,25
AöR,2023,publisher,35
AöR,2023,openalex,35
JZ,2006,publisher,331
JZ,2006,openalex,331
JZ,2007,publisher,323
JZ,2007,openalex,323
JZ,2008,publisher,292
JZ,2008,openalex,292
JZ,2009,publisher,291
JZ,2009,openalex,291
JZ,2010,publisher,282
JZ,2010,openalex,296
JZ,2011,publisher,275
JZ,2011,openalex,298
JZ,2012,publisher,255
JZ,2012,openalex,274
JZ,2013,publisher,263
JZ,2013,openalex,251
