"source_title","article_count","cited_by_count","law_and_de_sum","law_and_de_article_share","citations_per_paper"
Legal History Review,265,17548,47,0.18500000000000000000,69.5700000000000000
Deutsche Lebensmittel-Rundschau,3458,7258716,1467,0.42500000000000000000,2099.1100000000000000
"Forensische Psychiatrie, Psychologie, Kriminologie",1542,1127520,432,0.28333333333333333333,731.2066666666666667
Credit and Capital Markets,164,6984,18,0.11000000000000000000,42.5900000000000000
Osterreichisches Archiv fur Recht und Religion,336,19256,166,0.49500000000000000000,57.3100000000000000
"Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Kanonistische Abteilung",120,9579,93,0.78000000000000000000,79.8300000000000000
Recht und Psychiatrie,680,244545,255,0.37500000000000000000,359.6250000000000000
Zeitschrift fur Europarechtliche Studien,206,2800,50,0.24000000000000000000,13.5900000000000000
Rechtsgeschichte,309,48764,146,0.47000000000000000000,157.8100000000000000
Zeitschrift fur Auslandisches Offentliches Recht und Volkerrecht,142,5796,46,0.32000000000000000000,40.8200000000000000
Archiv fur Rechts- und Sozialphilosophie,530,35787,151,0.28500000000000000000,67.5250000000000000
"Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Romanistische Abteilung",1206,329574,413,0.34500000000000000000,273.2800000000000000
Verwaltung,111,11554,109,0.98000000000000000000,104.0900000000000000
Jusletter IT,1270,53865,405,0.32000000000000000000,42.4150000000000000
Zeitschrift fur Rechtssoziologie,88,6042,57,0.65000000000000000000,68.6600000000000000
"Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte, Germanistische Abteilung",750,88193,293,0.39000000000000000000,117.5900000000000000
Journal on European History of Law,283,9176,74,0.26000000000000000000,32.4200000000000000
Kriminologisches Journal,621,46000,184,0.29666666666666666667,74.0766666666666667
Kriminologie,92,6370,65,0.71000000000000000000,69.2400000000000000
Monatsschrift fur Kriminologie und Strafrechtsreform,640,167757,281,0.43500000000000000000,262.1200000000000000
Kriminalistik,5202,3617808,2599,0.50000000000000000000,695.4650000000000000
