"zeitschrift","abk","issn_list","wos_source_title","wos_issn","scopus_source_id","scp_issn","openalex_source_id","openalex_issn","crossref_issn","in_wos_emerging_sources_index"
Die Aktiengesellschaft,AG,"{2366-097X,0002-3752,1611-1915}",,,,,{S4210167899},{0002-3752},"{0002-3752,2366-097X}",
Verwaltungsarchiv,VerwArch,{0042-4501},,,,,{S4210237897},{0042-4501},{0042-4501},
Europarecht,EuR,"{0531-2485,2942-3198}",,,,,{S4210204607},{0531-2485},{0531-2485},
Zeitschrift für Gesellschaftsrecht (Zeitschrift für Unternehmens- und Gesellschaftsrecht),ZGR,"{1612-7048,0340-2479}",,,,,{S4210199208},{0340-2479},"{0340-2479,1612-7048}",
Archiv des Volkerrechts,AVR,"{1868-7121,0003-892X}",,,,,{S4210231065},{0003-892X},{0003-892X},
Zeitschrift für  Arbeitsrecht,ZFA,"{0342-328X,0943-7525}",,,,,{S4210198336},{0342-328X},{0342-328X},
Monatsschrift für Deutsches Recht,MDR,"{0340-1812,2194-4202}",,,,,{S4210169614},{0340-1812},"{0340-1812,2194-4202}",false
Kritische Justiz,KJ,"{2942-3295,0023-4834}",,,,,{S4210207308},{0023-4834},{0023-4834},false
JuristenZeitung,JZ,"{0022-6882,1868-7067}",,,,,{S157638965},{0022-6882},{0022-6882},false
Betriebs-Berater,BB,"{0947-0581,0340-7918}",,,,,{S4306504202},{0340-7918},,
Zeitschrift für Wirtschaftsrecht,ZIP,{0723-9416},,,,,,,,
Europäische Grundrechtezeitschrift,EuGRZ,"{2750-2767,0341-9800}",,,,,,,,
Arbeit und Recht,AuR,"{2942-0598,0003-7648}",,,,,,,,
Zeitschrift für das gesamte Handels- und Wirtschaftsrecht,ZHR,{0044-2437},,,,,,,,
Zeitschrift für das gesamte Familienrecht,FamRZ,{0044-2410},,,,,,,,
Neue Zeitschrift für Strafrecht,NStZ,{0720-1753},,,,,{S4306520745},{0720-1753},,
Zeitschrift für Wirtschafts- und Steuerstrafrecht,wistra,{0721-6890},,,,,,,,
Deutsches Steuerrecht,DStR,"{0012-1347,0949-7676}",,,,,,,,
Juristische Arbeitsblätter,JA,{0022-6904},,,,,,,,false
DER BETRIEB,DB,{0005-9935},,,,,,,,false
Neue juristische Wochenschrift,NJW,"{0341-1915,0341-1907}",,,,,{S4393914620},{0341-1907},,false
Juristische Schulung,JuS,{0022-6939},,,,,{S4306516541},{0022-6939},,false
GmbH-Rundschau,GmbHR,"{1438-468X,2366-1062,0016-3570}",,,,,{S4306511567},{0016-3570},,
Der Strafverteidiger,StV,"{2366-2166,0720-1605}",,,,,{S4210226028},{0720-1605},"{0720-1605,2366-2166}",
Juristische Ausbildung,JURA,"{1612-7021,0170-1452}",,,,,{S4210240061},{0170-1452},"{0170-1452,1612-7021}",false
Archiv des öffentlichen Rechts,AöR,"{0003-8911,1868-6796}",,,,,{S78787406},{0003-8911},{0003-8911},false
Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte,ZRG,"{2304-4934,0323-4096,2304-4861,0323-4142,2304-4896,0323-4045}",,,"{16100154738,18498,18501}","{0323-4045,0323-4096,0323-4142,2304-4861,2304-4896,2304-4934}","{S4210177729,S4210238088,S4210173692}","{0323-4045,0323-4096,0323-4142}","{0323-4045,0323-4096,0323-4142,2304-4861,2304-4896,2304-4934}",true
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,"{2364-6071,0179-2830,2193-7869}",,,,,{S4210234159},{2193-7869},{2193-7869},false
Europäische Zeitschrift für Wirtschaftsrecht,EuZW,{0937-7204},,,,,,,,
Zeitschrift für europäisches Privatrecht,ZeuP,{0943-3929},,,,,,,,false
Recht der Arbeit,RdA,"{0342-1945,1028-4656}",,,,,{S4306507572},{1028-4656},,
Strafverteidigerforum,StraFo,{0947-9252},,,,,,,,
Zeitschrift für europäisches Privatrecht,ZEuP,{0943-3929},,,,,,,,
Neue Zeitschrift für Verwaltungsrecht,NVwZ,{0721-880X},,,,,,,,
Deutsches Verwaltungsblatt,DVBI,"{0012-1363,2366-0651}",,,,,{S4210192652},{0012-1363},"{0012-1363,2366-0651}",
Zeitschrift für die gesamte Strafrechtswissenschaft,ZStW,"{0084-5310,1612-703X}",,,,,{S4210191334},{0084-5310},"{0084-5310,1612-703X}",
Zeitschrift für ausländisches  offentliches Recht und Volkerrecht,ZaoRV,"{0044-2348,2942-3562}",,,{21101089572},{0044-2348},{S4210195736},{0044-2348},{0044-2348},
Computer und Recht,CR,"{0179-1990,2194-4172,1431-8180}",,,,,{S4210190048},{0179-1990},"{0179-1990,2194-4172}",
Die Verwaltung,Verw,"{0042-4498,1865-5211}",,,{21100920870},"{0042-4498,1865-5211}",{S4210228072},{0042-4498},"{0042-4498,1865-5211}",
Zeitschrift für Rechtspolitik,ZRP,{0514-6496},,,,,{S4306535636},{0514-6496},,false
Archiv für die civilistische Praxis,AcP,"{1868-7113,0003-8997}",,,,,{S82779185},{0003-8997},{0003-8997},false
Der Staat,Staat,"{1865-5203,0038-884X}",,,,,{S204358660},{0038-884X},"{0038-884X,1865-5203}",false
Zeitschrift für Zivilprozess,ZZP,"{0342-3468,2366-2077}",,,,,{S4210176706},{0342-3468},"{0342-3468,2366-2077}",false
Juristische Rundschau,JR,"{0022-6920,1612-7064}",,,,,{S25774322},{0022-6920},"{0022-6920,1612-7064}",false
Rabels Zeitschrift für ausländisches und internationales Privatrecht,RabelsZ,"{0033-7250,1868-7059}",,,,,{S108365452},{0033-7250},{0033-7250},true
Goltdammers Archiv für  Strafrecht,GA,{0017-1956},,,,,,,,
Zeitschrift für Wirtschafts- und Bankrecht,WM,{0342-6971},,,,,,,,
Neue Zeitschrift für Gesellschaftsrecht,NZG,{1434-9272},,,,,{S4306520743},{1434-9272},,
Neue Zeitschrift for Sozialrecht,NZS,{0941-7915},,,,,,,,
Die öffentliche Verwaltung,DOV,{0029-859X},,,,,,,,
Zeitschrift für Strafrechtsdogmatik,ZIS,{1863-6470},,,,,,,,
Neue Zeitschrift für Arbeitsrecht,NZA,{0943-7525},,,,,,,,
