"rang","zeitschrift","abk","punkte_absolut","qualitaet_gewichtet","summe_bewertungen","issn_manuell","fachgebiet","is_in_crossref"
25,Archiv für die civilistische Praxis,AcP,33.5,3.21,14,"0003-8997,1868-7113",Bürgerliches Recht,true
43,Juristische Schulung,JuS,12.5,1.2,8,"0022-6939",,false
21,DER BETRIEB,DB,39.4,3.77,17,"0005-9935",Arbeitsrecht und Sozialrecht,false
29,Rabels Zeitschrift für ausländisches und internationales Privatrecht,RabelsZ,25.2,2.41,11,"0033-7250,1868-7059",Europäisches öffentl. und priv. Recht sowie Völkerrecht ,true
18,Neue juristische Wochenschrift,NJW,46.7,4.47,27,"0341-1915,0341-1907",Bürgerliches Recht,false
16,Die öffentliche Verwaltung,DOV,49.8,4.77,21,"0029-859X",Staats- und Verwaltungsrecht,false
27,Arbeit und Recht,AuR,27.6,2.64,12,"2942-0598,0003-7648",Arbeitsrecht und Sozialrecht,false
39,Betriebs-Berater,BB,18,1.72,8,"0340-7918,0947-0581",,false
38,Deutsches Steuerrecht,DStR,19.5,1.87,8,"0012-1347,0949-7676",Staats- und Verwaltungsrecht,false
41,Europäische Grundrechtezeitschrift,EuGRZ,17.4,1.67,9,"0341-9800,2750-2767",,false
28,Europäische Zeitschrift für Wirtschaftsrecht,EuZW,26.6,2.55,14,"0937-7204",Gesellschaftsrecht,false
19,Zeitschrift für das gesamte Familienrecht,FamRZ,40.4,3.87,14,"0044-2410",Bürgerliches Recht,false
7,Goltdammers Archiv für  Strafrecht,GA,81.4,7.80,28,"0017-1956",Strafrecht,false
20,GmbH-Rundschau,GmbHR,39.7,3.80,13,"0016-3570,1438-468X,2366-1062",Gesellschaftsrecht,false
5,Neue Zeitschrift für Strafrecht,NStZ,86.2,8.26,34,"0720-1753",Strafrecht,false
10,Neue Zeitschrift für Verwaltungsrecht,NVwZ,73.8,7.07,28,"0721-880X",Staats- und Verwaltungsrecht,false
36,Zeitschrift für Zivilprozess,ZZP,22.8,2.18,8,"0342-3468,2366-2077",,true
9,JuristenZeitung,JZ,78.4,7.51,29,"0022-6882,1868-7067",Bürgerliches Recht,true
3,Archiv des öffentlichen Rechts,AöR,100.5,9.63,31,"0003-8911,1868-6796",Staats- und Verwaltungsrecht,true
6,Der Staat,Staat,86,8.24,27,"1865-5203,0038-884X",Staats- und Verwaltungsrecht,true
11,Die Aktiengesellschaft,AG,72,6.90,24,"0002-3752,2366-097X,1611-1915",Gesellschaftsrecht,true
34,Archiv des Volkerrechts,AVR,23,2.2,12,"0003-892X,1868-7121",Europäisches öffentl. und priv. Recht sowie Völkerrecht ,true
42,Computer und Recht,CR,16.1,1.54,8,"0179-1990,2194-4172,1431-8180",Bürgerliches Recht,true
13,Deutsches Verwaltungsblatt,DVBI,63.5,6.08,25,"0012-1363,2366-0651",Staats- und Verwaltungsrecht,true
35,Europarecht,EuR,22.9,2.19,10,"0531-2485,2942-3198",Europäisches öffentl. und priv. Recht sowie Völkerrecht ,true
4,Zeitschrift für Gesellschaftsrecht (Zeitschrift für Unternehmens- und Gesellschaftsrecht),ZGR,98.3,9.42,30,"0340-2479,1612-7048",Gesellschaftsrecht,true
15,Neue Zeitschrift für Arbeitsrecht,NZA,60,5.75,20,"0943-7525",Arbeitsrecht und Sozialrecht,false
24,Neue Zeitschrift für Gesellschaftsrecht,NZG,35.2,3.37,15,"1434-9272",Gesellschaftsrecht,false
33,Neue Zeitschrift for Sozialrecht,NZS,24.3,2.33,8,"0941-7915",Arbeitsrecht und Sozialrecht,false
14,Recht der Arbeit,RdA,63.4,6.07,21,"0342-1945,1028-4656",Arbeitsrecht und Sozialrecht,false
30,Strafverteidigerforum,StraFo,25,2.39,9,"0947-9252",Strafrecht,false
37,Zeitschrift für Wirtschafts- und Steuerstrafrecht,wistra,19.9,1.91,8,"0721-6890",Strafrecht,false
23,Zeitschrift für Wirtschafts- und Bankrecht,WM,35.8,3.43,15,"0342-6971",Gesellschaftsrecht,false
32,Zeitschrift für europäisches Privatrecht,ZEuP,24.4,2.34,10,"0943-3929",,false
1,Zeitschrift für das gesamte Handels- und Wirtschaftsrecht,ZHR,104.4,10.00,34,"0044-2437",Gesellschaftsrecht,false
2,Zeitschrift für Wirtschaftsrecht,ZIP,103.6,9.92,36,"0723-9416",Gesellschaftsrecht,false
40,Zeitschrift für Strafrechtsdogmatik,ZIS,17.5,1.68,8,"1863-6470",Strafrecht,false
8,Der Strafverteidiger,StV,81.2,7.78,32,"0720-1605,2366-2166",Strafrecht,true
17,Die Verwaltung,Verw,48.2,4.62,17,"1865-5211,0042-4498",Staats- und Verwaltungsrecht,true
22,Verwaltungsarchiv,VerwArch,38.5,3.69,10,"0042-4501",Staats- und Verwaltungsrecht,true
31,Zeitschrift für ausländisches  offentliches Recht und Volkerrecht,ZaoRV,24.8,2.38,12,"0044-2348,2942-3562",Europäisches öffentl. und priv. Recht sowie Völkerrecht ,true
26,Zeitschrift für  Arbeitsrecht,ZFA,30.1,2.88,11,"0342-328X,0943-7525",Arbeitsrecht und Sozialrecht,true
12,Zeitschrift für die gesamte Strafrechtswissenschaft,ZStW,68.8,6.59,30,"0084-5310,1612-703X",Strafrecht,true
