"institution_id","raw_author_name","author_id","cleaned_author_name","cleaned_institution_name","min_pubyear","max_pubyear","publ_cnt","example_id"
,Hinrich Rüping,A5000004275,Hinrich Rüping,,2010,2010,2,W88642755
,Stefan Greiner,A5000034926,Stefan Greiner,,2020,2020,1,W3014497707
,Thomas Gschwend,A5000084056,Thomas Gschwend,,2017,2017,1,W2750792014
,Markus C. Kerber,A5000089623,Markus C. Kerber,,2015,2023,2,W4368247733
,Christoph Becker,A5000160503,Christoph Becker,,2015,2015,1,W2762566505
,Cordt-Magnus van Geuns-Rosch,A5000199532,Cordt-Magnus van Geuns-Rosch,,2019,2019,1,W2955676370
,Jochen Alfred Werner,A5000215779,Jochen A. Werner,,2013,2013,1,W2056560883
,Klaus Ulrich Schmolke,A5000258203,Klaus Ulrich Schmolke,,2008,2015,2,W2323427906
,Christian Hensel,A5000259762,Christian Hensel,,2008,2008,1,W4231761140
,Fabian Heide,A5000260435,Fabian Heide,,2019,2019,1,W4234059820
,Anne Christin Wietfeld,A5000313839,Anne Christin Wietfeld,,2020,2020,1,W3026357075
,Marcus Lutter,A5000406086,Marcus Lutter,,2006,2007,3,W4241212315
,Andrea Hagemeier,A5000518455,Andrea Hagemeier,,2010,2010,1,W1966683820
,Claudio Franzius,A5000578088,Claudio Franzius,,2014,2014,1,W2079326100
,Andreas Bücker,A5000694030,Andreas Bücker,,2008,2008,1,W2076132787
,Mario Martini,A5000748936,Mario Martini,,2012,2012,1,W2093901205
,Felix Berner,A5000776150,Felix Berner,,2021,2021,1,W3217010979
,Marc-Philippe Weller,A5000932949,Marc-Philippe Weller,,2008,2023,12,W4368247786
,Dietrich Murswiek,A5000991389,Dietrich Murswiek,,2010,2010,1,W2032518722
,Liv Jaeckel,A5001015064,Liv Jaeckel,,2011,2011,1,W495856
,Ivo Bach,A5001019434,Ivo Bach,,2012,2021,2,W4251030174
,Michael Rolfsen,A5001054993,Michael Rolfsen,,2009,2009,1,W4248949717
,Thomas Weigend,A5001070905,Thomas Weigend,,2009,2021,4,W3167151286
,Michael Dudek,A5001123161,Michael Dudek,,2020,2020,1,W4244763989
,Matthias Wallimann,A5001160913,Matthias Wallimann,,2016,2016,1,W2339952033
,Daniela Demko,A5001167517,Daniela Demko,,2011,2011,1,W2001579807
,Daniel Effer-Uhe,A5001167722,Daniel Effer-Uhe,,2023,2023,1,W4387303733
,Daniel Oliver Effer-Uhe,A5001167722,Daniel Effer-Uhe,,2016,2016,1,W2509306550
,Angelika Günzel,A5001292202,Angelika Günzel,,2007,2007,1,W1992554095
,Herbert Roth,A5001329010,Herbert Roth,,2006,2023,36,W4352992984
,Christoph Schönberger,A5001455343,Christoph Schönberger,,2007,2018,8,W878722814
,Kyriakos N. Kotsoglou,A5001465745,Kyriakos N. Kotsoglou,,2013,2017,4,W2599304540
,Susanne Schwarz,A5001466458,Susanne Schwarz,,2007,2007,1,W4230761760
,Jean Mohamed,A5001486408,Jean Mohamed,,2019,2019,1,W2964834845
,Jörn Jacobs,A5001527041,Jörn Jacobs,,2007,2007,1,W4246050982
,Carl-Friedrich Stuckenberg,A5001549468,Carl-Friedrich Stuckenberg,,2006,2015,4,W2915620459
,Matthias Fervers,A5001560972,Matthias Fervers,,2019,2019,1,W2946098251
,Frauke Brosius-Gersdorf,A5001732424,Frauke Brosius-Gersdorf,,2007,2007,1,W2069940065
,Gunnar Hindrichs,A5001774136,Gunnar Hindrichs,,2008,2008,1,W1972981624
,Eduard Wegner,A5001858173,E. Wegner,,2020,2020,1,W3027080224
,Andreas Ringshandl,A5001868957,Andreas Ringshandl,,2018,2018,1,W4253327172
,Bernd Ruethers,A5001910095,Bernd Ruethers,,2010,2011,2,W825255761
,Gregor Hilger,A5001966247,Gregor Hilger,,2023,2024,2,W4390725106
,Volker Rieble,A5001979242,Volker Rieble,,2007,2011,3,W4241474157
,M. Lehmann,A5002006476,Mattias Lehmann,,2017,2017,1,W2602859517
,Stephan Barton,A5002013563,Stephan Barton,,2010,2010,1,W4238375881
,Matthias Ruffert,A5002090419,Matthias Ruffert,,2007,2007,1,W4206965442
,Angela Schwerdtfeger,A5002142214,Angela Schwerdtfeger,,2022,2022,1,W4285229806
,Stefan Haack,A5002184270,Stefan Haack,,2012,2017,2,W2786144179
,Hans-Jürgen Ahrens,A5002204956,Hans-Jürgen Ahrens,,2009,2009,1,W2000001462
,Frank Peters,A5002233835,Frank Peters,,2012,2012,1,W2047861643
,Dieter Medicus,A5002239555,Dieter Medicus,,2006,2011,3,W4251911859
,Kyrill-Alexander Schwarz,A5002260691,Kyrill-Alexander Schwarz,,2010,2010,1,W2331166099
,Peter Oestmann,A5002283347,Peter Oestmann,,2012,2022,4,W4285303642
