*nodes
Id;Label;Type
1;Hinrich Rüping;author
2;Stefan Greiner;author
3;Thomas Gschwend;author
4;Markus C. Kerber;author
5;Christoph Becker;author
6;Cordt-Magnus van Geuns-Rosch;author
7;Jochen A. Werner;author
8;Klaus Ulrich Schmolke;author
9;Christian Hensel;author
10;Fabian Heide;author
11;Anne Christin Wietfeld;author
12;Marcus Lutter;author
13;Andrea Hagemeier;author
14;Claudio Franzius;author
15;Andreas Bücker;author
16;Mario Martini;author
17;Felix Berner;author
18;Marc-Philippe Weller;author
19;Dietrich Murswiek;author
20;Liv Jaeckel;author
21;Ivo Bach;author
22;Michael Rolfsen;author
23;Thomas Weigend;author
24;Michael Dudek;author
25;Matthias Wallimann;author
26;Daniela Demko;author
27;Daniel Effer-Uhe;author
28;Angelika Günzel;author
29;Herbert Roth;author
30;Christoph Schönberger;author
31;Kyriakos N. Kotsoglou;author
32;Susanne Schwarz;author
33;Jean Mohamed;author
34;Jörn Jacobs;author
35;Carl-Friedrich Stuckenberg;author
36;Matthias Fervers;author
37;Frauke Brosius-Gersdorf;author
38;Gunnar Hindrichs;author
39;E. Wegner;author
40;Andreas Ringshandl;author
41;Bernd Ruethers;author
42;Gregor Hilger;author
43;Volker Rieble;author
44;Mattias Lehmann;author
45;Stephan Barton;author
46;Matthias Ruffert;author
47;Angela Schwerdtfeger;author
48;Stefan Haack;author
49;Hans-Jürgen Ahrens;author
50;Frank Peters;author
51;Dieter Medicus;author
52;Kyrill-Alexander Schwarz;author
53;Peter Oestmann;author
54;Leonie Steinl;author
55;Louisa Brennecke;author
56;Moritz Brinkmann;author
57;Astrid Wallrabenstein;author
58;Katharina Hilbig-Lugani;author
59;Wolfgang Grunsky;author
60;Martin Becker;author
61;Ekkehard Hofmann;author
62;Christoph Engel;author
63;Johannes Buchheim;author
64;Bernhard Großfeld;author
65;Ulrich Eisenberg;author
66;Wolfgang Hau;author
67;Kurt Siehr;author
68;Georg Bitter;author
69;Matthias Kilian;author
70;Holger Ehlers;author
71;Fabian Michl;author
72;Jürgen Helle;author
73;Christoph Enders;author
74;Christian Kukuczka;author
75;Frederik von Harbou;author
76;Ulrich Jan Schröder;author
77;Dian Schefold;author
78;Thomas M. J. Möllers;author
79;Andreas Röth;author
80;Jens Kleinschmidt;author
81;Markus Würdinger;author
82;Kristian Kühl;author
83;Barbara Dauner-Lieb;author
84;Daniel Klocke;author
85;Johannes Belling;author
86;Moritz Maier;author
87;Franz Schnauder;author
88;Dagmar Coester-Waltjen;author
89;Claude Witz;author
90;Gerrit Forst;author
91;Burkhard Heß;author
92;Dirk Müllmann;author
93;Ulrich Segna;author
94;Mimiam Dross;author
95;Reinhard Bork;author
96;Christian Ernst;author
97;Nikolaus Marsch;author
98;Björn Schiffbauer;author
99;Steffen Augsberg;author
100;Carl-Christian Dressel;author
101;Christian Fahl;author
102;Johannes Wertenbruch;author
103;Klaus Tiedtke;author
104;Ssoufian Bouchouaf;author
105;Winfried Kluth;author
106;Katharina von Schlieffen;author
107;Herbert Zech;author
108;Peter Schlechtriem;author
109;Max Gärtner;author
110;Gregor Thüsing;author
111;Nils Schaks;author
112;Lola Petersen;author
113;Jonathan Friedrichs;author
114;Maximilian Becker;author
115;Klaus Tonner;author
116;Jermaine Washington;author
117;Joachim von Bargen;author
118;Knut Werner Lange;author
119;Leonhard Hübner;author
120;Gerhard Hohloch;author
121;Diederich Eckardt;author
122;Gerson Trüg;author
123;Paul Kirchhof;author
124;Jan D. Lüttringhaus;author
125;Joachim Wieland;author
126;Hans-Detlef Horn;author
127;Anna-Julia Egger;author
128;Matthias Dankemeyer;author
129;Ralph Christensen;author
130;Gottfried Schiemann;author
131;Jürgen Rath;author
132;Eike Kassebaum;author
133;S. S. Meyer;author
134;Ingo Rau;author
135;Jan-Marcel Drossel;author
136;Josef Franz Lindner;author
137;Matthias Siegmann;author
138;Martin Häublein;author
139;Christoph Engel;author
140;Jens Adolphsen;author
141;Gerhard Haney;author
142;Eva Kocher;author
143;Anne Schneider;author
144;Herbert Wiedemann;author
145;Sebastian Leuschner;author
146;Ulrich Palm;author
147;Maren Vogel;author
148;Ulrike Picker;author
149;Ingolf Pernice;author
150;Clara Günzl;author
151;Nadja Josefin Rünzel;author
152;Christine Morgenstern;author
153;Sophie Ludewigs;author
154;Elke Gurlit;author
155;Andreas Möhlenkamp;author
156;Carina Dorneck;author
157;Thomas Hillenkamp;author
158;Robert Bommel;author
159;Stanley L. Paulson;author
160;Claus Ahrens;author
161;Hans-Martin Müller-Laube;author
162;Edda E. Pauli;author
163;Martin Heckel;author
164;Lennart Fleckenstein;author
165;Ina Plettenberg;author
166;Florian Bode;author
167;Tilman Bezzenberger;author
168;Georg Lienbacher;author
169;Kevin Franzke;author
170;Uwe Volkmann;author
171;Niklas Bunnenberg;author
172;Tobias André;author
173;Hans Kudlich;author
174;Adrian Schmidt Recla;author
175;Marie Fritzer;author
176;Michael Lysander Fremuth;author
177;Rüdiger Krause;author
178;Tilman Rauhut;author
179;Stefan Treichel;author
180;Katrin Gierhake;author
181;Paul R. Wolf;author
182;Jörg Manfred Mössner;author
183;Marten Breuer;author
184;C. Schnabel;author
185;Patrick C. Leyens;author
186;Timo Fest;author
187;Jörg H. Sommer;author
188;Michael Walter;author
189;Sven Siebrecht;author
190;Daniel Sailer;author
191;Gerald Spindler;author
192;Martin Zwickel;author
193;Christoph Krenn;author
194;Andreas Fuchs;author
195;Christian Becker;author
196;Thomas Oppermann;author
197;Jan Schaefer;author
198;Arnd Uhle;author
199;Frank Zimmermann;author
200;Thomas Grosse-Wilde;author
201;Elena Barnert;author
202;Jakob Fortunat Stagl;author
203;Hans Ulrich Paeffgen;author
204;Bernd Heinrich;author
205;Karsten Altenhain;author
206;Eibe Riedel;author
207;Dietmar Willoweit;author
208;Peter Udsching;author
209;Stefan Leible;author
210;Hans-Joachim Cremer;author
211;Patrick Ostendorf;author
212;Simón Maturana;author
213;Karl‐Jürgen Bieback;author
214;Johannes Köndgen;author
215;Sebastian Dworschak;author
216;Bernd-Dieter Meier;author
217;Thomas Riehm;author
218;Ariane Berger;author
219;Paula Rhein-Fischer;author
220;Guy Beaucamp;author
221;Fabian Stam;author
222;Hans Jörg Sandkühler;author
223;Florian Möslein;author
224;Jan Singbartl;author
225;Hinnerk Wißmann;author
226;Lars Klöhn;author
227;Gunda Dreyer;author
228;Jens Koch;author
229;Rolf Gröschner;author
230;Hans Meyer;author
231;Harald Koch;author
232;Marc Reiß;author
233;Lars Berster;author
234;Johannes Klamet;author
235;E Heun;author
236;Hans-Joachim Musielak;author
237;Andreas Kulick;author
238;Hannah Stoffer;author
239;Elena Geck;author
240;Frank Saliger;author
241;Andreas Ruster;author
242;Danny Busch;author
243;Friedhelm Hase;author
244;Germar Enders;author
245;Matthias Klatt;author
246;Roman Kaiser;author
247;Tamina Preuß;author
248;Martin Heger;author
249;Amir Makee Mosa;author
250;Said Pirmurat;author
251;Frank Neubacher;author
252;Erich Samson;author
253;Karsten Schmidt;author
254;Stephan Szalai;author
255;Raphael Koch;author
256;Stefan Witschen;author
257;Nils Weinberg;author
258;Till Valentin Meickmann;author
259;Jürgen Helle;author
260;Alexander Sajnovits;author
261;Roland Broemel;author
262;Julian Krüper;author
263;Boris Schinkels;author
264;Johanna Bierlein;author
265;Jan Hoffmann;author
266;Charlotte Vollenberg;author
267;Nina Nestler;author
268;Magdalena Kubiak;author
269;Kirsten Schmalenbach;author
270;Ralph A. Backhaus;author
271;Michael Nietsch;author
272;Sabine Gleß;author
273;Hans Joachim Schneider;author
274;Thorsten Kingreen;author
275;Hans Heinrich Rupp;author
276;Nils Jansen;author
277;Gesa Franke;author
278;Kay H. Schumann;author
279;Thomas Kirste;author
280;Tobias Voigt;author
281;Dominik Schwab;author
282;Karl Riesenhuber;author
283;Robert Alexy;author
284;Philipp Georgy;author
285;Ansgar Ohly;author
286;Bardo Fassbender;author
287;Wolfgang B. Schünemann;author
288;Dirk Olzen;author
289;Jan C. Joerden;author
290;Helena Carolina Schroeder;author
291;Erik Gawel;author
292;Jürgen Kohler;author
293;Joachim Lege;author
294;Peter Collin;author
295;Paul Krell;author
296;Thomas Trück;author
297;Tobias A. Fuchs;author
298;Gerald Mäsch;author
299;Nora Wienfort;author
300;Clara Beise;author
301;Rike Sinder;author
302;Johann Justus Vasel;author
303;Dagmar Kaiser;author
304;Wolf-Rüdiger Schenke;author
305;Stefan Huber;author
306;Rolf Stober;author
307;Detlef Leenen;author
308;Charlotte Harms;author
309;Christian Bickenbach;author
310;Hans Vest;author
311;Shu-Perng Hwang;author
312;Rolf Wank;author
313;Barbara Grunewald;author
314;Till Zimmermann;author
315;Jochen Taupitz;author
316;Peter Jung;author
317;Sven Söllner;author
318;Dominic Merk;author
319;Timo Rademacher;author
320;Stefan Baufeld;author
321;Jan Lieder;author
322;Luís Greco;author
323;Christian Fuchs;author
324;Thomas Rönnau;author
325;Matthias Bäcker;author
326;Moritz Renner;author
327;Stefanie Bock;author
328;Jens-Peter Schneider;author
329;Jan von Hein;author
330;Karoline Maria Linzbach;author
331;Christian Berger;author
332;Rupprecht Podszun;author
333;Robert Leicht;author
334;Hans Heinrich Rupp;author
335;Angela Metzmacher;author
336;Klaus Bitterich;author
337;Tim Wihl;author
338;Bernhard Schlink;author
339;Thomas Duve;author
340;Marcus Bsaisou;author
341;Wolf-Dietrich Walker;author
342;Johannes Gansmeier;author
343;Steffen Schlinker;author
344;Dres. h. c. ErnstA. Kramer;author
345;Martin Gebauer;author
346;Arndt Teichmann;author
347;Martin Will;author
348;Hanno Kube;author
349;Lisa Pfaffinger;author
350;Michael Pawlik;author
