,abbreviation,title,url
0,JuS,Juristische Schulung & JuSDirekt - Zeitschrift für Studium und Referendariat,http://www.beck-shop.de/JuS-Juristische-Schulung-JuSDirekt/productview.aspx?product=1333&toc=362
1,JW,Neue Juristische Wochenschrift & NJWDirekt,http://www.beck-shop.de/NJW-Neue-Juristische-Wochenschrift-NJWDirekt/productview.aspx?product=1318&toc=362
2,DStR,Deutsches Steuerrecht,http://www.beck-shop.de/DStR-Deutsches-Steuerrecht/productview.aspx?product=14989&toc=362
3,RZ,Zeitschrift für Bilanzierung und Rechnungswesen,http://www.beck-shop.de/BRZ-Zeitschrift-Bilanzierung-Rechnungswesen/productview.aspx?product=27128&toc=362
4,ZA,Neue Zeitschrift für Arbeitsrecht,http://www.beck-shop.de/NZA-Neue-Zeitschrift-Arbeitsrecht/productview.aspx?product=1359&toc=362
5,StZ,Neue Zeitschrift für Strafrecht,http://www.beck-shop.de/NStZ-Neue-Zeitschrift-Strafrecht/productview.aspx?product=1342&toc=362
6,ArbR,Arbeitsrecht Aktuell,http://www.beck-shop.de/ArbR-Arbeitsrecht-Aktuell/productview.aspx?product=29346&toc=362
7,SteuK,Steuerrecht kurzgefaßt,http://www.beck-shop.de/SteuK-Steuerrecht-kurzgefa%C3%9Ft/productview.aspx?product=29454&toc=362
8,GUR-Prax,Gewerblicher Rechtsschutz und Urheberrecht. Praxis im Immaterialgüter- und Wettbewerbsrecht,http://www.beck-shop.de/GRUR-Prax/productview.aspx?product=30753&toc=362
9,ZWE,Zeitschrift für Wohnungseigentumsrecht,http://www.beck-shop.de/ZWE-Zeitschrift-Wohnungseigentumsrecht/productview.aspx?product=30752&toc=362
10,,Verbraucherinsolvenz aktuell,http://www.beck-shop.de/Verbraucherinsolvenz-aktuell/productview.aspx?product=30667&toc=362
11,BKR,Zeitschrift für Bank- und Kapitalmarktrecht,http://www.beck-shop.de/BKR-Zeitschrift-Bank-Kapitalmarktrecht/productview.aspx?product=4212&toc=362
12,RAK,Magazin,http://www.brak-mitteilungen.de/brak_magazin.htm
13,ZfBR,Zeitschrift für deutsches und internationales Bau- und Vergaberecht,http://www.beck-shop.de/ZfBR-Zeitschrift-deutsches-internationales-Bau-Vergaberecht/productview.aspx?product=28578&toc=362
14,FamFR,Familienrecht und Familienverfahrensrecht,http://www.beck-shop.de/Schulz-Hauss-Kemper-Schreiber-Hrsg-Familienrecht-Familienverfahrensrecht-Set/productview.aspx?product=8962388
