,abbreviation,title,url
0,AcP,Archiv für civilistische Praxis,https://www.mohrsiebeck.com/zeitschrift/archiv-fuer-die-civilistische-praxis-acp
1,AfP,Archiv für Presserecht,https://www.afp-medienrecht.de/
2,AG,Die Aktiengesellschaft,http://www.die-aktiengesellschaft.de/
3,AiB,Arbeitsrecht im Betrieb,https://www.bund-verlag.de/zeitschriften/arbeitsrecht-im-betrieb
4,AL,Ad Legendum,https://www.adlegendum.de
5,AP,Arbeitsrechtliche Praxis,https://beck-online.beck.de/Dokument?vpath=bibdata%2Fzeits%2Fap%2Fcont%2Fap.htm&anchor=Y-300-Z-AP&OpusTitle=AP
6,AR,Der Aufsichtsrat,https://www.aufsichtsrat.de/
7,ArbRB,Der Arbeitsrechtsberater,https://www.arbrb.de/
8,AuR,Arbeit und Recht,https://www.bund-verlag.de/zeitschriften/arbeit-und-recht
9,AVR,Archiv des Völkerrechts,https://www.mohrsiebeck.com/zeitschrift/archiv-des-voelkerrechts-avr
10,AöR,Archiv des öffentlichen Rechts,https://www.mohrsiebeck.com/zeitschrift/archiv-des-oeffentlichen-rechts-aoer
11,BauR,Baurecht,https://shop.wolterskluwer-online.de/architekten-bau-immobilienwesen/08250576/
12,BayVBl,Bayerische Verwaltungsblätter,http://www.vahlen.de/productview.aspx?product=799661
13,BB,Betriebsberater,https://betriebs-berater.ruw.de/
14,BC,"Zeitschrift für Bilanzierung, Rechnungswesen und Controlling",https://rsw.beck.de/cms/?site=BC
15,Becklink,Becklink,https://beck-online.beck.de/
16,BFHE,Entscheidungen des Bundesfinanzhofs,https://first.stollfuss.de/stotax/
17,BKK,NWB Rechnungswesen,https://datenbank.nwb.de/Zeitschriften/Ausgabe/4ATRYTK27A
18,BKR,Zeitschrift für Bank- und Kapitalmarktrecht,https://rsw.beck.de/zeitschriften/bkr
19,BLJ,Bucerius Law Journal,https://law-journal.de/
20,BRuR,Betriebsrat und Recht,https://www.beck-shop.de/brur-betriebsrat-recht/product/33394868
21,BVerfGE,Entscheidungen des Bundesverfassungsgerichts,https://www.bundesverfassungsgericht.de/DE/Entscheidungen/Entscheidungen/Amtliche%20Sammlung%20BVerfGE.html
22,CB,Compliance Berater,https://www.dfv.de/portfolio/medien/Compliance-Berater-CB-37
23,CCZ,Corporate-Compliance-Zeitschrift,https://rsw.beck.de/zeitschriften/ccz
24,COVuR,COVID-19 und Recht,https://beck-online.beck.de/?vpath=bibdata%2fzeits%2fCOVUR%2fcont%2fCOVUR%2ehtm
25,CR,Computer und Recht,https://www.computerundrecht.de/
26,CRi,Computer Law Review International,https://www.cr-online.de/cri.htm
27,CuA,Computer und Arbeit,https://www.bund-verlag.de/zeitschriften/computer-und-arbeit
28,DANA,Datenschutz Nachrichten,https://www.datenschutzverein.de/dana/
29,DAR,Deutsches Autorecht,https://www.adac.de/der-adac/rechtsberatung/publikationen-veranstaltungen/deutsches-autorecht/
30,DB,Der Betrieb,https://www.der-betrieb.de/
31,DivRuW,Diversity in Recht & Wirtschaft,https://www.dfv.de/portfolio/medien/Diversity-in-Recht-und-Wirtschaft-148
32,DJZ,Deutsche Juristen-Zeitung,https://dlc.mpdl.mpg.de/dlc/viewMulti/escidoc:88367
33,DK,Der Konzern,https://www.der-konzern.de/
34,DNotZ,Deutsche Notar-Zeitschrift,https://www.bnotk.de/aufgaben-und-taetigkeiten/deutsche-notar-zeitschrift
35,DS,Der Staat,https://www.duncker-humblot.de/zeitschrift/der-staat-staat-4/?page_id=1
36,DSB,Datenschutz-Berater,https://www.datenschutz-berater.de/
37,DSRITB,DSRI Tagungsband Herbstakademie,https://dsri.de/herbstakademie/
38,DStZ,Deutsche Steuer-Zeitung,https://www.stollfuss.de/DeutscheSteuerZeitungDStZ/9770724563006
39,DuD,Datenschutz und Datensicherheit,https://www.springerprofessional.de/datenschutz-und-datensicherheit-dud/7466274
40,DV,Die Verwaltung,https://www.duncker-humblot.de/zeitschrift/die-verwaltung-verw-5/?page_id=1
41,DVBl,Deutsches Verwaltungsblatt,https://shop.wolterskluwer-online.de/rechtsgebiete/verwaltungsrecht/verwaltungsorganisation-verwaltungsverfahren/55849000-dvbl-deutsches-verwaltungsblatt.html
42,DZWir,Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,https://www.degruyter.com/view/j/dwir
43,DÖD,Der Öffentliche Dienst,https://shop.wolterskluwer-online.de/rechtsgebiete/arbeitsrecht/tarifvertrags-mitbestimmungsrecht/55843000-doed-der-oeffentliche-dienst.html
44,DÖV,Die öffentliche Verwaltung,https://beck-online.beck.de/?vpath=bibdata%2fzeits%2fDOEV%2fcont%2fDOEV%2ehtm
45,E-Justice,E-Justice,https://www.deutscheranwaltspiegel.de/e-justice/ 
46,EDPL,European Data Protection Law Review,https://www.lexxion.eu/zeitschriften/edpl
47,EF-Z,Zeitschrift für Familien- und Erbrecht,https://www.beck-shop.de/Zeitschrift-Familien-Erbrecht-ZFE/product/800016?product=800016
48,EFG,Entscheidungen der Finanzgerichte,https://www.stollfuss.de/EntscheidungenderFinanzgerichteEFG/9770421299000
49,EnWZ,Zeitschrift für das gesamte Recht der Energiewirtschaft,https://rsw.beck.de/zeitschriften/enwz
50,ErbR,Zeitschrift für die gesamte erbrechtliche Praxis,https://www.erbrecht-dav.de/fuer-anwaelte/zeitschrift/
51,ERCL,European Review of Contract Law,https://www.juris.de/jportal/nav/produkte/werk/european-review-of-contract-law-(ercl).jsp
52,EuGRZ,Europäische GRUNDRECHTE-Zeitschrift,http://www.eugrz.info/
53,EuR,Europarecht,https://www.europarecht.nomos.de/
54,EurUP,Zeitschrift für Europäisches Umwelt- und Planungsrecht,https://www.lexxion.eu/zeitschriften/eurup/
55,EuZA,Europäische Zeitschrift für Arbeitsrecht,https://rsw.beck.de/zeitschriften/euza
56,EuZW,Europäische Zeitschrift für Wirtschaftsrecht,https://rsw.beck.de/cms/?site=EuZW
57,EWIR,Entscheidungen zum Wirtschaftsrecht,https://www.ewir-online.de/home/
58,EWS,Europäisches Wirtschafts- und Steuerrecht,https://europa.ruw.de/
59,FA,Fachanwalt Arbeitsrecht,https://shop.wolterskluwer-online.de/rechtsgebiete/arbeitsrecht/arbeitsvertragsrecht/04249500-fa-fachanwalt-arbeitsrecht.html
60,FamRZ,Zeitschrift für das gesamte Familienrecht,https://www.famrz.de/
61,FK,Familienrecht Kompakt,https://www.iww.de/fk
62,FMP,Forderungsmanagement professionell,https://www.iww.de/fmp
63,FR,Finanz-Rundschau,https://www.otto-schmidt.de/finanzrundschau-fr-schnupperabo-25674765.html
64,Freilaw,Freilaw,https://www.freilaw.de
65,FuR,Familie und Recht,https://www.wolterskluwer.de/service/anzeigenmediadaten/mediadaten/familie-und-recht/
66,GA,Goltdammer's Archiv für Strafrecht,https://www.juris.de/jportal/nav/produkte/werk/goltdammer's-archiv-f%C3%BCr-strafrecht-(ga).jsp
67,GesR,Gesundheitsrecht,http://www.gesr.de/
68,GmbHR,GmbH-Rundschau,https://www.gmbhr.de/
69,GoJIL,Göttingen Journal of International Law,http://www.gojil.eu/
70,GPR,Zeitschrift für das Privatrecht der Europäischen Union,https://www.otto-schmidt.de/gpr-zeitschrift-fur-das-privatrecht-der-europaischen-union-probeabo-23647205
71,GreifRecht,Greifswalder Halbjahresschrift für Rechtswissenschaft,https://www.greifrecht.de/startseite/
72,GRUR,Gewerblicher Rechtsschutz und Urheberrecht,http://www.grur.org/de/zeitschriften/grur-zeitschriften.html
73,GRUR Int.,GRUR Internationaler Teil,http://www.grur.org/de/zeitschriften/grur-zeitschriften.html
74,GRUR-Prax,GRUR Praxis,http://www.grur.org/de/zeitschriften/grur-zeitschriften.html
75,GRUR-RR,GRUR-Rechtsprechungs-Report,http://www.grur.org/de/zeitschriften/grur-zeitschriften.html
76,gsz,Zeitschrift für das Gesamte Sicherheitsrecht,https://rsw.beck.de/zeitschriften/gsz
77,GuP,Gesundheit und Pflege,https://www.gup.nomos.de/
78,GVRZ,Zeitschrift für das gesamte Verfahrensrecht,https://www.otto-schmidt.de/gvrz
79,GWR,Gesellschafts- und Wirtschaftsrecht,https://rsw.beck.de/zeitschriften/gwr
80,GYIL,German Yearbook of International Law,https://www.duncker-humblot.de/reihe/german-yearbook-of-international-law-jahrbuch-fuer-internationales-recht-gyil-64/?page_id=1
81,HFR,Humboldt Forum Recht,https://www.rewi.hu-berlin.de/de/lf/oe/hfr
82,HJIL,Heidelberg Journal of International Law,https://www.zaoerv.de/
83,HRN,Hamburger Rechtsnotizen,http://hamburger-rechtsnotizen.de
84,HRRS,Höchstrichterliche Rechtsprechung zum Strafrecht,https://www.hrr-strafrecht.de/hrr/
85,I+E,Zeitschrift für Immissionsschutzrecht und Emissionshandel,https://ie.lexxion.eu/
86,IHR,Internationales Handelsrecht,https://www.otto-schmidt.de/internationales-handelsrecht-ihr-probeabo-16175395
87,InfAuslR,Informationsbrief Ausländerrecht,https://www.wolterskluwer.de/service/anzeigenmediadaten/mediadaten/informationsbrief-auslaenderrecht/
88,info also,Informationen zum Arbeitslosenrecht und Sozialhilferecht,https://www.info-also.nomos.de/
