journal,abbreviation,issn,doi-coverage
Agrar- und Umweltrecht,AUR,"0340-840X,2192-7162",
AbfallR - Zeitschrift für das Recht der Abfallwirtschaft,AbfallR,1610-9376,
Ad Legendum,AL,1614-614X,
Aktuelle juristische Praxis,AJP,1660-3362,
Aktuelles Steuerrecht,AktStR,0948-1850,
Anwalt / Anwältin im Sozialrecht,ASR,"1438-3365,1613-0774",
"Anwalt, Anwältin im Sozialrecht",ASR,1438-3365,
Anwaltsblatt,AnwBl,"2700-4627,0171-7227",
Anwaltsgebühren spezial,AGS,0942-590X,
Anwaltsnachrichten Ausländer- und Asylrecht,ANA-ZAR,"0171-7227,2700-4627",
apf - Ausbildung-Prüfung-Fortbildung,apf,"1867-7002,1612-3980",
Apotheke & Recht,APR,1434-7970,
Arbeit und Arbeitsrecht,AuA,0323-4568,
Arbeit und Recht,AuR,"0003-7648,2942-0598",
Arbeitsrecht Aktuell,ArbR,1868-9094,
Arbeitsrecht im Betrieb,AiB,0174-1225,
Arbeitsrechtliche Praxis,AP,1436-5510,
Archiv des öffentlichen Rechts,AöR,"0003-8911,1868-6796","{""0003-8911"": ""2003-2023"", ""1868-6796"": null}"
Archiv des Völkerrechts,AVR,"0003-892X,1868-7121","{""0003-892X"": ""2002-2023"", ""1868-7121"": null}"
Archiv für civilistische Praxis,AcP,"0003-8997,1868-7113","{""0003-8997"": ""2003-2023"", ""1868-7113"": null}"
Archiv für die civilistische Praxis,AcP,"0003-8997,1868-7113","{""0003-8997"": ""2003-2023"", ""1868-7113"": null}"
Archiv für katholisches Kirchenrecht,AfkKR,"2589-045X,0003-9160","{""2589-045X"": null, ""0003-9160"": ""1913-1913, 1915-1942, 1948-1948, 1950-1951, 1954-1955, 1957-1957, 1960-1998, 2000-2016, 2019-2023""}"
Archiv für Kriminologie,ArchKrim,0003-9225,
Archiv für Medienrecht und Medienwissenschaft,UFITA," 2568-9185, 2942-3511","{"" 2568-9185"": ""2016-2016, 2018-2022"", "" 2942-3511"": null}"
Archiv für Presserecht,AfP,0931-3281,
Archiv für Rechts- und Sozialphilosophie,ARSP,"0001-2343,2363-5614","{""0001-2343"": ""2005-2023"", ""2363-5614"": null}"
Archiv für Sozialgeschichte,AfS,0066-6505,
Archiv für Urheber- und Medienrecht,UFITA,"0003-9454,1424-4276",
"Archiv für Urheber-, Film-, Funk- und Theaterrecht",UFITA,"0003-9454,1424-4276",
Arzneimittel & Recht,A&R,1860-5338,
ArztRecht,ArztR,"0340-5524,0343-5733",
Arztrecht,ArztR,"0340-5524,0343-5733",
ASDA-Bulletin : Schweizer Fachzeitschrift für Luft- und Weltraumrecht,ASDA-Bulletin,0487-8213,
Aufsichtsrat,Aufsichtsrat,0720-8162,
Aus Politik und Zeitgeschichte,APuZ,"0479-611X,2194-3621",
Ausländer- und Asylrecht Schnelldienst,AuAS,0942-4571,
Außenwirtschaftliche Praxis,AW-Prax,0947-3017,
Austrian review of international and European law,ARIEL,"1385-1306,1573-6512","1996-2000, 2002-2007, 2009-2011, 2013-2022, 2024-2024"
AWR-Bulletin : Vierteljahresschrift für Flüchtlingsfragen,AWR-Bulletin,0001-2947,
Bank-Archiv,BankArch,1015-1516,2016-2023
Basler juristische Mitteilungen,BJM,0522-456X,
Baurecht,BauR,"0340-7489,1017-0588",
Bayerische Verwaltungsblätter,BayVBl,0522-5337,
Behindertenrecht,"Br, br",0341-3888,
Berliner Anwaltsblatt,BerlAnwBl,"0930-3065,2510-5116","{""0930-3065"": null, ""2510-5116"": ""2017-2023""}"
Betreuungsrechtliche Praxis,BtPrax,0942-2390,
Betriebliche Altersversorgung,BetrAV,0005-9951,
Betriebsberater,BB,0340-7918,
Betriebs-Berater,BB,"0340-7918,0947-0581",
Betriebs-Berater / Außenwirtschaftsdienst,AWD,0004-8232,
Betriebsrat und Recht,BRuR,2750-2783,
Betrifft: Justiz,Betrifft Justiz,0179-2776,
Bewährungshilfe,BewHi,0405-6779,
Bewertungs-Praktiker Fachinformationen zu Bewertungsfragen,BewertungsPraktiker,1867-3546,
BFH/NV Sammlung der Entscheidungen des Bundesfinanzhofs,BFH/NV,0179-0498,
"Blatt für Patentwesen, Muster- u. Zeichenwesen",BlPMZ,0930-2980,
Blätter für deutsche und internationale Politik,Blätter,0006-4416,
Blutalkohol,Blutalkohol,0006-5250,
BRAK-Mitteilungen,"BRAK-Mitt, BRAK-Mitt.",0722-6934,
Bucerius Law Journal,BLJ,2567-4439,
Bundesbaublatt,BBB,0007-5884,
Bundesgesundheitsblatt – Gesundheitsforschung – Gesundheitsschutz,Bundesgesundheitsbl,"1436-9990,1437-1588",1999-2023
Carbon & Climate Law Review,CCLR,"1864-9904,2190-8230","2007-2014, 2016-2023"
Causa Sport,"CSR, Causa Sport",1660-8399,2023-2023
Compliance Berater,CB,"2748-8705,0170-9291",
Computer Law Review International,CRi,2194-4164,2005-2023
Computer Law Review International ,CRi,2194-4164,2005-2023
Computer und Arbeit,CuA,1863-8511,
Computer und Recht,CR,"2194-4172, 0179-1990",2005-2023
Contracting und Recht,CuR,1613-950X,
Corporate Compliance Zeitschrift,CCZ  [online],1865-3952,
Corporate Finance law,CFL,1869-7976,
Corporate-Compliance-Zeitschrift,CCZ,1865-3952,
COVID-19 und Recht,COVuR,2700-3051,
DAJV-Newsletter,DAJV-Newsletter,1862-1821,
Das Grundeigentum,Grundeigentum,0017-4882,
Das Hauseigentum,Hauseigentum,1435-5361,
Das Jugendamt,JAmt,1867-6723,
Das Juristische Büro,JurBüro,"2366-1941,0931-6000",2015-2018
Das juristische Büro,"JurBüro, JB","2366-1941,0931-6000",2015-2018
Das Recht im Amt,RiA,0034-1339,
Das Standesamt,StAZ,0341-3977,
Datenschutz Nachrichten,DANA,0173-7767,
Datenschutz und Datensicherheit,DuD,1614-0702,2006-2023
Datenschutz-Berater,DSB,0170-7256,
Datenschutz-Nachrichten,DANA,0173-7767,
Der AO-Steuer-Berater,"AOStB, AO-StB",1617-2272,
Der Arbeitsrechtsberater,ArbRB,2366-102X,
Der Arbeits-Rechts-Berater,ArbRB,2366-102X,
Der Arzt und sein Recht,AusR,0935-5553,
Der Aufsichtsrat,AR,1613-1282,
Der Bausachverständige,Bausachverständige,1614-6123,
Der Betrieb,DB,0005-9935,
Der Deutsche Rechtspfleger,Rpfleger,0341-678X,
Der Erbschafts-Steuer-Berater,ErbStB,1610-4072,
Der Erbschaft-Steuerberater,ErbStB,1610-4072,
Der Ertrags-Steuer-Berater,ErtrStB,1437-9112,
Der Ertrag-Steuer-Berater,EStB,1437-9112,
Der Familien-Rechtsberater,FamRB,1618-8349,
Der Familien-Rechts-Berater,FamRB,"2366-1054,1618-8349",
der gemeindehaushalt,gemeindehaushalt,0340-3645,
Der Gesellschafter,GesRZ,0250-6440,
Der GmbH-Steuer-Berater,"GmbHStB, GmbH-StB",1432-6973,
Der IP-Rechts-Berater,IPRB,"1869-5639,2366-1178",
Der IT-Rechts-Berater,ITRB,"1617-1802,1617-1527",
Der Konzern,"Konzern, DK",1611-2296,
Der Kriminalist,Kriminalist,0722-3501,
Der Landkreis,Landkreis,0342-2259,
Der medizinische Sachverständige,MedSach,0025-8490,
Der Miet-Rechts-Berater,MietRB,"1612-040X,2366-1151",
Der Öffentliche Dienst,DÖD,0029-8565,
Der öffentliche Dienst,DöD,0029-8565,
Der Personalrat,Personalrat,"0175-9299,0721-6963",
Der Sachverständige,"DS, Sachverständige","0948-9908,2940-2093",
Der Staat,"STAAT, Staat, DS","1865-5203,0038-884X",2008-2023
Der Steuerberater,StB,0049-223X,
Der Umsatz-Steuer-Berater,"UStB, UstB",1439-6777,
Der Verkehrsanwalt,VerkA,"1866-993X,1438-3373",
Der Verkehrsjurist,Verkehrsjurist,1613-1096,
Der Wohnungseigentümer,DWE,0344-8738,
Deutsche Gerichtsvollzieher Zeitung,DGVZ,1861-6593,
Deutsche Gerichtsvollzieher-Zeitung,DGVZ,1861-6593,
Deutsche Juristen-Zeitung,DJZ,1866-1696,
Deutsche Lebensmittelrundschau,DLR,0012-0413,
Deutsche Notar-Zeitschrift,DNotZ,0340-8604,
Deutsche Polizei,Deutsche Polizei,0949-2844,
Deutsche Rentenversicherung,DRV,0012-0618,
Deutsche Richterzeitung,DRiZ,0340-8612,
Deutsche Steuer-Zeitung,DStZ,"2195-8971,0724-5637",
Deutsche Verwaltungspraxis,DVP,"0945-1196,0343-9496",
Deutsche Wohnungswirtschaft,DWW,0724-6617,
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,"DZWIR, DZWir","1612-7056,1439-1589",1991-2023
Deutsches Autorecht,DAR,"0341-129X,0012-1231",
Deutsches Steuerrecht,DStR,"0012-1347,0949-7676",
Deutsches Verwaltungsblatt,"DVBl, DVBl.","0012-1363,2366-0651",2015-2018
Deutsch-Polnische Juristen-Zeitschrift,DPJZ,1615-9063,
Deutsch-polnische Juristen-Zeitschrift,DPJZ,1615-9063,
Die Aktiengesellschaft,AG,"0002-3752,2366-097X",2017-2023
Die Bank,Bank,0342-3182,
Die Berufsgenossenschaft,BG,"0340-9481,1866-0215",
Die Betriebskrankenkasse,BKK,"0342-0817,1433-9099",
Die Gemeinde [Schleswig-Holstein],Gemeinde [SH],0340-3653,
Die Mitarbeitervertretung,ZMV,"2363-7595,0939-8198",
Die Öffentliche Verwaltung,DÖV,0029-859X,
Die öffentliche Verwaltung,DÖV,0029-859X,
Die Personalvertretung,PersV,"0476-3475,1868-7857","{""0476-3475"": null, ""1868-7857"": ""2004-2023""}"
Die Polizei,Polizei,0032-3519,
Die Sozialgerichtsbarkeit,SGb,"0943-1462,1864-8029","{""0943-1462"": null, ""1864-8029"": ""2006-2023""}"
Die Steuerberatung,Stbg,0490-9658,
Die steuerliche Betriebsprüfung,StBp,0340-9503,
Die Steuer-Warte,StW,0178-2096,
Die Unternehmensbesteuerung,Ubg,"2568-3071,1865-7222",2008-2023
Die Verwaltung,"VERW, Verwaltung, DV","0042-4498,1865-5211",2008-2023
Die Wirtschaftsprüfung,WPg,"1863-9658,0340-9031",
Diversity in Recht & Wirtschaft,DivRuW,"2940-8210,2940-8229",
DNotI-Report,DNotI-Report,1434-3460,
Energierecht. Zeitschrift für die gesamte Energierechtspraxis,ER,"2194-5829,2194-5837","{""2194-5829"": null, ""2194-5837"": ""2012-2023""}"
Energiewirtschaftliche Tagesfragen,et,"0720-6240,0013-743X",
Entscheidungen der Finanzgerichte,EFG,"0421-2991,2195-8955",
Entscheidungen des Bundesfinanzhofs,BFHE,0342-197X,
Entscheidungen des Bundesgerichtshofes in Zivilsachen,BGHZ,0435-7124,
Entscheidungen des Bundesverfassungsgerichts,BVerfGE,"1611-2962,0433-7646",
Entscheidungen des Reichsgerichts in Strafsachen,RGSt,0863-5005,
Entscheidungen zum Wirtschaftsrecht,"EWiR, EWIR",0177-9303,
Europäische Grundrechte-Zeitschrift,EuGRZ,"0341-9800,2750-2767",
Europäische GRUNDRECHTE-Zeitschrift,EuGRZ,"0341-9800,2750-2767",
Europäische Zeitschrift für Arbeitsrecht,EuZA,1865-3030,
Europäische Zeitschrift für Wirtschaftsrecht,EuZW,0937-7204,
Europäisches Wirtschafts- und Steuerrecht,EWS,0938-3050,
Europarecht,EuR,"2942-3198, 0531-2485","{""2942-3198"": null, "" 0531-2485"": ""2004-2023""}"
European company and financial law review,ECFR,"1613-2548,1613-2556",2004-2023
European Criminal Law Review,ECLR,"2191-7442, 2193-5505",2011-2023
European Data Protection Law Review,EDPL,"2364-2831,2364-284X",2015-2023
European Law Reporter,ELR,1028-9690,
European Review of Contract Law,ERCL,"1614-9920,1614-9939",2005-2023
EU-Umsatz Steuer-Berater,EU-UStB,1862-9210,
EU-Umsatz-Steuer-Berater,EUUStB,1862-9210,
Fachanwalt Arbeitsrecht,FA,"1434-4602,2366-066X",2015-2018
Familie und Recht,FuR,"2366-2018,0937-2180",2015-2018
"Familie, Partnerschaft, Recht",FPR,0947-2045,
Familienrecht kompakt,"FamRK, FamR kompakt",1617-8173,
Familienrecht Kompakt,FK,1617-8173,
Familienrecht und Familienverfahrensrecht,FamFR,1869-0688,
FinanzArchiv,FA,"1614-0974, 0015-2218","{""1614-0974"": null, "" 0015-2218"": ""2000-2023""}"
"Finanzierung, Leasing, Factoring",FLF,0174-3163,
Finanz-Rundschau,FR,0015-2196,
Finanz-Rundschau Ertragssteuerrecht,"FR, FR-Ertragssteuerrecht","1438-3292,2194-4156","{""1438-3292"": null, ""2194-4156"": ""2005-2018""}"
Forderung & Vollstreckung,FoVo,1866-0584,
Forderungsmanagement professionell,FMP,1864-9769,
Forderungs-Praktiker,Forderungs-Praktiker,1869-6295,
Forum Familienrecht,FF,1433-8696,
Forum Kriminalprävention,Forum Kriminalpräv.,1618-4912,
Forum Recht,FoR,0930-6420,
Forum Strafvollzug,FS,1865-1534 ,
Frankfurter Allgemeine Zeitung,FAZ,0174-4909,
Freilaw,Freilaw,1865-0015,
German law journal,GLJ,2071-8322,2000-2023
German yearbook of international law,GYIL,"2195-7304,0344-3094","1975-2004, 2011-2019, 2021-2022"
Geschichte und Gesellschaft,Geschichte und Gesellschaft,"0340-613X,2196-9000","{""0340-613X"": null, ""2196-9000"": ""2007-2022""}"
Gesellschafts- und Wirtschaftsrecht,GWR,1868-1816,
Gesundheit und Pflege,GuP,2191-3595,
Gesundheits- und Sozialpolitik,GuS,"1611-5821,2942-3201","{""1611-5821"": ""2006-2023"", ""2942-3201"": null}"
GesundheitsRecht,GesR,"2194-4229,1610-1197",2005-2023
Gesundheitsrecht,GesR,"2194-4229,1610-1197",2005-2023
Gewerbearchiv,GewArch,0016-9404,
Gewerblicher Rechtsschutz und Urheberrecht,GRUR,0016-9420,
Gewerblicher Rechtsschutz und Urheberrecht - International,GRUR-Int,0435-8600,
"Gewerblicher Rechtsschutz und Urheberrecht, Praxis im Immaterial- und Wettbewerbsrecht",GRUR-Prax,1869-3849,
Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil,GRUR Int,0435-8600,
Gewerblicher Rechtsschutz und Urheberrecht. Praxis im Immaterialgüter- und Wettbewerbsrecht,GRUR-Prax,1869-3849,
Gewerblicher Rechtsschutz und Urheberrecht. Rechtsprechungs-Report,GRUR-RR,1616-2277,
GmbH-Rundschau,GmbHR,1438-468X,
GmbH-Steuerpraxis,GmbH-Steuerpraxis,0932-2345,
