journal,abbreviation,issn,alternative_title
Agrar- und Umweltrecht,AUR,"0340-840X,2192-7162",
Aktuelles Steuerrecht,AktStR,0948-1850,
Anwalt / Anwältin im Sozialrecht,ASR,"1438-3365,1613-0774","Anwalt, Anwältin im Sozialrecht"
Anwaltsblatt,AnwBl,"2700-4627,0171-7227",
Anwaltsnachrichten Ausländer- und Asylrecht,ANA-ZAR,,
Arbeit und Recht,AuR,"0003-7648,2942-0598",
Arbeitsrecht Aktuell,ArbR,"2366-102X,1860-1553,1868-9094,1865-2719,2569-3840,2509-9973,1865-8814",Arbeitsrecht aktuell
Arbeitsrecht im Betrieb,AiB,0174-1225,
Archiv des öffentlichen Rechts,AöR,"0003-8911,1868-6796",
Archiv des Völkerrechts,AVR,"0003-892X,1868-7121",
Archiv für die civilistische Praxis,AcP,"0003-8997,1868-7113",
Archiv für katholisches Kirchenrecht,AfkKR,"2589-045X,0003-9160",
Archiv für Presserecht,AfP,0931-3281,
Archiv für Rechts- und Sozialphilosophie,ARSP,"0001-2343,2363-5614",
Archiv für Urheber- und Medienrecht,,"0003-9454,1424-4276",
Archiv für Medienrecht und Medienwissenschaft,UFITA,"0003-9454,0582-0804,1424-4276",Schriftenreihe des Archivs für Urheber- und Medienrecht
Arzneimittel & Recht,A&R,1860-5338,
ArztRecht,ArztR,"0340-5524,0343-5733",Arztrecht
Außenwirtschaftliche Praxis,AW-Prax,0947-3017,
Baurecht,BauR,"0340-7489,1017-0588",
Bayerische Verwaltungsblätter,BayVBl,0522-5337,
Behindertenrecht,"Br, br",0341-3888,
Betreuungsrechtliche Praxis,BtPrax,0942-2390,
Betriebs-Berater,BB,"0340-7918,0947-0581",
BRAK-Mitteilungen,"BRAK-Mitt, BRAK-Mitt.",0722-6934,
Carbon & Climate Law Review,CCLR,,
Causa Sport,"CSR, Causa Sport",1660-8399,
Computer und Recht,CR,"2194-4172,1431-8180,0179-1990",
Corporate Compliance Zeitschrift,CCZ  [online],1865-3952,Corporate-Compliance-Zeitschrift
Das Jugendamt,JAmt,1867-6723,
Das Juristische Büro,JurBüro,"2366-1941,0931-6000",Das juristische Büro
Das Standesamt,StAZ,0341-3977,
Datenschutz und Datensicherheit,DuD,1614-0702,
Datenschutz-Berater,DSB,0170-7256,
Der AO-Steuer-Berater,"AOStB, AO-StB",1617-2272,Der AO-Steuerberater
Der Arbeits-Rechts-Berater,ArbRB,2366-102X,
Der Betrieb,DB,0005-9935,
Der Deutsche Rechtspfleger,Rpfleger,0341-678X,Der deutsche Rechtspfleger
Der Erbschafts-Steuer-Berater,ErbStB,1610-4072,Der Erbschaft-Steuerberater
Der Ertrags-Steuer-Berater,ErtrStB,,
Der Familien-Rechts-Berater,FamRB,"2366-1054,1618-8349",Familien-Rechtsberater
Der GmbH-Steuer-Berater,"GmbHStB, GmbH-StB",,
Der IP-Rechts-Berater,IPRB,"1869-5639,2366-1178",
Der IT-Rechts-Berater,ITRB,"1617-1802,1617-1527",Der IT-Rechtsberater
Der Miet-Rechts-Berater,MietRB,"1612-040X,2366-1151",
Der Öffentliche Dienst,DÖD,0029-8565,
Der Sachverständige,"DS, Sachverständige","0948-9908,2940-2093,0341-2016",Die Sachverständigen
Der Staat,"STAAT, Staat, DS","1865-5203,0038-884X",
Der Umsatz-Steuer-Berater,"UStB, UstB",,
Deutsch-Polnische Juristen-Zeitschrift,DPJZ,1615-9063,Deutsch-polnische Juristen-Zeitschrift
Deutsche Gerichtsvollzieher Zeitung,DGVZ,1861-6593,Deutsche Gerichtsvollzieher-Zeitung
Deutsche Notar-Zeitschrift,DNotZ,0340-8604,
Deutsche Richterzeitung,DRiZ,0340-8612,
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,"DZWIR, DZWir","1612-7056,1439-1589",
Deutsches Autorecht,DAR,"0341-129X,0012-1231",
Deutsches Steuerrecht,DStR,"0012-1347,0949-7676",
Deutsches Verwaltungsblatt,"DVBl, DVBl.","0012-1363,2366-0651",
Die Aktiengesellschaft,AG,"0724-9675,1610-5923,0943-7525,1439-9237,1862-6947,0935-0608,0133-8250,0934-0297,2627-7565,0942-590X,1864-7758,2198-6347,1614-7626,0938-2143,1618-0127,1618-7784,0340-3149,0935-8463,0433-7050,2749-9693,0936-9082",Entscheidungssammlung zum AGB-Gesetz
Die Öffentliche Verwaltung,DÖV,0029-859X,Die öffentliche Verwaltung
Die Personalvertretung,PersV,"0476-3475,1866-0185,1868-7857",
Die Sozialgerichtsbarkeit,SGb,"0943-1462,1864-8029",
Die Unternehmensbesteuerung,Ubg,"2568-3071,1865-7222",
Die Verwaltung,"VERW, Verwaltung, DV","0042-4498,1865-5211",
Entscheidungen zum Wirtschaftsrecht,"EWiR, EWIR",0177-9303,
EU-Umsatz-Steuer-Berater,EUUStB,,
Europäische Grundrechte-Zeitschrift,EuGRZ,"0341-9800,2750-2767",
Europäische Zeitschrift für Arbeitsrecht,EuZA,1865-3030,
Europäische Zeitschrift für Wirtschaftsrecht,EuZW,0937-7204,
Europäisches Wirtschafts- und Steuerrecht,EWS,0938-3050,
Europarecht,EuR,"2942-3198,1436-8919,0531-2485",
Fachanwalt Arbeitsrecht,FA,"1434-4602,2366-066X",
Familie und Recht,FuR,"2366-2018,0937-2180",
Familienrecht kompakt,"FamRK, FamR kompakt",1617-8173,
Familienrecht und Familienverfahrensrecht,FamFR,1869-0688,
Finanz-Rundschau Ertragssteuerrecht,"FR, FR-Ertragssteuerrecht",,
Forum Familienrecht,FF,1433-8696,
Gesellschafts- und Wirtschaftsrecht,GWR,1868-1816,
Gesundheit und Pflege,GuP,2191-3595,
GesundheitsRecht,GesR,"2194-4229,1610-1197,1869-1331,1866-7600,0250-6440",Gesundheitsrecht
Gewerbearchiv,GewArch,0016-9404,
Gewerblicher Rechtsschutz und Urheberrecht,GRUR,"0016-9420,1618-9574,1618-9582",
Gewerblicher Rechtsschutz und Urheberrecht - International,GRUR-Int,,
"Gewerblicher Rechtsschutz und Urheberrecht, Praxis im Immaterial- und Wettbewerbsrecht",GRUR-Prax,1869-3849,Gewerblicher Rechtsschutz und Urheberrecht in der Praxis
GmbH-Rundschau,GmbHR,1438-468X,
Goltdammer's Archiv für Strafrecht,"GA, GoltdA",0017-1956,
Humboldt Forum Recht,HFR,"1862-7617,0018-3059,0175-5293","Höchstrichterliche Finanzrechtsprechung des Bundesfinanzhofs, Bundesverfassungsgerichts, anderer oberster Gerichtshöfe des Bundes, des Gerichtshofs der Europäischen Union"
Informationen zum Arbeitslosenrecht und Sozialhilferecht,info also,"0179-8863,1862-0469",
Informationsbrief Ausländerrecht,"InfAuslR, IAR","0174-2108,2366-195X",
InfrastrukturRecht,IR,1612-7803,
Internationales Handelsrecht,IHR,"1617-5395,2193-9527",
Internationales Steuerrecht,"IStR, iStR",0942-6744,
Jahrbuch für Ostrecht,JOR,0075-2746,
Jahrbuch für Recht und Ethik,JRE,"2628-9121,0944-4610",
"Journal für Kunstrecht, Urheberrecht und Kulturpolitik",KUR,"2363-9199,1864-5690,1437-2355,2199-5052",Kunstrecht und Urheberrecht
Journal für Rechtspolitik,JRP,"1613-754X,0943-4011",
