journal,abbreviation
Agrar- und Umweltrecht,AUR
Aktuelles Steuerrecht,AktStR
Anwalt / Anwältin im Sozialrecht,ASR
Anwaltsblatt,AnwBl
Anwaltsnachrichten Ausländer- und Asylrecht,ANA-ZAR
Arbeit und Recht,AuR
Arbeitsrecht Aktuell,ArbR
Arbeitsrecht im Betrieb,AiB
Archiv des öffentlichen Rechts,AöR
Archiv des Völkerrechts,AVR
Archiv für die civilistische Praxis,AcP
Archiv für katholisches Kirchenrecht,AfkKR
Archiv für Presserecht,AfP
Archiv für Rechts- und Sozialphilosophie,ARSP
Archiv für Urheber- und Medienrecht,
Archiv für Medienrecht und Medienwissenschaft,UFITA
Arzneimittel & Recht,A&R
ArztRecht,ArztR
Außenwirtschaftliche Praxis,AW-Prax
Baurecht,BauR
Bayerische Verwaltungsblätter,BayVBl
Behindertenrecht,"Br, br"
Betreuungsrechtliche Praxis,BtPrax
Betriebs-Berater,BB
BRAK-Mitteilungen,"BRAK-Mitt, BRAK-Mitt."
Carbon & Climate Law Review,CCLR
Causa Sport,"CSR, Causa Sport"
Computer und Recht,CR
Corporate Compliance Zeitschrift,CCZ  [online]
Das Jugendamt,JAmt
Das Juristische Büro,JurBüro
Das Standesamt,StAZ
Datenschutz und Datensicherheit,DuD
Datenschutz-Berater,DSB
Der AO-Steuer-Berater,"AOStB, AO-StB"
Der Arbeits-Rechts-Berater,ArbRB
Der Betrieb,DB
Der Deutsche Rechtspfleger,Rpfleger
Der Erbschafts-Steuer-Berater,ErbStB
Der Ertrags-Steuer-Berater,ErtrStB
Der Familien-Rechts-Berater,FamRB
Der GmbH-Steuer-Berater,"GmbHStB, GmbH-StB"
Der IP-Rechts-Berater,IPRB
Der IT-Rechts-Berater,ITRB
Der Miet-Rechts-Berater,MietRB
Der Öffentliche Dienst,DÖD
Der Sachverständige,"DS, Sachverständige"
Der Staat,"STAAT, Staat, DS"
Der Umsatz-Steuer-Berater,"UStB, UstB"
Deutsch-Polnische Juristen-Zeitschrift,DPJZ
Deutsche Gerichtsvollzieher Zeitung,DGVZ
Deutsche Notar-Zeitschrift,DNotZ
Deutsche Richterzeitung,DRiZ
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,"DZWIR, DZWir"
Deutsches Autorecht,DAR
Deutsches Steuerrecht,DStR
Deutsches Verwaltungsblatt,"DVBl, DVBl."
Die Aktiengesellschaft,AG
Die Öffentliche Verwaltung,DÖV
Die Personalvertretung,PersV
Die Sozialgerichtsbarkeit,SGb
Die Unternehmensbesteuerung,Ubg
Die Verwaltung,"VERW, Verwaltung, DV"
Entscheidungen zum Wirtschaftsrecht,"EWiR, EWIR"
EU-Umsatz-Steuer-Berater,EUUStB
Europäische Grundrechte-Zeitschrift,EuGRZ
Europäische Zeitschrift für Arbeitsrecht,EuZA
Europäische Zeitschrift für Wirtschaftsrecht,EuZW
Europäisches Wirtschafts- und Steuerrecht,EWS
Europarecht,EuR
Fachanwalt Arbeitsrecht,FA
Familie und Recht,FuR
Familienrecht kompakt,"FamRK, FamR kompakt"
