,abbreviation,title
5,AbfallR,AbfallR - Zeitschrift für das Recht der Abfallwirtschaft
6,AcP,Archiv für die civilistische Praxis
7,AfkKR,Archiv für katholisches Kirchenrecht
8,AfP,Archiv für Presserecht
9,AfS,Archiv für Sozialgeschichte
10,AG,Die Aktiengesellschaft
11,AGS,Anwaltsgebühren spezial
12,AiB,Arbeitsrecht im Betrieb
13,AJP,Aktuelle juristische Praxis
14,AktStR,Aktuelles Steuerrecht
15,AL,Ad Legendum
16,AnwBl,Anwaltsblatt
17,AnwBl,Österreichisches Anwaltsblatt
18,AöR,Archiv des öffentlichen Rechts
19,AO-StB,Der AO-Steuer-Berater
20,APBB-Mitt.,Mitteilungen der APBB
21,apf,apf - Ausbildung-Prüfung-Fortbildung
22,APR,Apotheke & Recht
23,APuZ,Aus Politik und Zeitgeschichte
24,ArbRB,Der Arbeits-Rechts-Berater
25,ArchKrim,Archiv für Kriminologie
26,ARIEL,Austrian review of international and European law
27,ARSP,Archiv für Rechts- und Sozialphilosophie
28,ArztR,Arztrecht
29,ASDA-Bulletin,ASDA-Bulletin : Schweizer Fachzeitschrift für Luft- und Weltraumrecht
30,ASR,"Anwalt, Anwältin im Sozialrecht"
31,AuA,Arbeit und Arbeitsrecht
32,AuAS,Ausländer- und Asylrecht Schnelldienst
33,Aufsichtsrat,Aufsichtsrat
34,AUR,Agrar- und Umweltrecht
35,AuR,Arbeit und Recht
36,AusR,Der Arzt und sein Recht
37,AVR,Archiv des Völkerrechts
38,AWD,Betriebs-Berater / Außenwirtschaftsdienst
39,AW-Prax,Außenwirtschaftliche Praxis
40,AWR-Bulletin,AWR-Bulletin : Vierteljahresschrift für Flüchtlingsfragen
41,Bank,Die Bank
42,BankArch,Bank-Archiv
43,BauR,Baurecht
44,Bausachverständige,Der Bausachverständige
45,BayGT,Bayerischer Gemeindetag
46,BayVBl,Bayerische Verwaltungsblätter
47,BB,Betriebs-Berater
48,BBB,Bundesbaublatt
49,BerlAnwBl,Berliner Anwaltsblatt
50,BetrAV,Betriebliche Altersversorgung
51,Betrifft Justiz,Betrifft: Justiz
52,BewertungsPraktiker,Bewertungs-Praktiker Fachinformationen zu Bewertungsfragen
53,BewHi,Bewährungshilfe
54,BFH/NV,BFH/NV Sammlung der Entscheidungen des Bundesfinanzhofs
55,BG,Die Berufsgenossenschaft
56,BJM,Basler juristische Mitteilungen
57,BKK,Die Betriebskrankenkasse
58,BKR,Zeitschrift für Bank- und Kapitalmarktrecht
59,Blätter,Blätter für deutsche und internationale Politik
60,BLJ,Bucerius Law Journal
61,BlPMZ,"Blatt für Patentwesen, Muster- u. Zeichenwesen"
62,Blutalkohol,Blutalkohol
63,BPUVZ,Zeitschrift für betriebliche Prävention und Unfallversicherung
64,br,Behindertenrecht
65,BRAK-Mitt.,BRAK-Mitteilungen
66,BtPrax,Betreuungsrechtliche Praxis
67,Bundesgesundheitsbl,Bundesgesundheitsblatt – Gesundheitsforschung – Gesundheitsschutz
68,BWNotZ,Zeitschrift für das Notariat in Baden-Württemberg
69,Causa Sport,Causa Sport
70,CCZ,Corporate-Compliance-Zeitschrift
71,CFL,Corporate Finance law
72,CR,Computer und Recht
73,CRi,Computer Law Review International
74,CuR,Contracting und Recht
75,DAJV-Newsletter,DAJV-Newsletter
76,DANA,Datenschutz-Nachrichten
77,DAR,Deutsches Autorecht
78,DB,Der Betrieb
79,Deutsche Polizei,Deutsche Polizei
80,DGVZ,Deutsche Gerichtsvollzieher-Zeitung
81,djbZ,Zeitschrift des Deutschen Juristinnenbundes
82,DLR,Deutsche Lebensmittelrundschau
83,DNotI-Report,DNotI-Report
84,DNotZ,Deutsche Notar-Zeitschrift
85,DöD,Der öffentliche Dienst
86,DÖV,Die öffentliche Verwaltung
87,DPJZ,Deutsch-polnische Juristen-Zeitschrift
88,DRiZ,Deutsche Richterzeitung
89,DRV,Deutsche Rentenversicherung
90,DSB,Datenschutz-Berater
91,DStR,Deutsches Steuerrecht
92,DStZ,Deutsche Steuer-Zeitung
93,Dtsch Ärztebl,Deutsches Ärzteblatt
94,DuD,Datenschutz und Datensicherheit
95,DVBl.,Deutsches Verwaltungsblatt
96,DVP,Deutsche Verwaltungspraxis
97,DWE,Der Wohnungseigentümer
98,DWW,Deutsche Wohnungswirtschaft
99,DZWIR,Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht
100,ECFR,European company and financial law review
101,ECLR,European Criminal Law Review
102,EFG,Entscheidungen der Finanzgerichte
103,ELR,European Law Reporter
104,EnWZ,Zeitschrift für das gesamte Recht der Energiewirtschaft
105,epd medien,Evangelischer Pressedienst Medien
106,ER,Energierecht. Zeitschrift für die gesamte Energierechtspraxis
107,ErbR,Zeitschrift für die gesamte erbrechtliche Praxis
108,ErbStB,Der Erbschaft-Steuerberater
109,EStB,Der Ertrag-Steuer-Berater
110,et,Energiewirtschaftliche Tagesfragen
111,EuConst,European constitutional law review
112,EuGRZ,Europäische Grundrechte-Zeitschrift
113,EuR,Europarecht
114,Europ. yearb. on human rights,European yearbook on human rights
115,European public law,European public law
116,EurUP,Zeitschrift für Europäisches Umwelt- und Planungsrecht
117,EU-UStB,EU-Umsatz Steuer-Berater
118,EuZ,Zeitschrift für Europarecht
119,EuZA,Europäische Zeitschrift für Arbeitsrecht
120,EuZW,Europäische Zeitschrift für Wirtschaftsrecht
121,EWeRK,Zeitschrift des Instituts für Energie- und Wettbewerbsrecht in der Kommunalen Wirtschaft e.V.
122,EWiR,Entscheidungen zum Wirtschaftsrecht
123,EWS,Europäisches Wirtschafts- und Steuerrecht
124,FA,Fachanwalt Arbeitsrecht
125,FA,FinanzArchiv
126,FamFR,Familienrecht und Familienverfahrensrecht
127,FamR kompakt,Familienrecht kompakt
128,FamRB,Der Familien-Rechtsberater
129,FamRB international,FamRB international
130,FamRZ,Zeitschrift für das gesamte Familienrecht
131,FAZ,Frankfurter Allgemeine Zeitung
132,FF,Forum Familienrecht
133,FGPrax,Praxis der Freiwilligen Gerichtsbarkeit
134,FLF,"Finanzierung, Leasing, Factoring"
135,FoR,Forum Recht
136,Forderungs-Praktiker,Forderungs-Praktiker
137,Forum Kriminalpräv.,Forum Kriminalprävention
138,Forum Strafvollzug,Zeitschrift für Strafvollzug u. Straffälligenhilfe
139,FoVo,Forderung & Vollstreckung
140,FPR,"Familie, Partnerschaft, Recht"
141,FR-Ertragssteuerrecht,Finanz-Rundschau Ertragssteuerrecht
142,FS,Forum Strafvollzug
143,FuR,Familie und Recht
144,Gemeinde [BW],Die Gemeinde [Baden-Württemberg]
145,Gemeinde [SH],Die Gemeinde [Schleswig-Holstein]
146,gemeindehaushalt,der gemeindehaushalt
147,Geschichte und Gesellschaft,Geschichte und Gesellschaft
148,GesR,Gesundheitsrecht
149,GesRZ,Der Gesellschafter
150,GewArch,Gewerbearchiv
151,GLJ,German law journal
152,GmbHR,GmbH-Rundschau
153,GmbH-StB,Der GmbH-Steuer-Berater
154,GmbH-Steuerpraxis,GmbH-Steuerpraxis
155,GoJIL,Göttingen journal of international law
156,GoltdA,Goltdammer's Archiv für Strafrecht
157,GPR,Zeitschrift für Gemeinschaftsprivatrecht
158,GreifRecht,Greifswalder Halbjahresschrift für Rechtswissenschaft
159,Grundeigentum,Das Grundeigentum
160,GRUR,Gewerblicher Rechtsschutz und Urheberrecht
161,GRUR Int,Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil
162,GRUR-Prax,Gewerblicher Rechtsschutz und Urheberrecht. Praxis im Immaterialgüter- und Wettbewerbsrecht
163,GRUR-RR,Gewerblicher Rechtsschutz und Urheberrecht. Rechtsprechungs-Report
164,GuG,Grundstücksmarkt und Grundstückswert
165,GuP,Gesundheit und Pflege
166,GuS,Gesundheits- und Sozialpolitik
167,GuT,Gewerbemiete und Teileigentum
168,GWR,Gesellschafts- und Wirtschaftsrecht
169,GYIL,German yearbook of international law
170,Hauseigentum,Das Hauseigentum
171,HFR,Hoechstrichterliche Finanzrechtsprechung
172,HK,Herder-Korrespondenz
173,HmbSchRZ,Hamburger Zeitschrift für Schiffahrtsrecht
174,HmbSchRZ-Int,Hamburger Zeitschrift für Schiffahrtsrecht - International
175,HRRS,HöchstRichterliche Rechtsprechung im Strafrecht
176,HSGZ,Hessische Städte- und Gemeindezeitung
177,HuV,Humanitäres Völkerrecht
178,HuV-I,Humanitäres Völkerrecht - Informationsschriften
179,HZ,Historische Zeitschrift
180,I+E,Zeitschrift für Immissionsschutzrecht und Emissionshandel
181,IBR,Immobilien- & Baurecht
182,ibr,Immobilien- und Baurecht
183,ICL-Journal,Vienna journal on international constitutional law
184,IHR,Internationales Handelsrecht
185,IIC,International review of intellectual property and competition law
186,IILR,International insolvency law review
187,ImmoStR,Zeitschrift zum Immobilien-Steuerrecht
188,imr,Immobilien- und Mietrecht
189,InfAuslR,Informationsbrief Ausländerrecht
190,info,Info / Schleswig-Holsteinischer Richterverband
191,info also,Informationen zum Arbeitslosenrecht und Sozialhilferecht
192,InsVZ,Zeitschrift für Insolvenzverwaltung und Sanierungsberatung
193,InTeR,Zeitschrift für Innovations- und Technikrecht
194,IÖD,Informationsdienst Öffentliches Dienstrecht
195,Ip competence,Ip competence
196,IPRax,Praxis des Internationalen Privat- und Verfahrensrechts
197,IPRB,Der IP-Rechts-Berater
198,IPRB,IP-Rechtsberater
199,IR,"InfrastrukturRecht : Energie, Verkehr, Abfall, Wasser"
200,IRZ,Zeitschrift für internationale Rechnungslegung
201,ISR,Internationale Steuer-Rundschau. Zeitschrift für internationales Steuerrecht
202,iStR,Internationales Steuerrecht
203,ITRB,Der IT-Rechts-Berater
204,IWB,IWB - Internationales Steuer- und Wirtschaftsrecht
205,IWB,NWB - Internationales Steuer- und Wirtschaftsrecht
206,JA,Juristische Arbeitsblätter
207,Jahrbuch SGHVR,JahrbuchSchweizerische Gesellschaft für Haftpflicht und Versicherungsrecht
208,Jahresheft IJVO,Jahresheft / Internationale Juristenvereinigung Osnabrück
209,JAmt,Das Jugendamt
210,Jb Extremismus&Demokratie,Jahrbuch Extremismus & Demokratie
211,Jb. f. direkte Demokratie,Jahrbuch für direkte Demokratie
212,JbArbR,Jahrbuch des Arbeitsrechts
213,JbArbR,Jahrbuch des Arbeitsrechts
214,JbFöderalismus,Jahrbuch des Föderalismus
215,JbItalienR,Jahrbuch für Italienisches Recht
216,JBl,Juristische Blätter
217,JböffFin,Jahrbuch für öffentliche Finanzen
218,JBÖS,Jahrbuch Öffentliche Sicherheit
219,JbSR,Jahrbuch des Sozialrechts
220,JbUTR,Jahrbuch des Umwelt- und Technikrechts
221,JEIH,Journal of European integration history
222,JIPITEC,"Journal of intellectual property, information technology and electronic commerce law"
223,JITE,Journal of Institutional and Theoretical Economics
224,JJZG,Jahrbuch der Juristischen Zeitgeschichte
225,jM,Juris: die Monatszeitschrift
226,JoJZG,Journal der juristischen Zeitgeschichte
227,JOR,Jahrbuch für Ostrecht
228,JöR,Jahrbuch des öffentlichen Rechts der Gegenwart
229,JR,Juristische Rundschau
230,JRE,Jahrbuch für Recht und Ethik
231,JRP,Journal für Rechtspolitik
232,JURA,Juristische Ausbildung
233,JurBüro,Das juristische Büro
234,JurPC,JurPC - Internet-Zeitschrift für Rechtsinformatik und Informationsrecht
235,JuS,Juristische Schulung
236,JZ,Juristenzeitung
237,K&R,Kommunikation & Recht
238,KammerForum,Mitteilungen. Rechtsanwaltskammer Köln
