,abbreviation,title
0,AP,Arbeitsrechtliche Praxis
1,AG,Die Aktiengesellschaft
2,Archiv für Presserecht,Zeitschrift für das gesamte Medienrecht (Archiv für Presserecht)
3,AnwBl,Anwaltsblatt
4,AöR,Archiv des öffentlichen Rechts
5,A&R,Arzneimittel & Recht
6,ARP,Arbeitsschutz in Recht und Praxis
7,AcP,Archiv für die civilistische Praxis
8,bauR,baurecht
9,BKR,Zeitschrift für Bank- und Kapitalmarktrecht
10,BB,Betriebs-Berater
11,BAnz,Bundesanzeiger
12,BGHZ,Entscheidungen des Bundesgerichtshofs in Zivilsachen
13,BVerfGE,Entscheidungen des Bundesverfassungsgerichtes
14,BGHSt,Entscheidungen des Bundesgerichtshofs in Strafsachen
15,BVerwGE,Entscheidungen des Bundesverwaltungsgerichts
16,Entscheidungen des BFH,"Bundessteuerblatt, Teil 2 (Entscheidungen des BFH)"
17,BFH/NV,Sammlung der Entscheidungen des Bundesfinanzhofs
18,BFHE,Entscheidungen des Bundesfinanzhofs
19,BPatGE,Entscheidungen des Bundespatentgericht
20,BSGE,Entscheidungen des Bundessozialgerichts
21,BVerfGK,Kammerentscheidungen des Bundesverfassungsgerichts
22,BeckRS,Beck-Rechtsprechung
23,BC,"Zeitschrift für Bilanzierung, Rechnungswesen und Controlling"
24,CCZ,Corporate Compliance Zeitschrift
25,CR,Computer und Recht
26,COVuR,COVID-19 und Recht
27,CuA,Computer und Arbeit
28,DNotZ,Deutsche Notar-Zeitschrift
29,DStR,Deutsches Steuerrecht
30,DSWR,Datenverarbeitung - Steuer - Wirtschaft - Recht
31,DuD,Datenschutz und Datensicherheit
32,DRiZ,Deutsche Richter-Zeitung
33,DAR,Deutsches Autorecht
34,DWW,Deutsche Wohnungswirtschaft
35,DJZ,Deutsche Juristen-Zeitung
36,DGVZ,Deutsche Gerichtsvollzieher Zeitung
37,DÖV,Die öffentliche Verwaltung
38,DRV,Deutsche Rentenversicherung
39,djbZ,Zeitschrift des Deutschen Juristinnenbundes
40,DB,Der Betrieb
41,DÖD,Der Öffentliche Dienst
42,DSB,Datenschutz-Berater
