abbreviation,title
AbfallR,AbfallR - Zeitschrift für das Recht der Abfallwirtschaft
AcP,Archiv für die civilistische Praxis
AfkKR,Archiv für katholisches Kirchenrecht
AfP,Archiv für Presserecht
"AfS, Archiv für Sozialgeschichte",Archiv für Sozialgeschichte
AG,Die Aktiengesellschaft
AGS,Anwaltsgebühren spezial
AiB,Arbeitsrecht im Betrieb
AJP,Aktuelle juristische Praxis
AktStR,Aktuelles Steuerrecht
AL,Ad Legendum
AnwBl,Anwaltsblatt
AnwBl,Österreichisches Anwaltsblatt
AöR,Archiv des öffentlichen Rechts
AO-StB,Der AO-Steuer-Berater
APBB-Mitt.,Mitteilungen der APBB
apf,apf - Ausbildung-Prüfung-Fortbildung
APR,Apotheke & Recht
"APuZ, Parl",Aus Politik und Zeitgeschichte
ArbRB,Der Arbeits-Rechts-Berater
"ArchKrim, Archiv für Kriminologie",Archiv für Kriminologie
ARIEL,Austrian review of international and European law
ARSP,Archiv für Rechts- und Sozialphilosophie
ArztR,Arztrecht
ASDA-Bulletin,ASDA-Bulletin : Schweizer Fachzeitschrift für Luft- und Weltraumrecht
ASR,"Anwalt, Anwältin im Sozialrecht"
AuA,Arbeit und Arbeitsrecht
AuAS,Ausländer- und Asylrecht Schnelldienst
Aufsichtsrat,Aufsichtsrat
AUR,Agrar- und Umweltrecht
AuR,Arbeit und Recht
AusR,Der Arzt und sein Recht
"AVR, ArchVR",Archiv des Völkerrechts
AWD,Betriebs-Berater / Außenwirtschaftsdienst
AW-Prax,Außenwirtschaftliche Praxis
AWR-Bulletin,AWR-Bulletin : Vierteljahresschrift für Flüchtlingsfragen
Bank,Die Bank
BankArch,Bank-Archiv
"BauR, bauR, nan",Baurecht
Bausachverständige,Der Bausachverständige
BayGT,Bayerischer Gemeindetag
BayVBl,Bayerische Verwaltungsblätter
BB,Betriebs-Berater
"BBB, BBauBl",Bundesbaublatt
BerlAnwBl,Berliner Anwaltsblatt
BetrAV,Betriebliche Altersversorgung
Betrifft Justiz,Betrifft: Justiz
BewertungsPraktiker,Bewertungs-Praktiker Fachinformationen zu Bewertungsfragen
BewHi,Bewährungshilfe
BFH/NV,BFH/NV Sammlung der Entscheidungen des Bundesfinanzhofs
BG,Die Berufsgenossenschaft
BJM,Basler juristische Mitteilungen
BKK,Die Betriebskrankenkasse
