journal,abbreviation,issn
Agrar- und Umweltrecht,AUR,
Aktuelles Steuerrecht,AktStR,
Anwalt / Anwältin im Sozialrecht,ASR,
Anwaltsblatt,AnwBl,
Anwaltsnachrichten Ausländer- und Asylrecht,ANA-ZAR,
Arbeit und Recht,AuR,
Arbeitsrecht Aktuell,ArbR,
Arbeitsrecht im Betrieb,AiB,0174-1225
Archiv des öffentlichen Rechts,AöR,0003-8911
Archiv des Völkerrechts,AVR,0003-892X
Archiv für die civilistische Praxis,AcP,0003-8997
Archiv für katholisches Kirchenrecht,AfkKR,0003-9160
Archiv für Presserecht,AfP,
Archiv für Rechts- und Sozialphilosophie,ARSP,0001-2343
Archiv für Urheber- und Medienrecht,,1424-4276
Archiv für Medienrecht und Medienwissenschaft,UFITA,
Arzneimittel & Recht,A&R,
ArztRecht,ArztR,
Außenwirtschaftliche Praxis,AW-Prax,
Baurecht,BauR,
Bayerische Verwaltungsblätter,BayVBl,0522-5337
Behindertenrecht,"Br, br",
Betreuungsrechtliche Praxis,BtPrax,0942-2390
Betriebs-Berater,BB,0340-7918
BRAK-Mitteilungen,"BRAK-Mitt, BRAK-Mitt.",
Carbon & Climate Law Review,CCLR,
Causa Sport,"CSR, Causa Sport",
Computer und Recht,CR,0179-1990
Corporate Compliance Zeitschrift,CCZ  [online],
Das Jugendamt,JAmt,1867-6723
Das Juristische Büro,JurBüro,
Das Standesamt,StAZ,0341-3977
Datenschutz und Datensicherheit,DuD,0724-4371
Datenschutz-Berater,DSB,0170-7256
Der AO-Steuer-Berater,"AOStB, AO-StB",
Der Arbeits-Rechts-Berater,ArbRB,
Der Betrieb,DB,0005-9935
Der Deutsche Rechtspfleger,Rpfleger,
Der Erbschafts-Steuer-Berater,ErbStB,
Der Ertrags-Steuer-Berater,ErtrStB,
Der Familien-Rechts-Berater,FamRB,
Der GmbH-Steuer-Berater,"GmbHStB, GmbH-StB",
Der IP-Rechts-Berater,IPRB,
Der IT-Rechts-Berater,ITRB,1617-1527
Der Miet-Rechts-Berater,MietRB,
Der Öffentliche Dienst,DÖD,
Der Sachverständige,"DS, Sachverständige",
Der Staat,"STAAT, Staat, DS",0038-884X
Der Umsatz-Steuer-Berater,"UStB, UstB",
Deutsch-Polnische Juristen-Zeitschrift,DPJZ,
Deutsche Gerichtsvollzieher Zeitung,DGVZ,
Deutsche Notar-Zeitschrift,DNotZ,0340-8604
Deutsche Richterzeitung,DRiZ,0340-8612
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,"DZWIR, DZWir",1439-1589
Deutsches Autorecht,DAR,0012-1231
Deutsches Steuerrecht,DStR,
Deutsches Verwaltungsblatt,"DVBl, DVBl.",0012-1363
Die Aktiengesellschaft,AG,0002-3752
Die Öffentliche Verwaltung,DÖV,0029-859X
Die Personalvertretung,PersV,
Die Sozialgerichtsbarkeit,SGb,0943-1462
Die Unternehmensbesteuerung,Ubg,
Die Verwaltung,"VERW, Verwaltung, DV",0042-4498
Entscheidungen zum Wirtschaftsrecht,"EWiR, EWIR",
