journal,qid,abbreviation,issn
Der Staat,Q1197035,"STAAT, Staat, DS",0038-884X
Datenschutz und Datensicherheit,Q1172510,DuD,0724-4371
Gewerblicher Rechtsschutz und Urheberrecht,Q1520489,GRUR,0016-9420
Neue Juristische Wochenschrift,Q883935,NJW,0341-1915
Juristische Schulung,Q1713998,JuS,0022-6939
JurPC,Q1713779,JurPC,1615-5335
Datenschutz Nachrichten,Q1172507,DANA,0173-7767
Recht der Datenverarbeitung,Q2135365,RDV,0178-8930
Neue Justiz,Q1979578,NJ,0028-3231
Kritische Justiz,Q1789497,KJ,0023-4834
Zeitschrift für Öffentliches Recht in Norddeutschland,Q186831,NordÖR,1435-2206
Neue Zeitschrift für Verwaltungsrecht,Q1626011,NVwZ,0721-880X
JuristenZeitung,Q1313924,JZ,0022-6882
Neue Zeitschrift für Strafrecht,Q1979879,NStZ,0720-1753
Die Öffentliche Verwaltung,Q1219990,DÖV,0029-859X
Wohnungswirtschaft und Mietrecht,Q2588162,WuM,0173-1564
Zeitschrift für Miet- und Raumrecht,Q186712,ZMR,0340-7497
Juristische Arbeitsblätter,Q1506641,JA,0720-6356
Zeitschrift für Wirtschafts- und Steuerstrafrecht,Q186765,"wistra, Wistra",0721-6890
Zeitschrift für Beamtenrecht,Q186643,ZBR,0514-2571
Deutsches Verwaltungsblatt,Q1206085,"DVBl, DVBl.",0012-1363
Zeitschrift für die gesamte Strafrechtswissenschaft,Q186804,"ZStW, ZStrW",0084-5310
Archiv des öffentlichen Rechts,Q635596,AöR,0003-8911
Jahrbuch des öffentlichen Rechts der Gegenwart,Q1647033,JöR,0075-2517
Multimedia und Recht,Q1952408,MMR,1434-596X
Zeitschrift für Rechtspolitik,Q186735,ZRP,0514-6496
Monatsschrift für Deutsches Recht,Q1484228,MDR,0340-1812
Zeitschrift für Urheber- und Medienrecht,Q186755,ZUM,0177-6762
Zeitschrift für das gesamte Familienrecht,Q186786,FamRZ,0044-2410
Betreuungsrechtliche Praxis,Q831728,BtPrax,0942-2390
Betriebs-Berater,Q831803,BB,0340-7918
Entscheidungen der Finanzgerichte,Q1345296,EFG,0421-2991
Nachrichtendienst des Deutschen Vereins für öffentliche und private Fürsorge,Q1604584,NDV,0012-1185
Das juristische Büro,Q1171374,"JurBüro, JB",0931-6000
Archiv für die civilistische Praxis,Q635656,AcP,0003-8997
Zeitschrift für Europäisches Privatrecht,Q186658,ZEuP,0943-3929
Zeitschrift für Parlamentsfragen,Q186715,ZParl,0340-1758
Zeitschrift für ausländisches öffentliches Recht und Völkerrecht,Q186774,ZaöRV,0044-2348
Die Verwaltung,Q1217253,"VERW, Verwaltung, DV",0042-4498
Neue Zeitschrift für Verkehrsrecht,Q1979882,NZV,0934-1307
Juristische Rundschau,Q1713995,JR,0022-6920
Zeitschrift für Zivilprozess,Q186773,ZZP,0342-3468
Deutsche Notar-Zeitschrift,Q1203619,DNotZ,0340-8604
Computer und Recht,Q2670841,CR,0179-1990
Rabels Zeitschrift für ausländisches und internationales Privatrecht,Q2124937,RabelsZ,0033-7250
Bayerische Verwaltungsblätter,Q812308,BayVBl,0522-5337
Praxis des Internationalen Privat- und Verfahrensrechts,Q2108065,"IPrax, IPRax",0720-6585
Deutsche Richterzeitung,Q1203804,DRiZ,0340-8612
Der Betrieb,Q1192500,DB,0005-9935
Datenschutz-Berater,Q1172503,DSB,0170-7256
Zeitschrift für Wirtschaftsrecht,Q186766,ZIP,0723-9416
Landes- und Kommunalverwaltung,Q1802033,LKV,0939-0014
Arbeitsrecht im Betrieb,Q628968,AiB,0174-1225
Wirtschaft und Wettbewerb,Q2585775,WuW,0043-6151
Bucerius Law Journal,Q997674,BLJ,1864-371X
Zeitschrift für Bergrecht,Q186645,ZfB,0340-3939
Familie und Recht,Q1395195,FuR,0937-2180
Zeitschrift für Wirtschafts- und Bankrecht,Q186764,WM,0342-6971
Recht der Arbeit,Q2135358,RdA,0342-1945
Lindenmaier-Möhring,Q1629658,LMK,1611-1095
Zeitschrift für evangelisches Kirchenrecht,Q186806,"ZevKR, ZevKr",0044-2690
Die Sozialgerichtsbarkeit,Q1216316,SGb,0943-1462
Neue Zeitschrift für Gesellschaftsrecht,Q1979870,NZG,1434-9272
Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht,Q186787,ZHR,0044-2437
Die Aktiengesellschaft,Q1210974,AG,0002-3752
Zeitschrift für Unternehmens- und Gesellschaftsrecht,Q186751,ZGR,0340-2479
Forum Recht,Q1419340,FoR,0930-6420
MenschenRechtsMagazin,Q1920741,MRM,1434-2820
Zeitschrift für das gesamte Insolvenz- und Sanierungsrecht,Q186789,ZInsO,1615-8032
