"number","title","pageid","namespace","length","touched","Wikidata"
"1","Zeitschrift_für_geschichtliche_Rechtswissenschaft","70484","","1155","20230418214854","Q186812"
"2","Der_Staat","215264","","4876","20220510155257","Q1197035"
"3","Datenschutz_und_Datensicherheit","302889","","3865","20231209151757","Q1172510"
"4","Gewerblicher_Rechtsschutz_und_Urheberrecht","382686","","3103","20231113135049","Q1520489"
"5","Kriminalistik_(Zeitschrift)","510150","","3087","20240922191006","Q1788975"
"6","Neue_Juristische_Wochenschrift","512735","","7957","20230527211533","Q883935"
"7","Juristische_Schulung","580195","","2583","20231222170006","Q1713998"
"8","JurPC","688832","","2376","20230219090339","Q1713779"
"9","Studentische_Zeitschrift_für_Rechtswissenschaft_Heidelberg","750380","","8068","20240425092254","Q1455831"
"10","Datenschutz_Nachrichten","764913","","2595","20240921092452","Q1172507"
"11","Recht_der_Datenverarbeitung","830826","","2678","20220331135149","Q2135365"
"12","Neue_Justiz","855589","","8020","20220609130658","Q1979578"
"13","Juristische_Ausbildung_(Zeitschrift)","916690","","2581","20240518135801","Q1244230"
"14","Kritische_Justiz","926458","","11129","20240607112502","Q1789497"
"15","Zeitschrift_für_Öffentliches_Recht_in_Norddeutschland","1017078","","9305","20230613090026","Q186831"
"16","Neue_Zeitschrift_für_Verwaltungsrecht","1017692","","2705","20230717080004","Q1626011"
"17","Juristenzeitung","1040237","","3893","20241129131426","Q1313924"
"18","Neue_Zeitschrift_für_Strafrecht","1098804","","4312","20240907130633","Q1979879"
"19","Die_Öffentliche_Verwaltung","1108401","","3658","20231217174228","Q1219990"
"20","Wohnungswirtschaft_und_Mietrecht","1218195","","2069","20230711072045","Q2588162"
"21","Zeitschrift_für_Miet-_und_Raumrecht","1218272","","2381","20190709150308","Q186712"
"22","Juristische_Arbeitsblätter","1309006","","2367","20220422121157","Q1506641"
"23","Rechtsdepesche_für_das_Gesundheitswesen","1325042","","12140","20230530164825","Q1526416"
"24","Humboldt_Forum_Recht","1415678","","2757","20230304175317","Q1298948"
"25","Zeitschrift_für_Wirtschafts-_und_Steuerstrafrecht","1419256","","2843","20230415081231","Q186765"
"26","Zeitschrift_für_Beamtenrecht","1419386","","2476","20200826214856","Q186643"
"27","Deutsches_Verwaltungsblatt","1419456","","2987","20240721071157","Q1206085"
"28","Verwaltungsarchiv_(Zeitschrift)","1419868","","2545","20231117155922","Q2519281"
"29","Zeitschrift_für_die_gesamte_Strafrechtswissenschaft","1420079","","3473","20241025205112","Q186804"
"30","Archiv_des_öffentlichen_Rechts","1421669","","4038","20240617165602","Q635596"
"31","Jahrbuch_des_öffentlichen_Rechts_der_Gegenwart","1421695","","3569","20240313220428","Q1647033"
"32","Multimedia_und_Recht","1426125","","2276","20230827074059","Q1952408"
"33","Zeitschrift_für_Rechtspolitik","1492957","","2877","20240329074244","Q186735"
"34","Monatsschrift_für_Deutsches_Recht","1508052","","4872","20191006181146","Q1484228"
"35","Zeitschrift_für_Urheber-_und_Medienrecht","1508119","","3482","20210709095704","Q186755"
"36","Zeitschrift_für_das_gesamte_Familienrecht","1533307","","3261","20210119193811","Q186786"
"37","Betreuungsrechtliche_Praxis","1533334","","3080","20240727130334","Q831728"
"38","Betreuungsmanagement_(Fachzeitschrift)","1533367","","3080","20240502052906","Q831722"
"39","Betriebs-Berater","1533369","","4694","20230227132949","Q831803"
"40","Entscheidungen_der_Finanzgerichte","1533804","","3672","20230113141326","Q1345296"
"41","Der_Deutsche_Rechtspfleger","1566906","","3479","20230327163244","Q1416299"
"42","Nachrichtendienst_des_Deutschen_Vereins_für_öffentliche_und_private_Fürsorge","1567160","","2942","20230113215754","Q1604584"
"43","Das_juristische_Büro","1569210","","2668","20230113214956","Q1171374"
"44","Verbraucher_und_Recht","1841394","","1531","20230412093823","Q2514239"
"45","Archiv_für_die_civilistische_Praxis","1850739","","3063","20240617165539","Q635656"
"46","Goltdammer’s_Archiv_für_Strafrecht","1881408","","7165","20231012210115","Q1316740"
"47","Zeitschrift_für_Europäisches_Privatrecht","1924580","","3593","20211021124955","Q186658"
"48","Bürgerrechte_&_Polizei/CILIP","2034847","","6470","20240628123413","Q1021387"
"49","Zeitschrift_für_die_gesamte_Staatswissenschaft","2060554","","2996","20211121130541","Q186803"
"50","Schleswig-Holsteinische_Anzeigen","2131758","","3755","20210205214118","Q2239283"
"51","Europa-blätter","2160355","","789","20210411170720","Q1375179"
"52","Magazin_für_Haus_und_Wohnung","2303170","","1319","20230113215427","Q1383113"
"53","Zeitschrift_für_Parlamentsfragen","2363572","","3459","20211123100804","Q186715"
"54","Bundesarbeitsblatt","2369119","","2457","20201130141647","Q1005567"
"55","Zeitschrift_für_ausländisches_öffentliches_Recht_und_Völkerrecht","2490974","","2271","20240404161123","Q186774"
"56","Die_Verwaltung","2497925","","3729","20220116140115","Q1217253"
"57","Neue_Zeitschrift_für_Verkehrsrecht","2501726","","3088","20210119152419","Q1979882"
"58","Juristische_Rundschau","2552021","","2650","20240907123029","Q1713995"
"59","Zeitschrift_für_Zivilprozess","2553738","","2503","20210211193920","Q186773"
"60","Deutsche_Notar-Zeitschrift","2554353","","3166","20240920101609","Q1203619"
"61","Computer_und_Recht","2555279","","2047","20240516155453","Q2670841"
"62","AfP_–_Zeitschrift_für_Medien-_und_Kommunikationsrecht","2556649","","2946","20220313194002","Q381998"
"63","Rabels_Zeitschrift_für_ausländisches_und_internationales_Privatrecht","2558993","","2782","20240723205545","Q2124937"
"64","Preußisches_Verwaltungsblatt","2562298","","1752","20240805194512","Q2109339"
"65","Bayerische_Verwaltungsblätter","2565157","","3745","20240626185143","Q812308"
"66","Praxis_des_Internationalen_Privat-_und_Verfahrensrechts","2565333","","2980","20220616153311","Q2108065"
"67","Deutsche_Richterzeitung","2565705","","2301","20210223185932","Q1203804"
"68","Der_junge_Rechtsgelehrte","2589788","","2160","20230113214844","Q1198961"
"69","Der_Betrieb","2598933","","4758","20240624175512","Q1192500"
"70","Datenschutz-Berater","2626801","","2851","20240616082205","Q1172503"
"71","Strafverteidiger_(Zeitschrift)","2681101","","3026","20240402201000","Q1255791"
"72","Zeitschrift_für_Wirtschaftsrecht","2684606","","3429","20240617113021","Q186766"
"73","Landes-_und_Kommunalverwaltung","2712460","","2423","20230924125951","Q1802033"
"74","Zeitschrift_für_Internationale_Strafrechtswissenschaft","2716308","","3808","20230411160459","Q186687"
"75","Versicherungsrecht_(Zeitschrift)","2718180","","2912","20231107192232","Q2518171"
"76","Arbeitsrecht_im_Betrieb","2727179","","4507","20220414143703","Q628968"
"77","Zeitschrift_für_Erbrecht_und_Vermögensnachfolge","2755053","","3032","20220601181946","Q186655"
"78","Justament","2761284","","1794","20230113215112","Q1714124"
"79","Sammlung_Arbeitsrechtlicher_Entscheidungen_(Deutschland)","2761613","","3161","20210924190004","Q2217321"
"80","Wirtschaft_und_Wettbewerb","2761638","","2437","20240216142603","Q2585775"
"81","GreifRecht","2777715","","2917","20230113214412","Q1545442"
"82","Bucerius_Law_Journal","2780050","","3274","20240607162505","Q997674"
"83","Zeitschrift_für_Bergrecht","2786221","","2961","20241206074737","Q186645"
"84","Ad_legendum","2787902","","4223","20240627105727","Q345676"
"85","Neue_Zeitschrift_für_Arbeitsrecht_(1921–1933)","2813221","","4784","20230113215926","Q1979867"
"86","Familie_Partnerschaft_Recht","2822314","","1791","20210713174447","Q1395170"
"87","Familie_und_Recht","2832528","","2695","20170117162432","Q1395195"
"88","GmbHRundschau","2838594","","5213","20240906063248","Q1532878"
"89","Zeitschrift_für_Wirtschafts-_und_Bankrecht","2844246","","2445","20230630094946","Q186764"
"90","Recht_der_Arbeit","2866590","","1385","20241022030729","Q2135358"
"91","Lindenmaier-Möhring","2882481","","2776","20230710100935","Q1629658"
"92","Zeitschrift_für_evangelisches_Kirchenrecht","3149441","","2347","20240617165246","Q186806"
"93","Entscheidungen_in_Kirchensachen_seit_1946","3151750","","1571","20230113141418","Q1345334"
"94","Die_Sozialgerichtsbarkeit","3151877","","2416","20190521230019","Q1216316"
"95","Neue_Zeitschrift_für_Gesellschaftsrecht","3154076","","1651","20240814064253","Q1979870"
"96","Zeitschrift_für_das_gesamte_Handelsrecht_und_Wirtschaftsrecht","3155217","","3594","20241127163953","Q186787"
"97","Die_Aktiengesellschaft","3156049","","3982","20180416180915","Q1210974"
"98","Zeitschrift_für_Unternehmens-_und_Gesellschaftsrecht","3157783","","5236","20220726083647","Q186751"
"99","Forum_Recht","3188662","","4013","20240423064141","Q1419340"
"100","MenschenRechtsMagazin","3236766","","2743","20230828100607","Q1920741"
"101","Myops","3395303","","3405","20240917142031","Q1408972"
"102","Soziale_Sicherheit_in_der_Landwirtschaft","3432704","","803","20231124171055","Q2305388"
"103","Die_Friedens-Warte","3552791","","4737","20230328164109","Q1212770"
"104","Zeitschrift_für_das_gesamte_Insolvenz-_und_Sanierungsrecht","3571025","","4433","20240126132247","Q186789"
"105","Informationen_zum_Hochschulrecht","3618965","","2997","20241108150202","Q1662512"
"106","Marburg_Law_Review","3655161","","7549","20230617211509","Q1892436"
"107","Kommunikation_&_Recht","3740694","","3189","20241127113419","Q1780494"
"108","Neue_Kriminalpolitik","3746531","","1398","20240330171913","Q1778175"
"109","Kriminologisches_Journal","3753297","","2363","20240217162853","Q1407663"
"110","Das_Standesamt","3760283","","3754","20240727230230","Q1170460"
"111","Der_Aufsichtsrat","3797414","","1995","20231031060247","Q1192286"
"112","Baurecht_(Zeitschrift)","3807261","","2994","20220618160136","Q811694"
"113","Zeitschrift_für_Wasserrecht","3809103","","2206","20170211101429","Q186760"
"114","Recht_der_Internationalen_Wirtschaft","3825407","","3516","20240908163542","Q2135369"
"115","Europäisches_Wirtschafts-_und_Steuerrecht","3825684","","3363","20240704054824","Q1378215"
"116","Netzwirtschaften_&_Recht","3827749","","3648","20230113215826","Q1979038"
"117","Zeitschrift_für_Vergleichende_Rechtswissenschaft","3831080","","5181","20230825164623","Q186758"
"118","Betrifft_Justiz","3857864","","3016","20210731185456","Q832174"
"119","Umwelt-_und_Planungsrecht","3884081","","2175","20180411201509","Q2478870"
"120","Recht_und_Politik","3897939","","6422","20210313222627","Q2135391"
"121","Deutsches_Autorecht","3953289","","1329","20230515170143","Q1205552"
"122","Zeitschrift_für_das_Recht_der_Abfallwirtschaft","3963584","","1676","20201119120931","Q186784"
