name,abbr,year_start,year_end
Gesetz- und Verordnungsblatt für Berlin,,1990,
Gesetz- und Verordnungsblatt für Berlin,,2008,2008.0
Gesetz- und Verordnungsblatt für Berlin,,2009,2010.0
Gesetz- und Verordnungsblatt für Berlin,,2024,
Hessen-Jahrbuch,,2000,2009.0
"Civil liberties and police, Deutsche Ausgabe : Informationsdienst: Bürgerrechte und Polizeientwicklung",CILIP,1978,1980.0
"Civil liberties and police, Deutsche Ausgabe : Informationsdienst: Bürgerrechte und Polizeientwicklung",CILIP,2024,
German yearbook of international law,GYIL,1977,
"Eildienst: Bundesgerichtliche Entscheidungen, BGH",EBE,1988,
Arbeitslosigkeit,,1981,1998.0
"Deutsche Steuer-Zeitung, Ausgabe A",DStZ,1948,1979.0
"Deutsche Steuer-Zeitung, Ausgabe A",DStZ,2024,
"Deutsche Steuer-Zeitung, Ausgabe A",DStZ,1966,1966.0
Bibliographie juristischer Festschriften und Festschriftenbeiträge,,1962,2012.0
Bibliographie juristischer Festschriften und Festschriftenbeiträge,,1962,
Bibliographie juristischer Festschriften und Festschriftenbeiträge,,1967,1977.0
Bibliographie juristischer Festschriften und Festschriftenbeiträge,,1981,1998.0
"Bundessteuerblatt, Teil 2: Veröffentlichungen der Länder",,1951,1967.0
Kriegsopferversorgung,,1952,1975.0
Bundeswehrverwaltung,BWV,1957,
Bundeswehrverwaltung,BWV,2024,
Archiv für das Zivil- und Kriminalrecht der Königlich-Preussischen Rheinprovinzen,,1819,1906.0
Archiv für das Zivil- und Kriminalrecht der Königlich-Preussischen Rheinprovinzen,,1819,1825.0
Archiv für das Zivil- und Kriminalrecht der Königlich-Preussischen Rheinprovinzen,,2024,
Der Hausjurist,,2009,2014.0
"Annales Universitatis Saraviensis, Scientia",,1955,1963.0
Verfassung und Recht in Übersee,VRÜ,1968,
Verfassung und Recht in Übersee,VRÜ,2024,
Handbuch des Wirtschaftsrechts,,1989,1991.0
Amtliches Mitteilungsblatt des Bundesausgleichsamtes,,1953,1987.0
