title,issn,alternativeTitle
Gesetz- und Verordnungsblatt für Berlin,03439550,Gesetz- und Verordnungsblatt ( Hauptsacht. teils )
"Civil liberties and police, Deutsche Ausgabe : Informationsdienst: Bürgerrechte und Polizeientwicklung",01721895,Civil liberties and police / Deutsche Ausgabe; CILIP; CILIP newsletter
"Deutsche Steuer-Zeitung, Ausgabe A",00120774,DStZ
Bundeswehrverwaltung,"00075957,00075957",BWV
Archiv für das Zivil- und Kriminalrecht der Königlich-Preussischen Rheinprovinzen,"18660371,18660371",Archiv für das Civil- und Criminalrecht der Königlich-Preußischen Rheinprovinzen ( Hauptsacht. 1.1820 - N.F. 66=73.1883 ); Archiv für das Civil- und Criminalrecht der Königlich-Preußischen Rheinprovinz ( Hauptsacht. 67=74.1884 - 91=98.1902 ); Rheinisches Archiv für das Civil- und Criminalrecht ( Nebent. anfangs ); Rheinisches Archiv für das Zivil- und Kriminalrecht ( Nebent. ab N.F. 92=99.1903 )
Verfassung und Recht in Übersee,"05067286,05067286","VRÜ; WCL; Law and politics in Africa, Asia and Latin America; Vierteljahresschr. für Fragen d. Verfassungs- u. Rechtsentwicklung d. Staaten Asiens, Afrikas u. Lateinamerikas ( Zusatz anfangs )"
Amtliches Mitteilungsblatt des Bundesausgleichsamtes,"04337077,04337077",
"Amtsblatt der Europäischen Gemeinschaften, C: Mitteilungen und Bekanntmachungen",03769461,
Archiv für Rechts- und Wirtschaftsphilosophie,"01771108,01771108","Archiv für Rechtsphilosophie ( Hauptsacht. 26.1933,4(Juli) )"
Bayerische Gemeindebeamtenzeitung,00057037,"Deutsche Gemeindebeamtenzeitung / Ausgabe A für Bayern ( Hauptsacht. 27.1933,18(1.Juli)-35/36(21.Dez.) ); Bayerische Gemeinde-Bamtenzeitung ( Hauptsacht. teils ); Bayerische Gemeindebeamten-Zeitung ( Hauptsacht. teils ); Fachblatt für Gemeindebeamte in Stadt und Land sowie Organ des Pensionsvereins der berufsmäßigen bayerischen Gemeindebeamten ( Zusatz 1897 - 1907 )"
Taschenbuch für Verwaltungsbeamte,"0933551X,0933551X",Behördennachweis und Personenverzeichnis; Die Bundesrepublik ( Nebent. 63.1953 - 64.1954/55 )
Zeitschrift für internationales Recht,09314342,
Zeitschrift des Bayerischen Statistischen Landesamts,"00057215,00057215",Zeitschrift des Königlich-Bayerischen Statistischen Landesamts ( Hauptsacht. 41.1909 - 50.1918 ); Zeitschrift des Bayerischen Statistischen Landesamts ( Hauptsacht. 51.1919 - 112.1980 )
"Amtsblatt der Europäischen Union, L: Rechtsvorschriften",17252539,Amtsblatt der Europäischen Union / L
Verhandlungen des Deutschen Juristentages,04173120,
Jahrbücher für die Dogmatik des heutigen römischen und deutschen Privatrechts,"18660800,18660800",Jherings Jahrbücher
Berliner Monatshefte für internationale Aufklärung,01748270,
Czasopismo prawa karnego i nauk penalnych,15061817,
PHi,"18647227,18647227","Produkt- und Umwelthaftpflicht international ( Zusatz bis 2000,4 )"
SpoPrax,"27480526,27480526",
Wirtschaftsrecht,"0323505X,05126320","Zeitschrift für Theorie und Praxis des sozialistischen Wirtschaftsrechts ( Zusatz bis 1990,1 )"
Symposion / Gesellschaft für Griechische und Hellenistische Rechtsgeschichte,03403149,Vorträge zur griechischen und hellenistischen Rechtsgeschichte
Betrieb und Wirtschaft,0939415X,BuW; Bilanzbuchhalterprüfung
Kunstrecht und Urheberrecht,"14372355,14372355",KUR
Magazin für die Philosophie des Rechts und der Gesetzgebung,"21926468,21926468",Magazin des Rechts ( Nebent. d. Repr. )
Die neue Polizei,07207794,dnp
"Amtsblatt des Thüringer Ministeriums für Bildung, Jugend und Sport",09404902,ABl. TMBJS
"Schlagwortregister zur Rechtsprechung und Literatur des gesamten Steuerrechts, [Mehrjahresausgabe]",04876253,Schlagwortregister Steuerrecht
Die Praxis,"02549441,10178147","Entscheidungen des Schweizerischen Bundesgerichts ( 1. Zusatz anfangs ); Entscheidungen des Schweizerischen Bundesgerichts und des Eidgenössischen Versicherungsgerichts ( 1. Zusatz bis 97.2008 ); Entscheidungen des Europäischen Gerichtshofes für Menschenrechte ( 2. Zusatz bis 97.2008 ); Übersetzungen, unveröffentlichte Entscheide, Kommentare zu Leitentscheiden ( 3. Zusatz bis 97.2008 ); Die Praxis des Bundesgerichts ( Hauptsacht. bis 79.1990 u. Index 81/85.1992/96 )"
Taschenbuch für Kriminalisten,00821934,
Zeitschrift für Konfliktmanagement,14392127,"ZKM; Konfliktmanagement, Mediation, Verhandeln; Mediation, Verhandeln, Vertragsgestaltung ( Zusatz anfangs )"
Zeitschrift für Rechtspflege in Bayern,"09366202,09366202",
"Aufsatzdokumentation zur Privatrechtsvergleichung, Privatrechtsvereinheitlichung und zum internationalen Privatrecht",01709259,"Rechtsvergleichung, Rechtsvereinheitlichung, IPR-Aufsatzdokumentation; Aufsatzdokumentation zur Privatrechtsvergleichung, Privatrechtsvereinheitlichung sowie zum internationalen Privatrecht und ausländischen Privatrecht ( Hauptsacht. bis 1976 ); Bibliography of articles on comparative private law, unification of private law, and on private international law and foreign private law ( Parallelsacht. bis 1976 )"
Jahrbuch des Umwelt- und Technikrechts,"09336486,09336486",
"Wohnungseigentum, Mietrecht","1861020X,1861020X",WE
Wirtschaftsrechtliche Blätter,"18643434,18643434",WBL
Motionen und Postulate der gesetzgebenden Räte im Jahre ...,14230801,
Vergaberecht,"25130463,25130463",Vergabe; Textausgabe
Sozialhilfe- und Asylbewerberleistungsrecht,16186265,SAR
"Gesetzblatt der Deutschen Demokratischen Republik, Teil 1",01381644,Gesetzblatt der DDR
Sicherheits-Forum,16616715,SF
Münchener Beiträge zur Papyrusforschung und antiken Rechtsgeschichte,09363718,
"Amtsblatt der Europäischen Gemeinschaften, Monatsregister L C: alphabetisch und methodologisch",02506688,Alphabetisches Sachregister und Dokumentarverzeichnis; Register zum Amtsblatt der Europäischen Gemeinschaften / Monatsregister; Dokumentarverzeichnis ( Sachl. Benennung der UR 1974 ); Alphabetisches Sachregister und Dokumentarverzeichnis ( Sachliche Benennung der UR 1976-1977 )
Der Beamte im Ruhestand,03431193,Mitteilungen des Bundes der Ruhestandsbeamten und Hinterbliebenen (BRH) und seiner Mitgliedsverbände; Mitteilungsblatt des Allgemeinen Beamtenschutzbundes
"Bundesanzeiger, Zentralhandelsregister",03447731,Bundesanzeiger / Zentralhandelsregister; Bundesanzeiger / Handelsregister; Handelsregister ( Sachl. Benennung der Mikrofiche-Ausg. )
REthinking: law,"2625686X,2625686X",
Entscheidungen der Oberverwaltungsgerichte für das Land Nordrhein-Westfalen in Münster und für das Land Niedersachsen in Lüneburg,"03408779,03408779",Entscheidungen des Verfassungsgerichtshofes Nordrhein-Westfalen und des Niedersächsischen Staatsgerichtshofes; Entscheidungen der Oberverwaltungsgerichte in Münster und Lüneburg; Entscheidungen der Oberverwaltungsgerichte für das Land Nordrhein-Westfalen in Münster sowie für die Länder Niedersachsen und Schleswig-Holstein in Lüneburg ( Hauptsacht. bis 42.1995 )
"Juris-PraxisReport, Steuerrecht",18601596,Juris-PraxisReport / Steuerrecht; PraxisReport / Steuerrecht; Juris-Praxis-Report; jurisPR-SteuerR
Arbeitsschutz,00037788,
Europäische Beiträge zu Kriminalität und Prävention,14340585,
Gewerbesteuer-Handausgabe ...,01786695,
Stadt und Gemeinde,"09400990,09400990",
"Zeitschrift für Vertragsgestaltung, Schuld- und Haftungsrecht","21923450,21923450",ZGS
Statistik der Rechtspflege,02595273,Beiträge zur österreichischen Statistik / Statistik der Rechtspflege
Post aus Poppenhausen,"1865827X,1865827X",Gemeindezeitung
Juristische Zeitung für das Königreich Hannover,"23654503,23654503",Juristische Zeitung für Hannover ( Hauptsacht. teils )
Materialien zum ausländischen und internationalen Privatrecht,"25688855,25688855",
"Schleswig-holsteinische Anzeigen, Teil A",01739794,Schleswig-holsteinische Anzeigen / A; SchlHA
Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs und des Bayerischen Verfassungsgerichtshofs,16193431,"Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs mit Entscheidungen des Bayerischen Verfassungsgerichtshofs, des Bayerischen Dienststrafhofs und des Bayerischen Dienstgerichtshofs für Richter und des Bayerischen Gerichtshofs für Kompetenzkonflikte; Sammlung von Entscheidungen des Königlich-Bayerischen Verwaltungsgerichtshofes ( Hauptsacht bis 38.1917[?] ); Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs ( 39.1918 - 43.1922 ); Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs mit Anhang von Entscheidungen des Bayerischen Gerichtshofs für Kompetenzkonflikte und des Bayerischen Obersten Landesgerichts in Strafsachen und in Zivilsachen ( 49.1928 - 50.1929 ); Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs mit Entscheidungen des Bayerischen Verfassungsgerichtshofs ( N.F. 1.1947/48 - 3.1950 ); Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs mit Entscheidungen des Bayerischen Verfassungsgerichtshofs und des Bayerischen Dienststrafhofs ( 4.1951 ); Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs mit Entscheidungen des Bayerischen Verfassungsgerichtshofs, des Bayerischen Dienststrafhofs und des Bayerischen Dienstgerichtshofs für Richter und des Bayerischen Gerichtshofs für Kompetenzkonflikte ( 5.1952 - 22=85.1969 ); Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs mit Entscheidungen des Bayerischen Verfassungsgerichtshofs, des Bayerischen Dienstgerichtshofs für Richter und des Bayerischen Gerichtshofs für Kompetenzkonflikte ( N.F. 23=86.1970 - 34=97.1981 ); Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs und des Bayerischen Dienstgerichtshofs für Richter ( 35=98.1981 - 48=112.1995 )"
Zentralblatt der Bauverwaltung,03728021,Centralblatt der Bauverwaltung ( Hauptsacht. 1.1881 - 22.1902 ); Zentralblatt für Bauverwaltung ( Hauptsacht. teils )
InsbürO,"18630731,18630731",Zeitschrift für Insolvenzsachbearbeitung und Entschuldungsverfahren ( Zusatz bis 2019 ); Zeitschrift  für das Insolvenzbüro ( Zusatz anfangs )
Schwebheimer Amtsbote,"18658059,18658059",Die Gemeindezeitung
Die Freiheitsglocke,00160911,
Streit,01754467,Bibliographie Vergewaltigung; Bibliografie zum Thema Vergewaltigung und sexueller Missbrauch
Deutsche Gerichtsvollzieher-Zeitung,18616593,"Zeitschrift für Vollstreckungs-, Zustellungs- und Kostenrecht; DGVZ"
Thüringer Verwaltungsblätter,"09417648,09417648",ThürVBl
Zeitschrift für Bergrecht,"03403939,03403939",ZfB
Beiträge zum ausländischen öffentlichen Recht und Völkerrecht,"01724770,01724770",Institut für Ausländisches Öffentliches Recht und Völkerrecht ( Urh. bis 1940 )
StrafRechtsReport,"18647200,18647200",StRR
Vollstreckung effektiv,"14395355,14395355","Reno kompakt; VE; Für Rechtsanwaltskanzleien, Inkassounternehmen und Vollstreckungsabteilungen; für Rechtsanwaltskanzleien, Mahn- und Vollstreckungsabteilungen ( Zusatz anfangs )"
Kanon,02590727,Jahrbuch der Gesellschaft für das Recht der Ostkirchen; yearbook of the Society of the Law of the Oriental Churches; yearbook of the Society for the Law of the Eastern Churches; annuaire de la société du droit des églises orientales
KWI-Arbeitshefte,"21916713,21916713",Arbeitshefte ( Haupttitel bis 5.2002 )
"Osteuropa, Osteuropa-Recht","23666730,23666730",Osteuropa <Berlin> / Osteuropa-Recht; Osteuropa-Recht
Unfallregulierung effektiv,"1861700X,1861700X",
Staats-Archiv,"2365287X,2365287X",
Ehrengerichtliche Entscheidungen,03408787,
"Europäische Hochschulschriften, Reihe 2: Rechtswissenschaft = Droit = Law",05317312,European university studies; Publications universitaires européennes; Europäische Hochschulschriften Recht; Europäische Hochschulschriften Recht ( Haupttitel teils ); Pubblicazioni universitarie europee ( Ital. Parallelsacht. anfangs ); European university papers ( Engl. Parallelsacht. anfangs )
"Die Bundesrepublik Deutschland, Niedersachsen : Verzeichnis der Behörden und Gemeinden mit Aufgabenbeschreibungen und Adressen","09489835,09489835",Staatshandbuch
"Bundesanzeiger, Jahresabschlüsse und Hinterlegungsbekanntmachungen","09346333,09346333",Jahresabschlüsse und Hinterlegungsbekanntmachungen; Bundesanzeiger / Jahresabschlüsse; Jahresabschlüsse ( Sachl. Benennung d. Mikrofiche-Ausg. )
"Statistische Berichte Niedersachsen, L. II. 7: Realsteuervergleich : Realsteuern und kommunale Einkommensteuerbeteiligung",14306123,Realsteuern und kommunale Einkommensteuerbeteiligung
Schwäbischer Schulanzeiger,"01738747,01738747",
Verzeichnis der Gerichte für Arbeitssachen der Bundesrepublik Deutschland,"07215126,07215126",Bundesanzeiger / Beilage / Verzeichnis der Gerichte für Arbeitssachen der Bundesrepublik Deutschland; Verzeichnis der Gerichte für Arbeitssachen der Bundesrepublik Deutschland einschließlich des Landes Berlin ( Hauptsacht. teils )
Jahrbücher des Sächsischen Oberverwaltungsgerichts,09487301,Jahrbücher des Königlich-Sächsischen Oberverwaltungsgerichts; Jahrbücher des Königlich Sächsischen Oberverwaltungsgerichts ( Hauptsacht. 1.1901/02 - 23.1917 )
Binnenschifffahrt,09391916,"Sammlung der Rechtssprechung zum Schiffahrtsrecht und sonstige Veröffentlichungen über Rechtsfragen; Binnenschiffahrt ( Hauptsacht. bis 55.2000,6 ); Binnenschiffahrt - Zeitschrift für Binnenschiffahrt und Wasserstraßen ( Nebent. teils ); Binnenschiffahrt - ZfB ( Nebent. teils )"
Recht und Politik,"03447871,03447871",Vierteljahreshefte für Rechts- und Verwaltungspolitik
Baurecht,"03407489,03407489","BauR; Zeitschrift für das gesamte öffentliche und zivile Baurecht; Baurecht aktuell ( Hauptsacht. 29.1998,2(März) - 29.1998,10 monatl. alternierend )"
Schulrecht,14344181,SchuR
Archiv für die civilistische Praxis,"00038997,00038997",AcP; Genslers Archiv ( Nebent. anfangs )
Reihe Rechtswissenschaft,01772805,Rechtswissenschaft
Praxis Freiberufler-Beratung,"16138791,16138791","PFB; Steuergestaltung, Wirtschaftsberatung, private Finanz- und Vermögensplanung ( 2. Zusatz anfangs )"
Gewerblicher Rechtsschutz und Urheberrecht,"00169420,00169420",GRUR; Neue Entscheidungen des BGH; Leitsätze neuer Entscheidungen des BGH
Kom / Kommission der Europäischen Gemeinschaften,02541467,Dokumente
Partner im Gespräch,"07246951,07246951",Band ... der Schriftenreihe Partner im Gespräch des Evangelischen Siedlungswerkes in Deutschland ( Hauptsacht. 86.2010 ); Schriftenreihe des Evangelischen Siedlungswerks in Deutschland ( Zusatz bis 88.2010 )
Monatsschrift für deutsches Recht,"21944202,21944202",MdR
Rechtspfleger-Studienhefte,01740156,RpflStud
Kritische Überschau der deutschen Gesetzgebung und Rechtswissenschaft,"18660894,18660894",
Praktisches Arbeitsrecht für Arbeitgeber,"16103270,16103270",
Beiträge zur Kenntniß der Justizverfassung und juristischen Literatur in den preussischen Staaten,"21930716,21930716",
Amtliche Sammlung von Entscheidungen der Oberverwaltungsgerichte Rheinland-Pfalz und Saarland,"03408426,03408426",
Familien-Rechtsberater,"23661054,23661054",FamRB; Familien-Rechts-Berater
Gleichstellung im Blick,"21917884,21917884",aktuelle Rechtsinformationen für ihre erfolgreiche Gleichstellungsarbeit
Die deutsche Rechtsprechung auf dem Gebiete des internationalen Privatrechts im Jahre ...,"03406881,03406881",IP-Rechtsprechung; IPRspr; Die deutsche Rechtsprechung auf dem Gebiete des internationalen Privatrechts in den Jahren ... ( Hauptsacht. bis 1968/69 )
Jahrbuch für Ostrecht,00752746,JOR
Arbeitsrecht in Stichworten,"00037761,09482342,00037761,09482342",ARST
Handbuch zur Vermögensteuer-Hauptveranlagung,0171225X,VSt ( Nebent. bis 1977 ); Vermögensteuer ( Nebent. 1980 - 1986 ); Vermögensteuer mit Erbschaftsteuer ( Nebent. 1989 - 1995 )
Teutsches Staats-Magazin,"25102370,25102370",Deutsches Staats-Magazin
Die Bayerische Polizei,07233086,
Rechtsbibliografie europäische Integration,"10261125,19770286",Juridisk bibliografi over den europaeiske integration; Bibliografia giuridica dell'integrazione europea; Juridische bibliografie van de europese integratie; Bibliografia jurídica da integração europeia; Bibliografía jurídica de la integración europea; Nomikē bibliographia gia tēn eurōpai͏̈kē oloklērōsē; Euroopan integraatio-oikeuden bibliografia; Juridisk bibliografi om den europeiska integrationen; Rechtsbibliographie europäische Integration ( Hauptsacht. bis 1999 )
Internationales Recht und Diplomatie,00209503,Meždunarodnoe pravo i diplomatija
Computer,14300400,"CI ( Nebent. bis [4.]1995,11 ); ComputerInformation ( Nebent. teils ); ComputerInformation für Betriebs- und Personalräte ( Nebent. teils ); Computer-Fachwissen ( Nebent. teils )"
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,"21937869,01792830,21937869,01792830","KritV; CritQ; RCrit; Kritische Vierteljahrsschrift für Gesetzgebung und Rechtswissenschaft ( Hauptsacht. 1.1859 - N.F. 1=20.1878 ); Kritische Vierteljahresschrift für Gesetzgebung und Rechtsprechung ( Hauptsacht. 95.2012,1-3 )"
"Fachdokumentation Arbeitswissenschaft, Arbeitsschutz, Arbeitsmedizin",03440656,
DuD,"07244371,07244371","DuD aktuell; Datenschutz und Datensicherheit, Recht und Sicherheit in Informationsverarbeitung und Kommunikation; Datenschutz und Datensicherheit, Informationsverarbeitung und Kommunikation; IT-Sicherheit & Datenschutz; Datenschutz und Datensicherung, Informationsrecht, Kommunikationssysteme ( Zusatz bis 1986 ); Datenschutz und Datensicherung, Recht und Sicherheit der Informations- und Kommunikationssysteme ( Zusatz 1987 - 1995,4 ); Datenschutz und Datensicherheit ( Nebent. teils )"
Kes,"1611440X,01774565,1611440X,01774565",Die Zeitschrift für Informations-Sicherheit; Kes-Microsoft-Sicherheitsstudie; IT-Grundschutz; Zeitschrift für Kommunikations- und EDV-Sicherheit ( Zusatz anfangs )
Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht,14220709,ZBl
Handbuch des Niedersächsischen Landtages,"04875311,04875311",Der Niedersächsische Landtag; Der Niedersächsische Landtag; Landtag Niedersachsen; Handbuch des Niedersächsischen Landtages der ... Wahlperiode
Europäische Revue,09372245,"Kultur, Literatur, Politik / Europäische Revue"
Anwalts-Verzeichnis,"04026802,04026802","Verzeichnis der in der Bundesrepublik Deutschland zugelassenen Rechtsanwälte und Anwaltsnotare, zugleich Verzeichnis der Mitglieder des Deutschen Anwaltvereins ( Zusatz bis 2007/08 ); Verzeichnis von in der Bundesrepublik Deutschland zugelassenen Rechtsanwälten und Anwaltsnotaren, zugleich Verzeichnis der Mitglieder der dem Deutschen Anwaltverein angeschlossenen Anwaltvereine ( Zusatz bis 2009/10 )"
Oberbayerischer Schulanzeiger,18646506,Amtliche Bekanntmachungen der Regierung von Oberbayern
