"alternativeTitle","id","issn","otherTitleInformation","shortTitle","title"
"Gesetz- und Verordnungsblatt ( Hauptsacht. teils )","http://lobid.org/resources/990054440150206441#!","03439550",,"Gesetz-u. Verordnungsbl.f.Berlin","Gesetz- und Verordnungsblatt für Berlin"
"Hessen Jahrbuch","http://lobid.org/resources/990113119770206441#!","16150481","Ministerien, Behörden, Kommunen, Verbände, Einrichtungen des öffentlichen Lebens",,"Hessen-Jahrbuch"
"Civil liberties and police / Deutsche Ausgabe; CILIP; CILIP newsletter","http://lobid.org/resources/990054531100206441#!","01721895","CILIP ; newsletter on civil liberties and police development",,"Civil liberties and police, Deutsche Ausgabe : Informationsdienst: Bürgerrechte und Polizeientwicklung"
"GYIL","http://lobid.org/resources/990054150260206441#!","03443094 03443094","= Jahrbuch für internationales Recht",,"German yearbook of international law"
"Eildienst: Bundesgerichtliche Entscheidungen / BGH; EBE; BGH; Eildienst: Bundesgerichtliche Entscheidungen / EBE-BGH","http://lobid.org/resources/990054593180206441#!","09358455","EBE",,"Eildienst: Bundesgerichtliche Entscheidungen, BGH"
"Eurostat / 3 / B / Arbeitslosigkeit","http://lobid.org/resources/990054551160206441#!","02529890","Monatsbericht",,"Arbeitslosigkeit"
"DStZ","http://lobid.org/resources/990054141210206441#!","00120774","DStZ ; Monatsschrift auf d. Gebiet d. Steuerwesens",,"Deutsche Steuer-Zeitung, Ausgabe A"
,"http://lobid.org/resources/990054139970206441#!","09317686 09317686","Deutschland, Schweiz, Österreich = Bibliography of legal festschriften, titles and contents",,"Bibliographie juristischer Festschriften und Festschriftenbeiträge"
"Bundessteuerblatt / A; Bundessteuerblatt / C","http://lobid.org/resources/990054257740206441#!","03413357 03413357",,,"Bundessteuerblatt, Teil 2: Veröffentlichungen der Länder"
,"http://lobid.org/resources/990054162920206441#!","04509358","Fachzeitschrift für Versorgungsrecht, Versorgungspraxis, Versorgungsmedizin, soziale Fürsorge und Sonderfürsorge",,"Kriegsopferversorgung"
"BWV","http://lobid.org/resources/990054456060206441#!","00075957 00075957","BWV ; Fachzeitschrift für Administration",,"Bundeswehrverwaltung"
"Archiv für das Civil- und Criminalrecht der Königlich-Preußischen Rheinprovinzen ( Hauptsacht. 1.1820 - N.F. 66=73.1883 ); Archiv für das Civil- und Criminalrecht der Königlich-Preußischen Rheinprovinz ( Hauptsacht. 67=74.1884 - 91=98.1902 ); Rheinisches Archiv für das Civil- und Criminalrecht ( Nebent. anfangs ); Rheinisches Archiv für das Zivil- und Kriminalrecht ( Nebent. ab N.F. 92=99.1903 )","http://lobid.org/resources/990054456480206441#!","18660371 18660371",,,"Archiv für das Zivil- und Kriminalrecht der Königlich-Preussischen Rheinprovinzen"
"Zeitschrift der Fachschaft JURA an der Universität Augsburg ( Zusatz anfangs )","http://lobid.org/resources/990178751710206441#!","21901570 21901570",,,"Der Hausjurist"
,"http://lobid.org/resources/990055084060206441#!","03655121 03655121",,,"Annales Universitatis Saraviensis, Scientia"
"VRÜ; WCL; Law and politics in Africa, Asia and Latin America; Vierteljahresschr. für Fragen d. Verfassungs- u. Rechtsentwicklung d. Staaten Asiens, Afrikas u. Lateinamerikas ( Zusatz anfangs )","http://lobid.org/resources/990054466890206441#!","05067286 05067286","VRÜ = World comparative law : WCL",,"Verfassung und Recht in Übersee"
